,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
0,2019-08-10,Sat,Matchweek 4,Home,D 1–1,Southampton,Manchester Utd,N,"On matchday squad, but did not play",/en/matches/bfd4d929/Southampton-Manchester-United-August-31-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
1,2019-08-10,Sat,Matchweek 5,Away,W 1–0,Southampton,Sheffield Utd,N,"On matchday squad, but did not play",/en/matches/e5f9905d/Sheffield-United-Southampton-September-14-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
2,2019-08-10,Fri,Matchweek 6,Home,L 1–3,Southampton,Bournemouth,N,"On matchday squad, but did not play",/en/matches/ebbb65f5/Southampton-Bournemouth-September-20-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
3,2019-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2019-08-10,Sun,Matchweek 8,Home,L 1–4,Southampton,Chelsea,N,"On matchday squad, but did not play",/en/matches/078b24d4/Southampton-Chelsea-October-6-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
5,2019-08-10,Sat,Matchweek 9,Away,D 1–1,Southampton,Wolves,N,"On matchday squad, but did not play",/en/matches/644a3723/Wolverhampton-Wanderers-Southampton-October-19-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
6,2019-08-10,Fri,Matchweek 10,Home,L 0–9,Southampton,Leicester City,N,RB,45,33,4,10,16,7,0,33,1,1,100.0,0,0.0,13,42,25,0,2,1,1,0,13,2,/en/matches/3e9712d7/Southampton-Leicester-City-October-25-2019-Premier-League
7,2019-08-10,Sat,Matchweek 11,Away,L 1–2,Southampton,Manchester City,Y,CB,90,46,25,32,13,1,1,46,0,0,,0,,16,89,31,0,0,0,2,1,14,1,/en/matches/afbdd3aa/Manchester-City-Southampton-November-2-2019-Premier-League
8,2019-08-10,Sat,Matchweek 12,Home,L 1–2,Southampton,Everton,Y,CB,90,70,8,28,42,0,0,70,0,0,,0,,36,261,179,1,0,0,0,1,44,0,/en/matches/553c5b11/Southampton-Everton-November-9-2019-Premier-League
9,2019-08-10,Sat,Matchweek 13,Away,D 2–2,Southampton,Arsenal,Y,CB,90,33,11,22,10,1,0,33,0,0,,0,,13,88,56,0,0,0,1,1,12,0,/en/matches/19a8b14e/Arsenal-Southampton-November-23-2019-Premier-League
10,2019-08-10,Sat,Matchweek 14,Home,W 2–1,Southampton,Watford,Y,CB,90,92,7,35,57,0,0,92,0,0,,0,,49,228,114,0,0,0,1,0,55,0,/en/matches/3f1fdbad/Southampton-Watford-November-30-2019-Premier-League
11,2019-08-10,Wed,Matchweek 15,Home,W 2–1,Southampton,Norwich City,Y,CB,90,46,4,19,25,2,2,46,0,0,,0,,20,90,53,0,0,0,0,0,21,0,/en/matches/367829b6/Southampton-Norwich-City-December-4-2019-Premier-League
12,2019-08-10,Sun,Matchweek 16,Away,L 1–2,Southampton,Newcastle Utd,Y,CB,90,52,4,25,27,0,0,52,0,0,,0,,21,119,67,1,0,0,1,0,26,0,/en/matches/5d9f7fe3/Newcastle-United-Southampton-December-8-2019-Premier-League
13,2019-08-10,Sat,Matchweek 17,Home,L 0–1,Southampton,West Ham,Y,CB,90,79,4,32,41,7,3,79,4,3,75.0,1,25.0,37,252,178,2,1,0,2,0,42,3,/en/matches/a47901a8/Southampton-West-Ham-United-December-14-2019-Premier-League
14,2019-08-10,Sat,Matchweek 18,Away,W 3–1,Southampton,Aston Villa,Y,CB,90,49,11,32,16,2,2,49,1,1,100.0,0,0.0,20,85,40,1,0,0,2,0,22,1,/en/matches/d50390a8/Aston-Villa-Southampton-December-21-2019-Premier-League
15,2019-08-10,Thu,Matchweek 19,Away,W 2–0,Southampton,Chelsea,Y,CB,90,47,9,26,20,1,1,47,0,0,,0,,11,54,25,0,0,0,1,0,17,0,/en/matches/d9a73d72/Chelsea-Southampton-December-26-2019-Premier-League
16,2019-08-10,Sat,Matchweek 20,Home,D 1–1,Southampton,Crystal Palace,Y,CB,90,71,6,23,48,1,1,71,0,0,,0,,37,204,155,0,0,0,0,0,39,0,/en/matches/a8ab1213/Southampton-Crystal-Palace-December-28-2019-Premier-League
