,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2020-09-27,Sat,Matchweek 5,Home,L 1–4,Newcastle Utd,Manchester Utd,N,"On matchday squad, but did not play",/en/matches/0b8239de/Newcastle-United-Manchester-United-October-17-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2020-09-27,Sun,Matchweek 6,Away,D 1–1,Newcastle Utd,Wolves,Y,RB,90,1,0,0,0,1,1,0,0,42,1,1,0,0.1,0.1,0.0,1,0,26,36,72.2,4,18,1,3,2,/en/matches/76661e3c/Wolverhampton-Wanderers-Newcastle-United-October-25-2020-Premier-League
2,2020-09-27,Sun,Matchweek 7,Home,W 2–1,Newcastle Utd,Everton,Y,RB,90,0,0,0,0,2,0,1,0,54,2,2,1,0.1,0.1,0.0,2,0,26,41,63.4,4,28,4,5,4,/en/matches/448a43ee/Newcastle-United-Everton-November-1-2020-Premier-League
3,2020-09-27,Fri,Matchweek 8,Away,L 0–2,Newcastle Utd,Southampton,Y,RB,78,0,0,0,0,1,0,0,0,34,1,0,2,0.1,0.1,0.0,0,0,15,23,65.2,1,21,2,6,2,/en/matches/4117b695/Southampton-Newcastle-United-November-6-2020-Premier-League
4,2020-09-27,Sat,Matchweek 9,Home,L 0–2,Newcastle Utd,Chelsea,Y,"RM,RB",90,0,0,0,0,2,0,1,0,38,1,0,3,0.1,0.1,0.0,2,0,11,25,44.0,0,20,3,1,1,/en/matches/dbcba6c6/Newcastle-United-Chelsea-November-21-2020-Premier-League
5,2020-09-27,Fri,Matchweek 10,Away,W 2–0,Newcastle Utd,Crystal Palace,N,"On matchday squad, but did not play",/en/matches/0d5962be/Crystal-Palace-Newcastle-United-November-27-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2020-09-27,Sat,Matchweek 12,Home,W 2–1,Newcastle Utd,West Brom,N,"RM,RB",11,0,1,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.1,1,1,8,10,80.0,0,2,0,0,0,/en/matches/4a2a6f14/Newcastle-United-West-Bromwich-Albion-December-12-2020-Premier-League
7,2020-09-27,Wed,Matchweek 13,Away,L 2–5,Newcastle Utd,Leeds United,Y,"RB,RM",90,0,0,0,0,1,0,0,0,42,1,3,2,0.1,0.1,0.6,4,0,11,26,42.3,2,15,3,8,6,/en/matches/b52c441b/Leeds-United-Newcastle-United-December-16-2020-Premier-League
8,2020-09-27,Sat,Matchweek 14,Home,D 1–1,Newcastle Utd,Fulham,N,"On matchday squad, but did not play",/en/matches/3ae84056/Newcastle-United-Fulham-December-19-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2020-09-27,Sat,Matchweek 15,Away,L 0–2,Newcastle Utd,Manchester City,Y,RM,90,0,0,0,0,3,2,0,0,32,0,1,4,0.1,0.1,0.0,0,0,16,20,80.0,3,19,1,0,0,/en/matches/c1c40b30/Manchester-City-Newcastle-United-December-26-2020-Premier-League
