,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
0,2019-08-11,Sat,Matchweek 3,Away,W 2–1,Leicester City,Sheffield Utd,Y,"LW,CM,AM",90,38,0,3,11,24,5,38,5,5,100.0,0,0.0,31,119,67,1,2,0,0,0,32,8,/en/matches/48fcf75b/Sheffield-United-Leicester-City-August-24-2019-Premier-League
1,2019-08-11,Sat,Matchweek 4,Home,W 3–1,Leicester City,Bournemouth,Y,"CM,LM",85,55,0,3,31,22,4,55,4,1,25.0,3,75.0,37,125,50,0,0,1,3,1,37,5,/en/matches/3d899563/Leicester-City-Bournemouth-August-31-2019-Premier-League
2,2019-08-11,Sat,Matchweek 5,Away,L 0–1,Leicester City,Manchester Utd,Y,"LM,CM",90,62,0,5,28,30,2,62,7,5,71.4,2,28.6,40,201,112,2,3,1,3,0,42,1,/en/matches/6d0266a1/Manchester-United-Leicester-City-September-14-2019-Premier-League
3,2019-08-11,Sat,Matchweek 6,Home,W 2–1,Leicester City,Tottenham,Y,"CM,AM",90,50,1,3,23,24,3,50,4,4,100.0,0,0.0,34,166,75,2,0,2,1,1,34,4,/en/matches/e30adc4b/Leicester-City-Tottenham-Hotspur-September-21-2019-Premier-League
4,2019-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2019-08-11,Sat,Matchweek 8,Away,L 1–2,Leicester City,Liverpool,Y,"LM,AM",85,48,0,6,19,23,3,48,2,2,100.0,0,0.0,32,104,75,4,2,2,3,1,33,7,/en/matches/aaed1c4e/Liverpool-Leicester-City-October-5-2019-Premier-League
6,2019-08-11,Sat,Matchweek 9,Home,W 2–1,Leicester City,Burnley,Y,CM,72,93,0,7,44,42,4,93,3,0,0.0,3,100.0,54,253,105,0,3,0,0,1,67,3,/en/matches/3529c097/Leicester-City-Burnley-October-19-2019-Premier-League
7,2019-08-11,Fri,Matchweek 10,Away,W 9–0,Leicester City,Southampton,Y,CM,90,112,0,10,73,30,1,112,5,3,60.0,2,40.0,85,372,154,3,3,0,0,0,88,6,/en/matches/3e9712d7/Southampton-Leicester-City-October-25-2019-Premier-League
8,2019-08-11,Sun,Matchweek 11,Away,W 2–0,Leicester City,Crystal Palace,Y,"CM,AM",89,51,1,7,24,20,1,51,1,1,100.0,0,0.0,33,186,80,2,0,1,2,1,34,2,/en/matches/25d28387/Crystal-Palace-Leicester-City-November-3-2019-Premier-League
9,2019-08-11,Sat,Matchweek 12,Home,W 2–0,Leicester City,Arsenal,Y,"CM,LM",90,84,2,6,45,34,5,84,1,1,100.0,0,0.0,56,261,97,2,1,1,6,2,63,6,/en/matches/8e13e609/Leicester-City-Arsenal-November-9-2019-Premier-League
10,2019-08-11,Sat,Matchweek 13,Away,W 2–0,Leicester City,Brighton,Y,"CM,LM",90,59,1,8,28,23,5,59,1,1,100.0,0,0.0,43,226,74,1,1,1,2,0,41,4,/en/matches/d0f6bac9/Brighton-and-Hove-Albion-Leicester-City-November-23-2019-Premier-League
11,2019-08-11,Sun,Matchweek 14,Home,W 2–1,Leicester City,Everton,Y,"CM,AM",90,75,2,9,36,30,2,75,2,1,50.0,1,50.0,40,201,85,2,1,1,2,0,56,3,/en/matches/aa2284c2/Leicester-City-Everton-December-1-2019-Premier-League
