,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2020-09-13,Sun,Premier League,Matchweek 1,Away,W 3–0,Leicester City,West Brom,N,CM,16,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,1,0,18,19,94.7,3,13,0,0,0,/en/matches/7dd01ca9/West-Bromwich-Albion-Leicester-City-September-13-2020-Premier-League
1,2020-09-20,Sun,Premier League,Matchweek 2,Home,W 4–2,Leicester City,Burnley,N,"RM,CM,FW",29,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,1,0,20,20,100.0,2,12,1,0,0,/en/matches/465b25a8/Leicester-City-Burnley-September-20-2020-Premier-League
2,2020-09-23,Wed,EFL Cup,Third round,Home,L 0–2,Leicester City,Arsenal,Y,AM,71,0,0,0,0,5,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/6d62a0f4/Leicester-City-Arsenal-September-23-2020-EFL-Cup
3,2020-09-27,Sun,Premier League,Matchweek 3,Away,W 5–2,Leicester City,Manchester City,N,RM,22,1,0,0,0,1,1,0,0,7,0,0,0,0.0,0.0,0.0,1,1,2,2,100.0,1,6,2,0,0,/en/matches/31c2a061/Manchester-City-Leicester-City-September-27-2020-Premier-League
4,2020-10-18,Sun,Premier League,Matchweek 5,Home,L 0–1,Leicester City,Aston Villa,N,CM,23,0,0,0,0,1,0,0,0,15,0,0,0,0.1,0.1,0.1,3,0,10,13,76.9,3,10,2,0,0,/en/matches/7751d8c1/Leicester-City-Aston-Villa-October-18-2020-Premier-League
5,2020-10-22,Thu,Europa Lg,Group stage,Home,W 3–0,eng Leicester City,ua Zorya Luhansk,Y,AM,64,1,0,0,0,3,1,0,0,45,1,1,0,0.9,0.9,0.4,4,0,25,34,73.5,2,24,1,5,3,/en/matches/85eb7f2a/Leicester-City-Zorya-Luhansk-October-22-2020-Europa-League
6,2020-10-25,Sun,Premier League,Matchweek 6,Away,W 1–0,Leicester City,Arsenal,Y,"AM,FW",84,0,0,0,0,4,0,1,0,46,1,1,1,0.1,0.1,0.0,1,0,28,35,80.0,3,24,1,3,2,/en/matches/bcd3a9b4/Arsenal-Leicester-City-October-25-2020-Premier-League
7,2020-10-29,Thu,Europa Lg,Group stage,Away,W 2–1,eng Leicester City,gr AEK Athens,Y,AM,73,0,1,0,0,3,0,0,0,53,2,1,1,0.1,0.1,0.1,6,2,24,37,64.9,5,28,3,4,2,/en/matches/ec5211d9/AEK-Athens-Leicester-City-October-29-2020-Europa-League
8,2020-11-02,Mon,Premier League,Matchweek 7,Away,W 4–1,Leicester City,Leeds United,N,AM,28,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,4,2,13,14,92.9,3,12,1,1,1,/en/matches/55d775ec/Leeds-United-Leicester-City-November-2-2020-Premier-League
9,2020-11-05,Thu,Europa Lg,Group stage,Home,W 4–0,eng Leicester City,pt Braga,Y,AM,90,1,1,0,0,3,2,0,0,59,1,0,0,0.6,0.6,1.4,7,1,23,46,50.0,3,36,3,4,2,/en/matches/b8b6d30f/Leicester-City-Braga-November-5-2020-Europa-League
10,2020-11-08,Sun,Premier League,Matchweek 8,Home,W 1–0,Leicester City,Wolves,Y,AM,71,0,0,0,0,1,0,0,0,58,4,0,0,0.1,0.1,0.1,5,0,38,48,79.2,4,32,3,3,2,/en/matches/8407be08/Leicester-City-Wolverhampton-Wanderers-November-8-2020-Premier-League
11,2020-11-22,Sun,Premier League,Matchweek 9,Away,L 0–3,Leicester City,Liverpool,Y,"AM,LW",90,0,0,0,0,1,0,0,0,53,2,4,1,0.0,0.0,0.2,5,0,26,36,72.2,6,25,1,3,1,/en/matches/cc230451/Liverpool-Leicester-City-November-22-2020-Premier-League
12,2020-11-26,Thu,Europa Lg,Group stage,Away,D 3–3,eng Leicester City,pt Braga,N,AM,29,0,1,0,0,2,1,0,0,25,0,0,0,0.1,0.1,0.1,5,2,18,23,78.3,2,16,2,1,1,/en/matches/d415d953/Braga-Leicester-City-November-26-2020-Europa-League
13,2020-11-30,Mon,Premier League,Matchweek 10,Home,L 1–2,Leicester City,Fulham,Y,"AM,CM",90,0,0,0,0,3,0,0,0,73,3,0,2,0.1,0.1,0.2,3,0,40,59,67.8,7,42,1,2,0,/en/matches/ae493b10/Leicester-City-Fulham-November-30-2020-Premier-League
14,2020-12-03,Thu,Europa Lg,Group stage,Away,L 0–1,eng Leicester City,ua Zorya Luhansk,N,RM,13,0,0,0,0,1,1,0,0,20,0,1,0,0.1,0.1,0.5,1,0,12,17,70.6,2,13,0,0,0,/en/matches/819adac5/Zorya-Luhansk-Leicester-City-December-3-2020-Europa-League
15,2020-12-06,Sun,Premier League,Matchweek 11,Away,W 2–1,Leicester City,Sheffield Utd,Y,AM,89,0,1,0,0,2,0,1,0,78,1,0,2,0.1,0.1,0.4,5,1,50,70,71.4,5,47,3,4,2,/en/matches/c1c08638/Sheffield-United-Leicester-City-December-6-2020-Premier-League
16,2020-12-13,Sun,Premier League,Matchweek 12,Home,W 3–0,Leicester City,Brighton,Y,AM,74,2,0,0,0,6,3,0,0,62,1,0,0,0.3,0.3,0.1,4,1,43,54,79.6,4,34,4,1,1,/en/matches/964e6470/Leicester-City-Brighton-and-Hove-Albion-December-13-2020-Premier-League
17,2020-12-16,Wed,Premier League,Matchweek 13,Home,L 0–2,Leicester City,Everton,Y,"AM,DM",90,0,0,0,0,2,0,0,0,71,4,0,1,0.1,0.1,0.2,5,0,51,58,87.9,5,35,5,1,0,/en/matches/b30c816c/Leicester-City-Everton-December-16-2020-Premier-League
18,2020-12-20,Sun,Premier League,Matchweek 14,Away,W 2–0,Leicester City,Tottenham,Y,AM,90,0,0,0,0,4,2,0,0,46,0,0,0,0.1,0.1,0.3,10,0,30,36,83.3,7,23,2,3,2,/en/matches/56ffe356/Tottenham-Hotspur-Leicester-City-December-20-2020-Premier-League
19,2020-12-26,Sat,Premier League,Matchweek 15,Home,D 2–2,Leicester City,Manchester Utd,Y,AM,90,0,1,0,0,1,0,1,0,50,1,1,0,0.1,0.1,0.2,4,1,26,41,63.4,4,16,0,1,0,/en/matches/33c8b5c8/Leicester-City-Manchester-United-December-26-2020-Premier-League
20,2021-01-03,Sun,Premier League,Matchweek 17,Away,W 2–1,Leicester City,Newcastle Utd,Y,AM,78,1,0,0,0,3,1,0,0,45,1,0,1,0.1,0.1,0.1,3,1,25,37,67.6,4,24,2,2,1,/en/matches/4c205b24/Newcastle-United-Leicester-City-January-3-2021-Premier-League
21,2021-01-16,Sat,Premier League,Matchweek 19,Home,W 2–0,Leicester City,Southampton,Y,AM,76,1,0,0,0,2,1,0,0,29,0,0,0,0.1,0.1,0.2,5,0,18,24,75.0,3,20,1,1,1,/en/matches/85d4ec49/Leicester-City-Southampton-January-16-2021-Premier-League
22,2021-01-19,Tue,Premier League,Matchweek 18,Home,W 2–0,Leicester City,Chelsea,Y,CM,75,1,0,0,0,2,1,0,0,38,1,0,0,0.3,0.3,0.1,2,0,26,32,81.3,5,27,1,4,1,/en/matches/8467b110/Leicester-City-Chelsea-January-19-2021-Premier-League
23,2021-01-24,Sun,FA Cup,Fourth round proper,Away,W 3–1,Leicester City,Brentford,Y,AM,90,1,1,0,0,3,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/65a3779a/Brentford-Leicester-City-January-24-2021-FA-Cup
24,2021-01-27,Wed,Premier League,Matchweek 20,Away,D 1–1,Leicester City,Everton,Y,AM,90,0,0,0,0,5,1,0,0,72,3,0,1,0.3,0.3,0.0,7,0,43,60,71.7,6,30,2,1,1,/en/matches/3e4ff1e0/Everton-Leicester-City-January-27-2021-Premier-League
25,2021-01-31,Sun,Premier League,Matchweek 21,Home,L 1–3,Leicester City,Leeds United,Y,"AM,RW",90,0,1,0,0,2,0,0,0,47,0,0,0,0.1,0.1,0.1,3,1,22,40,55.0,6,25,0,2,0,/en/matches/e5e46ead/Leicester-City-Leeds-United-January-31-2021-Premier-League
26,2021-02-03,Wed,Premier League,Matchweek 22,Away,W 2–0,Leicester City,Fulham,Y,"AM,LM",90,0,2,0,0,1,1,0,0,42,1,0,0,0.0,0.0,1.2,8,2,26,36,72.2,4,17,1,1,1,/en/matches/bd0673ed/Fulham-Leicester-City-February-3-2021-Premier-League
27,2021-02-07,Sun,Premier League,Matchweek 23,Away,D 0–0,Leicester City,Wolves,Y,AM,90,0,0,0,0,6,3,1,0,56,1,0,2,0.4,0.4,0.0,3,0,32,45,71.1,2,28,2,2,1,/en/matches/dca0be20/Wolverhampton-Wanderers-Leicester-City-February-7-2021-Premier-League
28,2021-02-10,Wed,FA Cup,Fifth round proper,Home,W 1–0,Leicester City,Brighton,N,,29,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/96f85815/Leicester-City-Brighton-and-Hove-Albion-February-10-2021-FA-Cup
29,2021-02-13,Sat,Premier League,Matchweek 24,Home,W 3–1,Leicester City,Liverpool,Y,AM,90,1,0,0,0,3,1,0,0,49,2,0,1,0.1,0.1,0.3,3,0,23,36,63.9,3,25,0,0,0,/en/matches/666f6961/Leicester-City-Liverpool-February-13-2021-Premier-League
30,2021-02-18,Thu,Europa Lg,Round of 32,Neutral,D 0–0,eng Leicester City,cz Slavia Prague,Y,AM,75,0,0,0,0,2,0,0,0,44,1,0,0,0.1,0.1,0.0,1,0,24,37,64.9,6,28,2,1,1,/en/matches/7ea9c9d2/Slavia-Prague-Leicester-City-February-18-2021-Europa-League
31,2021-02-21,Sun,Premier League,Matchweek 25,Away,W 2–1,Leicester City,Aston Villa,Y,AM,63,1,0,0,0,4,2,0,0,50,0,1,0,0.2,0.2,0.0,4,0,33,40,82.5,5,23,1,3,2,/en/matches/2c6f8c0e/Aston-Villa-Leicester-City-February-21-2021-Premier-League
