,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2021-08-14,Sat,Premier League,Matchweek 1,Away,L 0–3,Crystal Palace,Chelsea,Y*,CM,90,0,0,0,0,0,0,0,0,55,1,1,0,0.0,0.0,0.1,3,0,39,45,86.7,3,36,0,4,4,/en/matches/6f454493/Chelsea-Crystal-Palace-August-14-2021-Premier-League
1,2021-08-21,Sat,Premier League,Matchweek 2,Home,D 0–0,Crystal Palace,Brentford,Y*,LM,90,0,0,0,0,1,1,0,0,50,2,2,2,0.0,0.0,0.0,1,0,25,37,67.6,7,19,1,1,1,/en/matches/c8945d11/Crystal-Palace-Brentford-August-21-2021-Premier-League
2,2021-08-24,Tue,EFL Cup,Second round,Away,L 0–1,Crystal Palace,Watford,N,,28,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/e7c899e5/Watford-Crystal-Palace-August-24-2021-EFL-Cup
3,2021-08-28,Sat,Premier League,Matchweek 3,Away,D 2–2,Crystal Palace,West Ham,Y*,LM,87,0,0,0,0,1,0,0,0,74,3,2,3,0.0,0.0,0.0,2,0,48,55,87.3,5,38,5,4,2,/en/matches/8e017435/West-Ham-United-Crystal-Palace-August-28-2021-Premier-League
4,2021-09-11,Sat,Premier League,Matchweek 4,Home,W 3–0,Crystal Palace,Tottenham,Y*,LM,90,0,0,0,0,1,0,0,0,66,2,3,0,0.0,0.0,0.0,3,0,45,57,78.9,7,26,1,1,1,/en/matches/17e86f90/Crystal-Palace-Tottenham-Hotspur-September-11-2021-Premier-League
5,2021-09-18,Sat,Premier League,Matchweek 5,Away,L 0–3,Crystal Palace,Liverpool,Y*,LM,64,0,0,0,0,1,0,0,0,37,1,0,2,0.0,0.0,0.0,2,0,20,24,83.3,3,23,0,4,2,/en/matches/59ef8c18/Liverpool-Crystal-Palace-September-18-2021-Premier-League
6,2021-09-27,Mon,Premier League,Matchweek 6,Home,D 1–1,Crystal Palace,Brighton,Y,LM,90,0,0,0,0,0,0,1,0,71,0,1,2,0.0,0.0,0.0,1,0,57,62,91.9,4,48,1,1,0,/en/matches/3d7659fc/Crystal-Palace-Brighton-and-Hove-Albion-September-27-2021-Premier-League
7,2021-10-03,Sun,Premier League,Matchweek 7,Home,D 2–2,Crystal Palace,Leicester City,Y,LM,90,0,0,0,0,0,0,1,0,76,5,0,1,0.0,0.0,0.1,4,0,48,67,71.6,7,47,3,1,1,/en/matches/b06fd537/Crystal-Palace-Leicester-City-October-3-2021-Premier-League
8,2021-10-18,Mon,Premier League,Matchweek 8,Away,D 2–2,Crystal Palace,Arsenal,Y,"DM,CM",90,0,0,0,0,0,0,1,0,72,3,1,0,0.0,0.0,0.1,2,0,54,59,91.5,5,47,0,2,0,/en/matches/0f3a1892/Arsenal-Crystal-Palace-October-18-2021-Premier-League
9,2021-10-23,Sat,Premier League,Matchweek 9,Home,D 1–1,Crystal Palace,Newcastle Utd,Y,"LM,DM,CM",90,0,0,0,0,1,0,0,0,86,2,1,1,0.1,0.1,0.4,2,0,61,78,78.2,10,48,7,4,3,/en/matches/4d1b6f6f/Crystal-Palace-Newcastle-United-October-23-2021-Premier-League
10,2021-10-30,Sat,Premier League,Matchweek 10,Away,W 2–0,Crystal Palace,Manchester City,Y*,LM,90,0,0,0,0,1,0,0,0,49,3,0,4,0.0,0.0,0.0,1,0,34,37,91.9,1,23,0,1,0,/en/matches/eb6c294f/Manchester-City-Crystal-Palace-October-30-2021-Premier-League
11,2021-11-06,Sat,Premier League,Matchweek 11,Home,W 2–0,Crystal Palace,Wolves,Y*,LM,79,0,1,0,0,0,0,0,0,69,3,2,3,0.0,0.0,0.3,4,2,45,58,77.6,4,42,1,1,1,/en/matches/3a2fff4d/Crystal-Palace-Wolverhampton-Wanderers-November-6-2021-Premier-League
12,2022-02-12,Sat,Premier League,Matchweek 25,Away,D 0–0,Crystal Palace,Brentford,N,CM,25,0,0,0,0,1,1,0,0,24,1,0,0,0.0,0.0,0.0,1,0,13,18,72.2,2,9,0,0,0,/en/matches/427597d4/Brentford-Crystal-Palace-February-12-2022-Premier-League
13,2022-02-19,Sat,Premier League,Matchweek 26,Home,L 0–1,Crystal Palace,Chelsea,Y*,DM,89,0,0,0,0,0,0,0,0,53,1,3,1,0.0,0.0,0.0,1,0,37,42,88.1,4,30,1,0,0,/en/matches/ddd2eed6/Crystal-Palace-Chelsea-February-19-2022-Premier-League
14,2022-02-23,Wed,Premier League,Matchweek 18,Away,W 4–1,Crystal Palace,Watford,N,LM,11,0,1,0,0,0,0,0,0,20,1,0,0,0.0,0.0,0.1,1,1,16,17,94.1,0,15,0,0,0,/en/matches/daa35440/Watford-Crystal-Palace-February-23-2022-Premier-League
15,2022-02-26,Sat,Premier League,Matchweek 27,Home,D 1–1,Crystal Palace,Burnley,Y,"LM,CM",90,0,0,0,0,0,0,0,0,73,2,2,1,0.0,0.0,0.1,2,0,58,66,87.9,4,35,2,2,2,/en/matches/086dcb8d/Crystal-Palace-Burnley-February-26-2022-Premier-League
