,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2021-08-14,Sun,Matchweek 3,Home,D 1–1,Burnley,Leeds United,Y,CB,90,16,23,69.6,339,202,3,5,60.0,11,12,91.7,2,5,40.0,0,0.0,0.0,0,1,0,0,0,/en/matches/2e5db698/Burnley-Leeds-United-August-29-2021-Premier-League
1,2021-08-14,Mon,Matchweek 4,Away,L 1–3,Burnley,Everton,Y,CB,90,33,52,63.5,700,310,12,16,75.0,15,19,78.9,6,15,40.0,0,0.0,0.0,0,2,0,0,2,/en/matches/668b2f97/Everton-Burnley-September-13-2021-Premier-League
2,2021-08-14,Sat,Matchweek 5,Home,L 0–1,Burnley,Arsenal,Y,CB,90,32,45,71.1,709,348,11,14,78.6,13,18,72.2,8,13,61.5,0,0.0,0.0,0,4,0,0,4,/en/matches/a427debc/Burnley-Arsenal-September-18-2021-Premier-League
3,2021-08-14,Sat,Matchweek 6,Away,D 2–2,Burnley,Leicester City,Y,CB,90,16,25,64.0,348,224,8,10,80.0,4,8,50.0,4,6,66.7,0,0.0,0.1,0,1,0,0,1,/en/matches/2d61f328/Leicester-City-Burnley-September-25-2021-Premier-League
4,2021-08-14,Sat,Matchweek 7,Home,D 0–0,Burnley,Norwich City,Y*,CB,90,26,35,74.3,596,271,8,12,66.7,12,14,85.7,6,9,66.7,0,0.0,0.0,0,4,0,0,0,/en/matches/9231df9a/Burnley-Norwich-City-October-2-2021-Premier-League
5,2021-08-14,Sat,Matchweek 8,Away,L 0–2,Burnley,Manchester City,Y*,CB,90,26,34,76.5,810,347,4,6,66.7,11,13,84.6,11,14,78.6,0,0.0,0.0,0,3,0,0,4,/en/matches/55778d0d/Manchester-City-Burnley-October-16-2021-Premier-League
6,2021-08-14,Sat,Matchweek 9,Away,D 2–2,Burnley,Southampton,Y*,CB,90,13,29,44.8,257,136,8,12,66.7,3,8,37.5,2,8,25.0,0,0.0,0.0,0,2,0,0,2,/en/matches/d5164fbe/Southampton-Burnley-October-23-2021-Premier-League
7,2021-08-14,Sat,Matchweek 10,Home,W 3–1,Burnley,Brentford,Y,CB,90,24,37,64.9,425,223,12,15,80.0,11,16,68.8,1,5,20.0,0,0.0,0.0,0,0,0,0,3,/en/matches/c8915e9e/Burnley-Brentford-October-30-2021-Premier-League
8,2021-08-14,Sat,Matchweek 11,Away,D 1–1,Burnley,Chelsea,Y,CB,90,26,29,89.7,609,302,7,8,87.5,13,14,92.9,6,7,85.7,0,0.0,0.0,0,4,1,0,2,/en/matches/316c0296/Chelsea-Burnley-November-6-2021-Premier-League
9,2021-08-14,Sat,Matchweek 12,Home,D 3–3,Burnley,Crystal Palace,Y,CB,90,22,29,75.9,410,193,11,15,73.3,7,8,87.5,3,4,75.0,2,0.2,0.2,2,1,0,0,2,/en/matches/e7ab34c4/Burnley-Crystal-Palace-November-20-2021-Premier-League
10,2021-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2021-08-14,Sat,Matchweek 15,Away,L 0–1,Burnley,Newcastle Utd,Y*,CB,90,31,45,68.9,758,306,6,12,50.0,15,19,78.9,10,14,71.4,0,0.0,0.0,0,4,0,0,4,/en/matches/11ed382d/Newcastle-United-Burnley-December-4-2021-Premier-League
12,2021-08-14,Sun,Matchweek 16,Home,D 0–0,Burnley,West Ham,Y,CB,90,18,36,50.0,432,234,3,4,75.0,11,17,64.7,4,14,28.6,0,0.0,0.0,0,3,0,0,3,/en/matches/6d236ce6/Burnley-West-Ham-United-December-12-2021-Premier-League
13,2021-08-14,Thu,Matchweek 20,Away,L 1–3,Burnley,Manchester Utd,Y,CB,90,30,40,75.0,563,235,12,13,92.3,13,18,72.2,5,9,55.6,0,0.0,0.0,0,3,0,0,4,/en/matches/bbfa96c9/Manchester-United-Burnley-December-30-2021-Premier-League
14,2021-08-14,Sun,Matchweek 21,Away,L 1–3,Burnley,Leeds United,Y,CB,90,24,29,82.8,507,373,9,11,81.8,11,11,100.0,4,7,57.1,0,0.0,0.0,0,5,1,0,6,/en/matches/cff8022b/Leeds-United-Burnley-January-2-2022-Premier-League
