,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2019-08-10,Sat,Matchweek 3,Away,W 2–0,Southampton,Brighton,Y,CB,90,29,38,76.3,582,257,5,6,83.3,20,26,76.9,3,4,75.0,0,0.0,0.0,0,3,0,0,3,/en/matches/baece203/Brighton-and-Hove-Albion-Southampton-August-24-2019-Premier-League
1,2019-08-10,Sat,Matchweek 4,Home,D 1–1,Southampton,Manchester Utd,Y,CB,90,39,51,76.5,669,227,14,16,87.5,23,27,85.2,2,7,28.6,0,0.0,0.0,0,0,0,0,0,/en/matches/bfd4d929/Southampton-Manchester-United-August-31-2019-Premier-League
2,2019-08-10,Sat,Matchweek 5,Away,W 1–0,Southampton,Sheffield Utd,Y,CB,90,38,52,73.1,672,288,14,16,87.5,20,27,74.1,3,7,42.9,0,0.0,0.0,0,2,0,0,4,/en/matches/e5f9905d/Sheffield-United-Southampton-September-14-2019-Premier-League
3,2019-08-10,Fri,Matchweek 6,Home,L 1–3,Southampton,Bournemouth,Y,CB,90,54,71,76.1,1005,371,20,25,80.0,30,38,78.9,4,8,50.0,0,0.0,0.0,0,2,0,0,5,/en/matches/ebbb65f5/Southampton-Bournemouth-September-20-2019-Premier-League
4,2019-08-10,Sat,Matchweek 7,Away,L 1–2,Southampton,Tottenham,Y,CB,90,33,43,76.7,555,291,16,19,84.2,15,17,88.2,2,6,33.3,0,0.0,0.0,0,1,0,0,2,/en/matches/23ec5db0/Tottenham-Hotspur-Southampton-September-28-2019-Premier-League
5,2019-08-10,Sun,Matchweek 8,Home,L 1–4,Southampton,Chelsea,Y,CB,90,46,61,75.4,816,303,20,23,87.0,24,28,85.7,2,8,25.0,0,0.0,0.0,0,0,0,0,5,/en/matches/078b24d4/Southampton-Chelsea-October-6-2019-Premier-League
6,2019-08-10,Sat,Matchweek 9,Away,D 1–1,Southampton,Wolves,Y,CB,90,34,45,75.6,560,183,20,21,95.2,10,15,66.7,4,8,50.0,0,0.0,0.0,0,2,0,0,1,/en/matches/644a3723/Wolverhampton-Wanderers-Southampton-October-19-2019-Premier-League
7,2019-08-10,Fri,Matchweek 10,Home,L 0–9,Southampton,Leicester City,Y,CB,90,16,25,64.0,235,112,9,11,81.8,4,8,50.0,2,5,40.0,0,0.0,0.0,0,3,0,0,2,/en/matches/3e9712d7/Southampton-Leicester-City-October-25-2019-Premier-League
8,2019-08-10,Sat,Matchweek 11,Away,L 1–2,Southampton,Manchester City,Y,CB,87,12,16,75.0,232,120,4,4,100.0,6,8,75.0,2,4,50.0,0,0.0,0.0,0,1,0,0,2,/en/matches/afbdd3aa/Manchester-City-Southampton-November-2-2019-Premier-League
9,2019-08-10,Sat,Matchweek 12,Home,L 1–2,Southampton,Everton,Y,CB,90,39,57,68.4,698,227,16,20,80.0,20,29,69.0,3,8,37.5,0,0.0,0.0,0,2,0,0,4,/en/matches/553c5b11/Southampton-Everton-November-9-2019-Premier-League
10,2019-08-10,Sat,Matchweek 13,Away,D 2–2,Southampton,Arsenal,Y,CB,90,16,19,84.2,319,132,4,5,80.0,11,13,84.6,1,1,100.0,0,0.0,0.0,0,0,0,0,1,/en/matches/19a8b14e/Arsenal-Southampton-November-23-2019-Premier-League
11,2019-08-10,Sat,Matchweek 14,Home,W 2–1,Southampton,Watford,Y,CB,90,62,73,84.9,1187,429,23,25,92.0,31,35,88.6,8,12,66.7,0,0.0,0.0,0,3,0,0,6,/en/matches/3f1fdbad/Southampton-Watford-November-30-2019-Premier-League
12,2019-08-10,Wed,Matchweek 15,Home,W 2–1,Southampton,Norwich City,Y,CB,90,27,35,77.1,551,325,13,14,92.9,10,13,76.9,4,7,57.1,0,0.0,0.0,0,2,2,0,5,/en/matches/367829b6/Southampton-Norwich-City-December-4-2019-Premier-League
13,2019-08-10,Sun,Matchweek 16,Away,L 1–2,Southampton,Newcastle Utd,Y,CB,90,37,41,90.2,623,281,19,20,95.0,18,20,90.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,/en/matches/5d9f7fe3/Newcastle-United-Southampton-December-8-2019-Premier-League
14,2019-08-10,Sat,Matchweek 17,Home,L 0–1,Southampton,West Ham,Y,CB,90,50,53,94.3,839,245,20,20,100.0,28,31,90.3,1,1,100.0,0,0.0,0.0,0,0,0,0,3,/en/matches/a47901a8/Southampton-West-Ham-United-December-14-2019-Premier-League
15,2019-08-10,Sat,Matchweek 18,Away,W 3–1,Southampton,Aston Villa,Y,CB,90,28,32,87.5,576,314,11,11,100.0,11,14,78.6,5,6,83.3,0,0.0,0.0,0,1,0,0,1,/en/matches/d50390a8/Aston-Villa-Southampton-December-21-2019-Premier-League
16,2019-08-10,Thu,Matchweek 19,Away,W 2–0,Southampton,Chelsea,Y,CB,90,24,34,70.6,375,145,12,16,75.0,12,15,80.0,0,3,0.0,0,0.0,0.0,0,0,0,0,1,/en/matches/d9a73d72/Chelsea-Southampton-December-26-2019-Premier-League
17,2019-08-10,Sat,Matchweek 20,Home,D 1–1,Southampton,Crystal Palace,Y,CB,90,65,79,82.3,1056,441,27,32,84.4,35,40,87.5,2,5,40.0,0,0.0,0.0,0,3,0,0,4,/en/matches/a8ab1213/Southampton-Crystal-Palace-December-28-2019-Premier-League
18,2019-08-10,Wed,Matchweek 21,Home,W 1–0,Southampton,Tottenham,Y,CB,90,23,39,59.0,367,182,13,16,81.3,9,19,47.4,1,3,33.3,0,0.0,0.0,0,1,0,0,1,/en/matches/ce2fad1e/Southampton-Tottenham-Hotspur-January-1-2020-Premier-League
19,2019-08-10,Sat,Matchweek 22,Away,W 2–1,Southampton,Leicester City,Y,CB,90,14,32,43.8,192,111,11,15,73.3,2,10,20.0,1,6,16.7,0,0.0,0.0,0,2,0,0,2,/en/matches/bf752bf7/Leicester-City-Southampton-January-11-2020-Premier-League
20,2019-08-10,Sat,Matchweek 23,Home,L 2–3,Southampton,Wolves,Y,CB,90,29,45,64.4,557,245,10,12,83.3,15,21,71.4,3,8,37.5,0,0.0,0.0,0,3,0,0,2,/en/matches/9d6674f8/Southampton-Wolverhampton-Wanderers-January-18-2020-Premier-League
21,2019-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2019-08-10,Sat,Matchweek 25,Away,L 0–4,Southampton,Liverpool,Y,CB,90,14,35,40.0,243,106,3,8,37.5,11,22,50.0,0,3,0.0,0,0.0,0.0,0,0,0,0,1,/en/matches/ab9e9e23/Liverpool-Southampton-February-1-2020-Premier-League
23,2019-08-10,Sat,Matchweek 26,Home,L 1–2,Southampton,Burnley,N,"On matchday squad, but did not play",/en/matches/738ade70/Southampton-Burnley-February-15-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
24,2019-08-10,Sat,Matchweek 27,Home,W 2–0,Southampton,Aston Villa,Y,CB,90,24,37,64.9,433,163,8,12,66.7,14,20,70.0,2,3,66.7,0,0.0,0.0,1,2,0,0,3,/en/matches/66823ac4/Southampton-Aston-Villa-February-22-2020-Premier-League
25,2019-08-10,Sat,Matchweek 28,Away,L 1–3,Southampton,West Ham,Y,CB,90,46,66,69.7,850,319,16,21,76.2,26,31,83.9,3,7,42.9,0,0.0,0.0,0,3,0,0,5,/en/matches/2cb790f2/West-Ham-United-Southampton-February-29-2020-Premier-League
26,2019-08-10,Sat,Matchweek 29,Home,L 0–1,Southampton,Newcastle Utd,Y,CB,90,29,43,67.4,502,218,16,21,76.2,10,16,62.5,3,6,50.0,0,0.0,0.0,0,3,0,0,4,/en/matches/947a04e9/Southampton-Newcastle-United-March-7-2020-Premier-League
27,2019-08-10,Fri,Matchweek 30,Away,W 3–0,Southampton,Norwich City,Y,CB,90,20,32,62.5,417,74,8,13,61.5,9,14,64.3,3,4,75.0,0,0.0,0.0,0,1,0,0,2,/en/matches/d659cbdf/Norwich-City-Southampton-June-19-2020-Premier-League
28,2019-08-10,Thu,Matchweek 31,Home,L 0–2,Southampton,Arsenal,Y,CB,90,54,62,87.1,1040,406,23,24,95.8,26,27,96.3,5,9,55.6,0,0.0,0.0,0,4,0,0,3,/en/matches/38757aa1/Southampton-Arsenal-June-25-2020-Premier-League
