,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-08-10,Sat,Premier League,Matchweek 1,Away,L 0–3,Southampton,Burnley,Y,CB,90,0,0,0,0,1,1,0,0,61.0,2.0,2,0.0,0.3,0.3,0.0,0.0,0.0,29.0,49.0,59.2,4.0,22.0,0.0,0.0,0.0,/en/matches/34b99058/Burnley-Southampton-August-10-2019-Premier-League,0.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-08-17,Sat,Premier League,Matchweek 2,Home,L 1–2,Southampton,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,40.0,0.0,2,0.0,0.0,0.0,0.1,1.0,0.0,15.0,27.0,55.6,1.0,9.0,1.0,0.0,0.0,/en/matches/b2a48847/Southampton-Liverpool-August-17-2019-Premier-League,0.0,0.5,0.6071428571428571
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2019-08-24,Sat,Premier League,Matchweek 3,Away,W 2–0,Southampton,Brighton,Y,CB,90,0,0,0,0,1,0,0,0,53.0,3.0,2,0.0,0.1,0.1,0.3,2.0,0.0,32.0,38.0,84.2,2.0,24.0,1.0,0.0,0.0,/en/matches/baece203/Brighton-and-Hove-Albion-Southampton-August-24-2019-Premier-League,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2019-08-31,Sat,Premier League,Matchweek 4,Home,D 1–1,Southampton,Manchester Utd,Y,CB,90,1,0,0,0,1,1,0,0,52.0,0.0,5,2.0,0.2,0.2,0.0,0.0,0.0,36.0,39.0,92.3,2.0,23.0,0.0,1.0,0.0,/en/matches/bfd4d929/Southampton-Manchester-United-August-31-2019-Premier-League,0.5,0.3333333333333333,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2019-09-14,Sat,Premier League,Matchweek 5,Away,W 1–0,Southampton,Sheffield Utd,Y,CB,90,0,0,0,0,2,2,1,0,72.0,1.0,1,0.0,0.1,0.1,0.0,0.0,0.0,44.0,61.0,72.1,1.0,24.0,0.0,0.0,0.0,/en/matches/e5f9905d/Sheffield-United-Southampton-September-14-2019-Premier-League,1.0,0.5,0.4880952380952381
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-09-20,Fri,Premier League,Matchweek 6,Home,L 1–3,Southampton,Bournemouth,Y,CB,90,0,0,0,0,2,0,0,0,76.0,1.0,0,3.0,0.1,0.1,0.0,0.0,0.0,51.0,63.0,81.0,6.0,41.0,0.0,2.0,2.0,/en/matches/ebbb65f5/Southampton-Bournemouth-September-20-2019-Premier-League,0.0,0.8333333333333334,0.5595238095238095
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2019-09-28,Sat,Premier League,Matchweek 7,Away,L 1–2,Southampton,Tottenham,Y,CB,78,0,0,0,0,0,0,0,0,59.0,2.0,0,0.0,0.0,0.0,0.1,2.0,0.0,49.0,56.0,87.5,10.0,33.0,0.0,0.0,0.0,/en/matches/23ec5db0/Tottenham-Hotspur-Southampton-September-28-2019-Premier-League,0.0,0.5,0.4880952380952381
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2019-10-19,Sat,Premier League,Matchweek 9,Away,D 1–1,Southampton,Wolves,Y,CB,90,0,0,0,0,1,0,0,0,54.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,37.0,46.0,80.4,4.0,25.0,0.0,0.0,0.0,/en/matches/644a3723/Wolverhampton-Wanderers-Southampton-October-19-2019-Premier-League,0.5,0.3333333333333333,0.8095238095238094
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2019-10-25,Fri,Premier League,Matchweek 10,Home,L 0–9,Southampton,Leicester City,Y,CB,45,0,0,0,0,0,0,0,0,20.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,53.3,1.0,6.0,0.0,0.0,0.0,/en/matches/3e9712d7/Southampton-Leicester-City-October-25-2019-Premier-League,0.0,0.1666666666666666,0.717948717948718
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2019-11-02,Sat,Premier League,Matchweek 11,Away,L 1–2,Southampton,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,40.0,2.0,1,2.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,75.0,1.0,11.0,0.0,1.0,1.0,/en/matches/afbdd3aa/Manchester-City-Southampton-November-2-2019-Premier-League,0.0,0.1666666666666666,0.9404761904761904
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2019-11-09,Sat,Premier League,Matchweek 12,Home,L 1–2,Southampton,Everton,Y,CB,90,0,0,0,0,0,0,0,0,52.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,40.0,80.0,2.0,25.0,1.0,0.0,0.0,/en/matches/553c5b11/Southampton-Everton-November-9-2019-Premier-League,0.0,0.1666666666666666,0.5357142857142857
