,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form
0,0,2021-08-15,Sun,Premier League,Matchweek 1,Away,W 4–2,West Ham,Newcastle Utd,Y,RW,89,0,0,0,0,2,2,0,0,31.0,2.0,0,1.0,0.6,0.6,0.0,6.0,2.0,16.0,23.0,69.6,1.0,19.0,3.0,3.0,3.0,/en/matches/41091264/Newcastle-United-West-Ham-United-August-15-2021-Premier-League,1.0,0.5
1,1,2021-08-23,Mon,Premier League,Matchweek 2,Home,W 4–1,West Ham,Leicester City,Y,RW,90,0,0,0,0,0,0,0,0,45.0,4.0,0,1.0,0.0,0.0,0.4,8.0,1.0,26.0,36.0,72.2,1.0,23.0,1.0,0.0,0.0,/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League,1.0,0.5
2,2,2021-08-28,Sat,Premier League,Matchweek 3,Home,D 2–2,West Ham,Crystal Palace,Y,RW,78,0,0,0,0,1,0,0,0,26.0,2.0,1,0.0,0.0,0.0,0.3,2.0,0.0,12.0,17.0,70.6,2.0,12.0,0.0,1.0,1.0,/en/matches/8e017435/West-Ham-United-Crystal-Palace-August-28-2021-Premier-League,0.5,0.5
3,3,2021-09-11,Sat,Premier League,Matchweek 4,Away,D 0–0,West Ham,Southampton,Y,RW,82,0,0,0,0,2,1,0,0,41.0,0.0,3,1.0,0.1,0.1,0.1,2.0,0.0,18.0,27.0,66.7,1.0,26.0,4.0,6.0,5.0,/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League,0.5,0.8333333333333334
4,4,2021-09-16,Thu,Europa Lg,Group stage,Away,W 2–0,eng West Ham,hr Dinamo Zagreb,N,"RW,AM",22,0,0,0,0,0,0,0,0,12.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,10.0,11.0,90.9,2.0,10.0,0.0,3.0,2.0,/en/matches/e7e7f198/Dinamo-Zagreb-West-Ham-United-September-16-2021-Europa-League,1.0,0.6666666666666666
5,5,2021-09-19,Sun,Premier League,Matchweek 5,Home,L 1–2,West Ham,Manchester Utd,Y,"FW,RM",89,0,1,0,0,4,2,0,0,25.0,0.0,0,3.0,0.3,0.3,0.2,6.0,1.0,11.0,15.0,73.3,2.0,17.0,2.0,7.0,6.0,/en/matches/2daea068/West-Ham-United-Manchester-United-September-19-2021-Premier-League,0.0,0.6666666666666666
6,6,2021-09-22,Wed,EFL Cup,Third round,Away,W 1–0,West Ham,Manchester Utd,Y,FW,90,0,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/6cb102d3/Manchester-United-West-Ham-United-September-22-2021-EFL-Cup,1.0,0.5
7,7,2021-09-25,Sat,Premier League,Matchweek 6,Away,W 2–1,West Ham,Leeds United,Y,RW,89,0,0,0,0,3,0,0,0,39.0,1.0,0,0.0,0.1,0.1,0.0,2.0,0.0,20.0,27.0,74.1,2.0,28.0,2.0,4.0,1.0,/en/matches/6e228b2c/Leeds-United-West-Ham-United-September-25-2021-Premier-League,1.0,0.6666666666666666
8,8,2021-09-30,Thu,Europa Lg,Group stage,Home,W 2–0,eng West Ham,at Rapid Wien,N,"FW,RW",29,0,1,0,0,1,0,0,0,23.0,1.0,0,1.0,0.6,0.6,0.2,1.0,1.0,4.0,10.0,40.0,1.0,10.0,2.0,5.0,2.0,/en/matches/d2ff6580/West-Ham-United-Rapid-Wien-September-30-2021-Europa-League,1.0,0.6666666666666666
9,9,2021-10-03,Sun,Premier League,Matchweek 7,Home,L 1–2,West Ham,Brentford,Y,RW,90,1,0,0,0,3,2,0,0,35.0,2.0,1,1.0,0.6,0.6,0.0,3.0,0.0,17.0,26.0,65.4,1.0,23.0,0.0,3.0,3.0,/en/matches/f1eead63/West-Ham-United-Brentford-October-3-2021-Premier-League,0.0,1.0
10,10,2021-10-17,Sun,Premier League,Matchweek 8,Away,W 1–0,West Ham,Everton,Y,RW,89,0,1,0,0,3,2,0,0,57.0,1.0,0,1.0,0.2,0.2,0.3,3.0,1.0,30.0,42.0,71.4,3.0,33.0,1.0,4.0,1.0,/en/matches/15871600/Everton-West-Ham-United-October-17-2021-Premier-League,1.0,0.6666666666666666
11,11,2021-10-21,Thu,Europa Lg,Group stage,Home,W 3–0,eng West Ham,be Genk,Y,FW,82,1,0,0,0,2,1,0,0,43.0,1.0,0,1.0,0.2,0.2,0.1,2.0,0.0,21.0,30.0,70.0,1.0,33.0,1.0,1.0,0.0,/en/matches/0134a1bd/West-Ham-United-Genk-October-21-2021-Europa-League,1.0,0.6666666666666666
12,12,2021-10-24,Sun,Premier League,Matchweek 9,Home,W 1–0,West Ham,Tottenham,Y,RW,89,0,0,0,0,2,0,0,0,31.0,3.0,0,1.0,0.1,0.1,0.1,2.0,0.0,12.0,17.0,70.6,2.0,17.0,2.0,1.0,1.0,/en/matches/70c508ee/West-Ham-United-Tottenham-Hotspur-October-24-2021-Premier-League,1.0,0.6666666666666666
13,13,2021-10-27,Wed,EFL Cup,Fourth round,Home,D 0 (5)–0 (3),West Ham,Manchester City,N,,59,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/4cc7cf93/West-Ham-United-Manchester-City-October-27-2021-EFL-Cup,0.5,1.0
14,14,2021-10-31,Sun,Premier League,Matchweek 10,Away,W 4–1,West Ham,Aston Villa,Y,RW,89,1,0,0,0,6,3,1,0,46.0,3.0,1,1.0,1.5,1.5,0.1,7.0,1.0,15.0,26.0,57.7,2.0,16.0,3.0,6.0,3.0,/en/matches/a62478a2/Aston-Villa-West-Ham-United-October-31-2021-Premier-League,1.0,0.8333333333333334
