,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2020-09-03,Thu,UEFA Nations League,League B,Away,D 1–1,ie Rep. of Ireland,bg Bulgaria,Y,CM,90,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/5c9256f8/Bulgaria-Republic-of-Ireland-September-3-2020-UEFA-Nations-League
1,2020-09-12,Sat,Premier League,Matchweek 1,Away,W 2–0,Newcastle Utd,West Ham,Y,RM,90,1,1,0,0,1,1,0,0,37,0,1,2,0.1,0.1,0.8,4,1,21,27,77.8,6,23,2,3,3,/en/matches/78495ced/West-Ham-United-Newcastle-United-September-12-2020-Premier-League
2,2020-09-20,Sun,Premier League,Matchweek 2,Home,L 0–3,Newcastle Utd,Brighton,Y,"RM,DM,CM",90,0,0,0,0,1,0,0,0,30,0,0,0,0.0,0.0,0.0,1,0,24,27,88.9,3,11,0,0,0,/en/matches/845f6a86/Newcastle-United-Brighton-and-Hove-Albion-September-20-2020-Premier-League
3,2020-09-27,Sun,Premier League,Matchweek 3,Away,D 1–1,Newcastle Utd,Tottenham,Y,"CM,RM",73,0,0,0,0,1,0,0,0,26,1,3,0,0.1,0.1,0.0,1,0,18,20,90.0,1,18,0,0,0,/en/matches/002c4e89/Tottenham-Hotspur-Newcastle-United-September-27-2020-Premier-League
4,2020-10-03,Sat,Premier League,Matchweek 4,Home,W 3–1,Newcastle Utd,Burnley,Y,RM,90,0,0,0,0,1,0,0,0,49,0,1,0,0.1,0.1,0.0,0,0,25,38,65.8,2,27,2,0,0,/en/matches/34ba607f/Newcastle-United-Burnley-October-3-2020-Premier-League
5,2020-10-08,Thu,UEFA Euro Qualifying,Semi-finals,Away,D 0 (2)–0 (4),ie Rep. of Ireland,sk Slovakia,Y,AM,120,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,/en/matches/c6c9cf16/Slovakia-Republic-of-Ireland-October-8-2020-UEFA-Euro-Qualifying
6,2020-10-11,Sun,UEFA Nations League,League B,Home,D 0–0,ie Rep. of Ireland,wls Wales,Y,CM,90,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/cbe19e95/Republic-of-Ireland-Wales-October-11-2020-UEFA-Nations-League
7,2020-10-14,Wed,UEFA Nations League,League B,Away,L 0–1,ie Rep. of Ireland,fi Finland,Y,CM,74,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/8a5aa090/Finland-Republic-of-Ireland-October-14-2020-UEFA-Nations-League
8,2020-10-17,Sat,Premier League,Matchweek 5,Home,L 1–4,Newcastle Utd,Manchester Utd,Y,CM,87,0,0,0,0,1,0,0,0,39,3,1,3,0.1,0.1,0.0,0,0,26,30,86.7,4,16,1,1,1,/en/matches/0b8239de/Newcastle-United-Manchester-United-October-17-2020-Premier-League
9,2020-10-25,Sun,Premier League,Matchweek 6,Away,D 1–1,Newcastle Utd,Wolves,Y,CM,90,0,0,0,0,1,0,0,0,56,0,3,2,0.0,0.0,0.0,2,1,42,47,89.4,3,33,0,1,0,/en/matches/76661e3c/Wolverhampton-Wanderers-Newcastle-United-October-25-2020-Premier-League
