,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2019-08-04,Sun,Community Shield,FA Community Shield,Neutral,D 1 (4)–1 (5),Liverpool,Manchester City,Y,CB,120,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/a0579b11/Liverpool-Manchester-City-August-4-2019-FA-Community-Shield
1,2019-08-09,Fri,Premier League,Matchweek 1,Home,W 4–1,Liverpool,Norwich City,Y,CB,90,0,0,0,0,0,0,0,0,60,2,0,3,0.0,0.0,0.0,1,0,45,54,83.3,8,34,0,0,0,/en/matches/928467bd/Liverpool-Norwich-City-August-9-2019-Premier-League
2,2019-08-14,Wed,Super Cup,UEFA Super Cup,Home,D 2 (5)–2 (4),eng Liverpool,eng Chelsea,Y,RB,120,0,0,0,0,1,1,0,0,,,3,,,,,,,,,,,,,,,/en/matches/4a69dd20/Liverpool-Chelsea-August-14-2019-UEFA-Super-Cup
3,2019-09-22,Sun,Premier League,Matchweek 6,Away,W 2–1,Liverpool,Chelsea,N,"CB,RW",1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,/en/matches/02e3ae79/Chelsea-Liverpool-September-22-2019-Premier-League
4,2019-09-25,Wed,EFL Cup,Third round,Away,W 2–0,Liverpool,MK Dons,Y,CB,90,0,0,0,0,1,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/9ed57dde/Milton-Keynes-Dons-Liverpool-September-25-2019-EFL-Cup
5,2019-10-02,Wed,Champions Lg,Group stage,Home,W 4–3,eng Liverpool,at RB Salzburg,Y,CB,90,0,0,0,0,0,0,0,0,91,5,3,0,0.0,0.0,0.0,0,0,69,82,84.1,4,38,0,1,1,/en/matches/ca11ab0f/Liverpool-Red-Bull-Salzburg-October-2-2019-Champions-League
6,2019-10-23,Wed,Champions Lg,Group stage,Away,W 4–1,eng Liverpool,be Genk,N,RB,28,0,0,0,0,0,0,1,0,27,2,2,1,0.0,0.0,0.0,0,0,14,20,70.0,0,15,2,0,0,/en/matches/aab4f0b8/Genk-Liverpool-October-23-2019-Champions-League
7,2019-10-27,Sun,Premier League,Matchweek 10,Home,W 2–1,Liverpool,Tottenham,N,RB,6,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.0,0,0,2,2,100.0,1,1,0,0,0,/en/matches/16f28685/Liverpool-Tottenham-Hotspur-October-27-2019-Premier-League
8,2019-10-30,Wed,EFL Cup,Fourth round,Home,D 5 (5)–5 (4),Liverpool,Arsenal,Y,CB,120,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/8d8c441c/Liverpool-Arsenal-October-30-2019-EFL-Cup
9,2019-11-05,Tue,Champions Lg,Group stage,Home,W 2–1,eng Liverpool,be Genk,Y,CB,90,0,0,0,0,0,0,0,0,98,1,4,1,0.0,0.0,0.0,2,0,75,88,85.2,6,68,0,1,1,/en/matches/1deef029/Liverpool-Genk-November-5-2019-Champions-League
10,2019-11-10,Sun,Premier League,Matchweek 12,Home,W 3–1,Liverpool,Manchester City,N,RB,4,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,/en/matches/47880eb7/Liverpool-Manchester-City-November-10-2019-Premier-League
11,2019-11-14,Thu,UEFA Euro Qualifying,Group stage,Home,W 7–0,eng England,me Montenegro,N,,21,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/de232c79/England-Montenegro-November-14-2019-UEFA-Euro-Qualifying
12,2019-11-23,Sat,Premier League,Matchweek 13,Away,W 2–1,Liverpool,Crystal Palace,N,RB,2,0,0,0,0,0,0,0,0,7,2,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,2,0,0,0,/en/matches/0b1da656/Crystal-Palace-Liverpool-November-23-2019-Premier-League
13,2019-11-27,Wed,Champions Lg,Group stage,Home,D 1–1,eng Liverpool,it Napoli,Y,RB,56,0,0,0,0,0,0,0,0,77,0,2,0,0.0,0.0,0.0,1,0,65,73,89.0,10,58,2,1,1,/en/matches/9e30ef9d/Liverpool-Napoli-November-27-2019-Champions-League
14,2019-12-04,Wed,Premier League,Matchweek 15,Home,W 5–2,Liverpool,Everton,N,RB,8,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,9,10,90.0,1,8,1,0,0,/en/matches/de0ec650/Merseyside-Derby-Liverpool-Everton-December-4-2019-Premier-League
15,2019-12-07,Sat,Premier League,Matchweek 16,Away,W 3–0,Liverpool,Bournemouth,Y,"CB,RB",90,0,0,0,0,0,0,1,0,134,0,3,0,0.0,0.0,0.1,2,0,112,127,88.2,4,101,2,3,2,/en/matches/b7f0ca17/Bournemouth-Liverpool-December-7-2019-Premier-League
16,2019-12-10,Tue,Champions Lg,Group stage,Away,W 2–0,eng Liverpool,at RB Salzburg,N,CB,38,0,0,0,0,0,0,0,0,25,1,1,0,0.0,0.0,0.0,0,0,18,20,90.0,1,15,0,0,0,/en/matches/714da51b/Red-Bull-Salzburg-Liverpool-December-10-2019-Champions-League
17,2019-12-14,Sat,Premier League,Matchweek 17,Home,W 2–0,Liverpool,Watford,Y,CB,90,0,0,0,0,0,0,0,0,117,3,2,0,0.0,0.0,0.0,1,0,92,108,85.2,8,90,1,1,1,/en/matches/f33bb4b3/Liverpool-Watford-December-14-2019-Premier-League
18,2019-12-26,Thu,Premier League,Matchweek 19,Away,W 4–0,Liverpool,Leicester City,Y,CB,90,0,0,0,0,0,0,1,0,60,0,1,1,0.0,0.0,0.0,1,0,47,54,87.0,3,32,0,0,0,/en/matches/4b8063da/Leicester-City-Liverpool-December-26-2019-Premier-League
19,2019-12-29,Sun,Premier League,Matchweek 20,Home,W 1–0,Liverpool,Wolves,Y,CB,90,0,0,0,0,0,0,0,0,104,2,2,2,0.0,0.0,0.0,0,0,86,95,90.5,4,82,1,0,0,/en/matches/9892a4f1/Liverpool-Wolverhampton-Wanderers-December-29-2019-Premier-League
20,2020-01-02,Thu,Premier League,Matchweek 21,Home,W 2–0,Liverpool,Sheffield Utd,Y,CB,90,0,0,0,0,0,0,0,0,134,0,2,0,0.0,0.0,0.0,1,0,119,131,90.8,2,115,1,0,0,/en/matches/7fe3382b/Liverpool-Sheffield-United-January-2-2020-Premier-League
21,2020-01-05,Sun,FA Cup,Third round,Home,W 1–0,Liverpool,Everton,Y,CB,90,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/a1234464/Merseyside-Derby-Liverpool-Everton-January-5-2020-FA-Cup
22,2020-01-11,Sat,Premier League,Matchweek 22,Away,W 1–0,Liverpool,Tottenham,Y,CB,90,0,0,0,0,0,0,1,0,131,2,2,0,0.0,0.0,0.0,1,0,109,121,90.1,5,104,1,1,1,/en/matches/39432697/Tottenham-Hotspur-Liverpool-January-11-2020-Premier-League
23,2020-01-19,Sun,Premier League,Matchweek 23,Home,W 2–0,Liverpool,Manchester Utd,Y,CB,90,0,0,0,0,0,0,0,0,59,1,3,1,0.0,0.0,0.0,0,0,49,54,90.7,2,41,0,0,0,/en/matches/d2a888b6/North-West-Derby-Liverpool-Manchester-United-January-19-2020-Premier-League
24,2020-01-23,Thu,Premier League,Matchweek 24,Away,W 2–1,Liverpool,Wolves,Y,CB,90,0,0,0,0,0,0,0,0,64,2,3,2,0.0,0.0,0.0,0,0,46,53,86.8,5,42,0,0,0,/en/matches/efd768f0/Wolverhampton-Wanderers-Liverpool-January-23-2020-Premier-League
25,2020-01-29,Wed,Premier League,Matchweek 18,Away,W 2–0,Liverpool,West Ham,Y,CB,90,0,0,0,0,0,0,0,0,120,0,1,1,0.0,0.0,0.0,0,0,104,117,88.9,6,99,0,1,1,/en/matches/7b057bc1/West-Ham-United-Liverpool-January-29-2020-Premier-League
26,2020-02-01,Sat,Premier League,Matchweek 25,Home,W 4–0,Liverpool,Southampton,Y,CB,90,0,0,0,0,0,0,0,0,82,0,0,1,0.0,0.0,0.0,1,0,56,67,83.6,2,49,0,0,0,/en/matches/ab9e9e23/Liverpool-Southampton-February-1-2020-Premier-League
27,2020-02-15,Sat,Premier League,Matchweek 26,Away,W 1–0,Liverpool,Norwich City,Y,CB,90,0,0,0,0,0,0,0,0,81,1,0,0,0.0,0.0,0.0,1,1,69,77,89.6,4,64,0,0,0,/en/matches/9c238122/Norwich-City-Liverpool-February-15-2020-Premier-League
