,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2021-08-28,Sun,Matchweek 5,Home,W 2–1,Brighton,Leicester City,Y,"RB,WB",90,30,41,73.2,525,240,14,15,93.3,11,13,84.6,4,10,40.0,0,0.1,0.0,1,0,1,0,3,/en/matches/723f5105/Brighton-and-Hove-Albion-Leicester-City-September-19-2021-Premier-League
1,2021-08-28,Mon,Matchweek 6,Away,D 1–1,Brighton,Crystal Palace,Y,"RB,RM",90,39,54,72.2,677,229,22,24,91.7,13,18,72.2,4,6,66.7,1,0.2,0.2,1,3,1,0,7,/en/matches/3d7659fc/Crystal-Palace-Brighton-and-Hove-Albion-September-27-2021-Premier-League
2,2021-08-28,Sat,Matchweek 7,Home,D 0–0,Brighton,Arsenal,Y,WB,90,22,30,73.3,372,138,12,13,92.3,8,11,72.7,1,3,33.3,0,0.1,0.0,1,2,1,0,4,/en/matches/cdaded7b/Brighton-and-Hove-Albion-Arsenal-October-2-2021-Premier-League
3,2021-08-28,Sat,Matchweek 8,Away,D 0–0,Brighton,Norwich City,Y,WB,58,26,42,61.9,409,134,14,18,77.8,11,18,61.1,1,3,33.3,0,0.0,0.0,0,0,0,0,2,/en/matches/bc0a1eb5/Norwich-City-Brighton-and-Hove-Albion-October-16-2021-Premier-League
4,2021-08-28,Sat,Matchweek 9,Home,L 1–4,Brighton,Manchester City,Y,"CB,RB",90,32,38,84.2,580,163,11,12,91.7,17,19,89.5,3,5,60.0,0,0.0,0.0,0,0,0,0,0,/en/matches/dc93611c/Brighton-and-Hove-Albion-Manchester-City-October-23-2021-Premier-League
5,2021-08-28,Sat,Matchweek 10,Away,D 2–2,Brighton,Liverpool,Y,RB,90,33,50,66.0,568,249,12,17,70.6,20,29,69.0,1,4,25.0,0,0.0,0.0,0,1,0,0,6,/en/matches/c68998b5/Liverpool-Brighton-and-Hove-Albion-October-30-2021-Premier-League
6,2021-08-28,Sat,Matchweek 11,Home,D 1–1,Brighton,Newcastle Utd,Y,"RB,WB,CB",90,66,74,89.2,1057,342,34,37,91.9,27,30,90.0,5,7,71.4,0,0.2,0.0,2,6,2,1,6,/en/matches/10d11999/Brighton-and-Hove-Albion-Newcastle-United-November-6-2021-Premier-League
7,2021-08-28,Sat,Matchweek 12,Away,L 0–2,Brighton,Aston Villa,N,"On matchday squad, but did not play",/en/matches/88f081ac/Aston-Villa-Brighton-and-Hove-Albion-November-20-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
8,2021-08-28,Sat,Matchweek 13,Home,D 0–0,Brighton,Leeds United,Y,RB,90,42,60,70.0,732,460,19,19,100.0,21,31,67.7,2,3,66.7,0,0.0,0.1,0,5,1,0,8,/en/matches/5d651cd7/Brighton-and-Hove-Albion-Leeds-United-November-27-2021-Premier-League
9,2021-08-28,Wed,Matchweek 14,Away,D 1–1,Brighton,West Ham,Y,RB,69,37,45,82.2,554,183,19,21,90.5,17,23,73.9,0,0,,0,0.0,0.0,0,1,0,0,0,/en/matches/2049300f/West-Ham-United-Brighton-and-Hove-Albion-December-1-2021-Premier-League
