,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
0,2019-08-10,Sun,Matchweek 3,Away,D 1–1,Burnley,Wolves,Y,RM,65,13,13,0,0,0,0,3,0,0,0,0,0,7,0,1,/en/matches/16119ef2/Wolverhampton-Wanderers-Burnley-August-25-2019-Premier-League
1,2019-08-10,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019-08-10,Sat,Matchweek 7,Away,D 2–2,Burnley,Aston Villa,N,"On matchday squad, but did not play",/en/matches/37a51188/Aston-Villa-Burnley-September-28-2019-Premier-League,,,,,,,,,,,,,,,,
3,2019-08-10,Sat,Matchweek 8,Home,W 1–0,Burnley,Everton,Y,RM,83,23,21,2,0,0,0,5,0,2,2,0,0,13,0,1,/en/matches/2f9439d0/Burnley-Everton-October-5-2019-Premier-League
4,2019-08-10,,,,,,,,,,,,,,,,,,,,,,,,,
5,2019-08-10,Thu,Matchweek 19,Away,L 0–1,Burnley,Everton,N,RM,23,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,/en/matches/b23c6c90/Everton-Burnley-December-26-2019-Premier-League
6,2019-08-10,Sat,Matchweek 20,Home,L 0–2,Burnley,Manchester Utd,N,RM,23,9,9,0,0,0,0,2,0,0,0,0,0,5,0,0,/en/matches/f66bbb03/Burnley-Manchester-United-December-28-2019-Premier-League
7,2019-08-10,Wed,Matchweek 21,Home,L 1–2,Burnley,Aston Villa,N,RM,45,29,29,0,0,0,2,3,0,0,0,0,0,26,0,0,/en/matches/ac409026/Burnley-Aston-Villa-January-1-2020-Premier-League
8,2019-08-10,,,,,,,,,,,,,,,,,,,,,,,,,
9,2019-08-10,Sat,Matchweek 27,Home,W 3–0,Burnley,Bournemouth,N,"On matchday squad, but did not play",/en/matches/bcdc3fb0/Burnley-Bournemouth-February-22-2020-Premier-League,,,,,,,,,,,,,,,,
10,2019-08-10,,,,,,,,,,,,,,,,,,,,,,,,,
11,2019-08-10,Sun,Matchweek 33,Home,D 1–1,Burnley,Sheffield Utd,N,RM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/c2378113/Burnley-Sheffield-United-July-5-2020-Premier-League
12,2019-08-10,Wed,Matchweek 34,Away,W 1–0,Burnley,West Ham,N,"On matchday squad, but did not play",/en/matches/5c57bea6/West-Ham-United-Burnley-July-8-2020-Premier-League,,,,,,,,,,,,,,,,
13,2019-08-10,Sat,Matchweek 35,Away,D 1–1,Burnley,Liverpool,N,RM,26,11,10,1,0,0,0,0,1,0,0,0,0,5,0,0,/en/matches/267d7e78/Liverpool-Burnley-July-11-2020-Premier-League
14,2019-08-10,Wed,Matchweek 36,Home,D 1–1,Burnley,Wolves,N,RM,61,24,24,0,0,0,0,2,0,0,0,0,0,20,0,1,/en/matches/a7c5d31f/Burnley-Wolverhampton-Wanderers-July-15-2020-Premier-League
15,2019-08-10,Sat,Matchweek 37,Away,W 2–0,Burnley,Norwich City,Y,RM,59,23,23,0,0,0,0,4,0,0,0,0,0,18,0,0,/en/matches/9594e0b4/Norwich-City-Burnley-July-18-2020-Premier-League
16,2019-08-10,Sun,Matchweek 38,Home,L 1–2,Burnley,Brighton,Y,RM,74,20,20,0,0,0,0,4,0,0,0,0,0,16,0,0,/en/matches/d4360fcd/Burnley-Brighton-and-Hove-Albion-July-26-2020-Premier-League
