,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2020-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2020-09-14,Sun,Matchweek 4,Away,L 1–2,Sheffield Utd,Arsenal,Y*,CB,90,0,0,0,0,0,0,0,0,35,0,1,0,0.0,0.0,0.0,1,0,25,26,96.2,1,18,0,0,0,/en/matches/09725cb3/Arsenal-Sheffield-United-October-4-2020-Premier-League
2,2020-09-14,Sun,Matchweek 5,Home,D 1–1,Sheffield Utd,Fulham,Y*,CB,90,0,0,0,0,0,0,0,0,45,0,2,1,0.0,0.0,0.0,1,0,31,34,91.2,0,14,0,0,0,/en/matches/5529e7a0/Sheffield-United-Fulham-October-18-2020-Premier-League
3,2020-09-14,Sat,Matchweek 6,Away,L 1–2,Sheffield Utd,Liverpool,Y*,CB,90,0,0,0,0,1,0,0,0,45,3,1,3,0.0,0.0,0.0,2,0,26,32,81.3,4,15,0,0,0,/en/matches/0bc8d984/Liverpool-Sheffield-United-October-24-2020-Premier-League
4,2020-09-14,Sat,Matchweek 7,Home,L 0–1,Sheffield Utd,Manchester City,Y*,CB,90,0,0,0,0,0,0,0,0,54,0,2,1,0.0,0.0,0.0,0,0,39,45,86.7,3,34,0,0,0,/en/matches/9aadc93d/Sheffield-United-Manchester-City-October-31-2020-Premier-League
5,2020-09-14,Sat,Matchweek 8,Away,L 1–4,Sheffield Utd,Chelsea,Y*,CB,90,0,0,0,0,0,0,1,0,46,0,0,3,0.0,0.0,0.0,0,0,23,35,65.7,2,20,0,0,0,/en/matches/089916ee/Chelsea-Sheffield-United-November-7-2020-Premier-League
6,2020-09-14,Sun,Matchweek 9,Home,L 0–1,Sheffield Utd,West Ham,Y*,CB,90,0,0,0,0,0,0,0,0,68,1,3,2,0.0,0.0,0.1,2,0,44,58,75.9,3,34,0,0,0,/en/matches/8ed7d991/Sheffield-United-West-Ham-United-November-22-2020-Premier-League
7,2020-09-14,Sat,Matchweek 10,Away,L 0–1,Sheffield Utd,West Brom,Y*,CB,90,0,0,0,0,0,0,1,0,45,1,2,2,0.0,0.0,0.0,0,0,28,35,80.0,3,23,1,0,0,/en/matches/bd68404c/West-Bromwich-Albion-Sheffield-United-November-28-2020-Premier-League
8,2020-09-14,Sun,Matchweek 11,Home,L 1–2,Sheffield Utd,Leicester City,Y*,CB,90,0,0,0,0,0,0,0,0,30,1,0,0,0.0,0.0,0.0,1,0,11,20,55.0,0,9,0,0,0,/en/matches/c1c08638/Sheffield-United-Leicester-City-December-6-2020-Premier-League
9,2020-09-14,Sun,Matchweek 12,Away,L 0–3,Sheffield Utd,Southampton,Y,CB,90,0,0,0,0,1,0,0,0,35,0,1,2,0.2,0.2,0.0,0,0,19,22,86.4,4,16,0,0,0,/en/matches/9bec56c6/Southampton-Sheffield-United-December-13-2020-Premier-League
