,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2020-09-14,Sun,Matchweek 3,Home,L 0–1,Sheffield Utd,Leeds United,Y,CM,63,27,32,84.4,409,183,13,15,86.7,6,8,75.0,4,4,100.0,0,0.2,0.1,4,2,0,0,2,/en/matches/51fb894e/Sheffield-United-Leeds-United-September-27-2020-Premier-League
1,2020-09-14,Sun,Matchweek 4,Away,L 1–2,Sheffield Utd,Arsenal,Y,"CM,RM",90,40,47,85.1,610,131,20,22,90.9,12,14,85.7,4,6,66.7,0,0.0,0.1,1,4,0,0,3,/en/matches/09725cb3/Arsenal-Sheffield-United-October-4-2020-Premier-League
2,2020-09-14,Sun,Matchweek 5,Home,D 1–1,Sheffield Utd,Fulham,Y,CM,90,32,40,80.0,411,120,21,21,100.0,7,10,70.0,1,6,16.7,0,0.1,0.0,1,3,0,0,4,/en/matches/5529e7a0/Sheffield-United-Fulham-October-18-2020-Premier-League
3,2020-09-14,Sat,Matchweek 6,Away,L 1–2,Sheffield Utd,Liverpool,Y,CM,75,34,43,79.1,498,154,13,14,92.9,9,11,81.8,4,8,50.0,0,0.0,0.1,1,4,1,1,2,/en/matches/0bc8d984/Liverpool-Sheffield-United-October-24-2020-Premier-League
4,2020-09-14,Sat,Matchweek 7,Home,L 0–1,Sheffield Utd,Manchester City,N,"CM,LM",36,9,14,64.3,140,29,6,7,85.7,2,4,50.0,1,3,33.3,0,0.4,0.0,1,2,0,0,1,/en/matches/9aadc93d/Sheffield-United-Manchester-City-October-31-2020-Premier-League
5,2020-09-14,Sat,Matchweek 8,Away,L 1–4,Sheffield Utd,Chelsea,Y,CM,90,34,43,79.1,594,86,14,17,82.4,19,21,90.5,1,4,25.0,0,0.0,0.0,0,2,0,0,5,/en/matches/089916ee/Chelsea-Sheffield-United-November-7-2020-Premier-League
6,2020-09-14,Sun,Matchweek 9,Home,L 0–1,Sheffield Utd,West Ham,N,RM,15,9,14,64.3,68,0,2,3,66.7,2,3,66.7,0,1,0.0,0,0.0,0.0,0,0,0,0,0,/en/matches/8ed7d991/Sheffield-United-West-Ham-United-November-22-2020-Premier-League
7,2020-09-14,Sat,Matchweek 10,Away,L 0–1,Sheffield Utd,West Brom,N,CM,28,25,31,80.6,450,123,10,10,100.0,12,14,85.7,2,5,40.0,0,0.0,0.2,0,4,0,0,3,/en/matches/bd68404c/West-Bromwich-Albion-Sheffield-United-November-28-2020-Premier-League
8,2020-09-14,Sun,Matchweek 11,Home,L 1–2,Sheffield Utd,Leicester City,Y,CM,62,20,30,66.7,280,116,10,12,83.3,6,9,66.7,1,4,25.0,1,0.1,0.1,1,3,1,0,4,/en/matches/c1c08638/Sheffield-United-Leicester-City-December-6-2020-Premier-League
9,2020-09-14,Sun,Matchweek 12,Away,L 0–3,Sheffield Utd,Southampton,N,"On matchday squad, but did not play",/en/matches/9bec56c6/Southampton-Sheffield-United-December-13-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
10,2020-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2020-09-14,Sun,Matchweek 14,Away,D 1–1,Sheffield Utd,Brighton,Y,CM,39,12,15,80.0,128,62,9,9,100.0,0,1,0.0,1,3,33.3,0,0.0,0.1,1,2,0,0,1,/en/matches/d1273e90/Brighton-and-Hove-Albion-Sheffield-United-December-20-2020-Premier-League
12,2020-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2020-09-14,Tue,Matchweek 18,Home,W 1–0,Sheffield Utd,Newcastle Utd,Y,"CM,RM",90,69,75,92.0,1062,185,33,34,97.1,17,18,94.4,8,11,72.7,0,0.1,0.1,2,6,2,0,8,/en/matches/18ccfdb9/Sheffield-United-Newcastle-United-January-12-2021-Premier-League
14,2020-09-14,Sun,Matchweek 19,Home,L 1–3,Sheffield Utd,Tottenham,Y,CM,90,54,65,83.1,748,148,31,32,96.9,15,19,78.9,3,6,50.0,0,0.0,0.0,0,3,0,0,2,/en/matches/c52b1c4f/Sheffield-United-Tottenham-Hotspur-January-17-2021-Premier-League
15,2020-09-14,Wed,Matchweek 20,Away,W 2–1,Sheffield Utd,Manchester Utd,Y,CM,90,25,36,69.4,433,93,12,12,100.0,12,14,85.7,1,7,14.3,1,0.1,0.0,2,1,2,0,5,/en/matches/6e963555/Manchester-United-Sheffield-United-January-27-2021-Premier-League
16,2020-09-14,Sat,Matchweek 21,Away,L 0–1,Sheffield Utd,Manchester City,Y,"CM,RM",90,29,32,90.6,402,125,18,18,100.0,5,7,71.4,3,4,75.0,0,0.0,0.0,0,2,0,0,2,/en/matches/150c80d7/Manchester-City-Sheffield-United-January-30-2021-Premier-League
17,2020-09-14,Tue,Matchweek 22,Home,W 2–1,Sheffield Utd,West Brom,Y,CM,90,62,76,81.6,1241,284,22,23,95.7,32,35,91.4,8,17,47.1,0,0.1,0.4,2,6,1,0,2,/en/matches/2d3d863d/Sheffield-United-West-Bromwich-Albion-February-2-2021-Premier-League
18,2020-09-14,Sun,Matchweek 23,Home,L 1–2,Sheffield Utd,Chelsea,Y,"CM,RM",90,37,51,72.5,576,135,19,22,86.4,10,13,76.9,5,10,50.0,0,0.0,0.0,0,8,0,0,6,/en/matches/d3467620/Sheffield-United-Chelsea-February-7-2021-Premier-League
19,2020-09-14,Mon,Matchweek 24,Away,L 0–3,Sheffield Utd,West Ham,Y,CM,90,61,67,91.0,1071,181,24,24,100.0,23,24,95.8,9,11,81.8,0,0.0,0.0,0,4,0,0,4,/en/matches/d6167896/West-Ham-United-Sheffield-United-February-15-2021-Premier-League
20,2020-09-14,Sat,Matchweek 25,Away,L 0–1,Sheffield Utd,Fulham,Y,CM,73,16,21,76.2,244,9,7,7,100.0,6,7,85.7,2,4,50.0,0,0.0,0.0,0,0,0,0,0,/en/matches/b1892d66/Fulham-Sheffield-United-February-20-2021-Premier-League
21,2020-09-14,Sun,Matchweek 26,Home,L 0–2,Sheffield Utd,Liverpool,Y,"CM,RM",90,35,43,81.4,482,86,20,22,90.9,12,15,80.0,1,3,33.3,0,0.0,0.0,0,3,0,0,2,/en/matches/3826d9aa/Sheffield-United-Liverpool-February-28-2021-Premier-League
22,2020-09-14,Wed,Matchweek 29,Home,W 1–0,Sheffield Utd,Aston Villa,Y,"CM,RM",90,21,29,72.4,264,32,12,14,85.7,7,7,100.0,0,5,0.0,0,0.0,0.1,0,0,1,0,3,/en/matches/3a9c1c4d/Sheffield-United-Aston-Villa-March-3-2021-Premier-League
23,2020-09-14,Sat,Matchweek 27,Home,L 0–2,Sheffield Utd,Southampton,Y,CM,90,42,53,79.2,798,239,17,19,89.5,19,22,86.4,6,11,54.5,0,0.0,0.1,1,3,2,1,2,/en/matches/9d08bb4e/Sheffield-United-Southampton-March-6-2021-Premier-League
24,2020-09-14,Sun,Matchweek 28,Away,L 0–5,Sheffield Utd,Leicester City,Y,CM,90,25,34,73.5,419,85,11,13,84.6,11,11,100.0,2,6,33.3,0,0.0,0.0,0,0,0,0,3,/en/matches/d3bc5214/Leicester-City-Sheffield-United-March-14-2021-Premier-League
25,2020-09-14,Sat,Matchweek 30,Away,L 1–2,Sheffield Utd,Leeds United,Y,CM,90,34,45,75.6,545,136,18,20,90.0,12,16,75.0,3,4,75.0,0,0.0,0.0,0,0,0,0,0,/en/matches/c4ed64b9/Leeds-United-Sheffield-United-April-3-2021-Premier-League
26,2020-09-14,Sun,Matchweek 31,Home,L 0–3,Sheffield Utd,Arsenal,Y,"RM,CM",90,40,45,88.9,673,72,19,19,100.0,18,20,90.0,3,5,60.0,0,0.0,0.0,0,0,1,0,3,/en/matches/34395b54/Sheffield-United-Arsenal-April-11-2021-Premier-League
27,2020-09-14,Sat,Matchweek 32,Away,L 0–1,Sheffield Utd,Wolves,N,"On matchday squad, but did not play",/en/matches/07745ff2/Wolverhampton-Wanderers-Sheffield-United-April-17-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
28,2020-09-14,Sat,Matchweek 33,Home,W 1–0,Sheffield Utd,Brighton,N,CM,10,2,2,100.0,9,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,/en/matches/1ef0a8f2/Sheffield-United-Brighton-and-Hove-Albion-April-24-2021-Premier-League
29,2020-09-14,Sun,Matchweek 34,Away,L 0–4,Sheffield Utd,Tottenham,N,"On matchday squad, but did not play",/en/matches/8b2e31ef/Tottenham-Hotspur-Sheffield-United-May-2-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
30,2020-09-14,Sat,Matchweek 35,Home,L 0–2,Sheffield Utd,Crystal Palace,N,RM,11,5,5,100.0,56,16,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,/en/matches/02c409c1/Sheffield-United-Crystal-Palace-May-8-2021-Premier-League
31,2020-09-14,Sun,Matchweek 36,Away,W 1–0,Sheffield Utd,Everton,N,"On matchday squad, but did not play",/en/matches/707d5282/Everton-Sheffield-United-May-16-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
32,2020-09-14,Wed,Matchweek 37,Away,L 0–1,Sheffield Utd,Newcastle Utd,N,"On matchday squad, but did not play",/en/matches/62adcd41/Newcastle-United-Sheffield-United-May-19-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
33,2020-09-14,Sun,Matchweek 38,Home,W 1–0,Sheffield Utd,Burnley,N,"On matchday squad, but did not play",/en/matches/2c07a228/Sheffield-United-Burnley-May-23-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
