,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
0,2022-01-11,Wed,Matchweek 17,Home,L 1–3,Brentford,Manchester Utd,Y,GK,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,/en/matches/f7c0bd68/Brentford-Manchester-United-January-19-2022-Premier-League
1,2022-01-11,Sat,Matchweek 23,Home,L 1–2,Brentford,Wolves,Y,GK,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,/en/matches/9f91ec9b/Brentford-Wolverhampton-Wanderers-January-22-2022-Premier-League
2,2022-01-11,Wed,Matchweek 24,Away,L 0–2,Brentford,Manchester City,N,"On matchday squad, but did not play",/en/matches/3b077554/Manchester-City-Brentford-February-9-2022-Premier-League,,,,,,,,,,,,,,,,,
3,2022-01-11,Sat,Matchweek 25,Home,D 0–0,Brentford,Crystal Palace,N,"On matchday squad, but did not play",/en/matches/427597d4/Brentford-Crystal-Palace-February-12-2022-Premier-League,,,,,,,,,,,,,,,,,
4,2022-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2022-01-11,Sat,Matchweek 27,Home,L 0–2,Brentford,Newcastle Utd,N,"On matchday squad, but did not play",/en/matches/fd61d442/Brentford-Newcastle-United-February-26-2022-Premier-League,,,,,,,,,,,,,,,,,
6,2022-01-11,Sat,Matchweek 28,Away,W 3–1,Brentford,Norwich City,N,"On matchday squad, but did not play",/en/matches/fcb61cff/Norwich-City-Brentford-March-5-2022-Premier-League,,,,,,,,,,,,,,,,,
7,2022-01-11,Sat,Matchweek 29,Home,W 2–0,Brentford,Burnley,N,"On matchday squad, but did not play",/en/matches/9718a901/Brentford-Burnley-March-12-2022-Premier-League,,,,,,,,,,,,,,,,,
8,2022-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2022-01-11,Sat,Matchweek 34,Home,D 0–0,Brentford,Tottenham,N,"On matchday squad, but did not play",/en/matches/9c939b7f/Brentford-Tottenham-Hotspur-April-23-2022-Premier-League,,,,,,,,,,,,,,,,,
10,2022-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2022-01-11,Sat,Matchweek 36,Home,W 3–0,Brentford,Southampton,N,"On matchday squad, but did not play",/en/matches/74a74729/Brentford-Southampton-May-7-2022-Premier-League,,,,,,,,,,,,,,,,,
12,2022-01-11,Sun,Matchweek 37,Away,W 3–2,Brentford,Everton,N,"On matchday squad, but did not play",/en/matches/1b07c16e/Everton-Brentford-May-15-2022-Premier-League,,,,,,,,,,,,,,,,,
