,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
0,2020-09-20,Sat,Matchweek 4,Away,L 1–3,Burnley,Newcastle Utd,Y,"RM,CM",90,53,1,10,31,13,3,53,0,0,,0,,15,64,34,1,0,0,1,0,25,3,/en/matches/34ba607f/Newcastle-United-Burnley-October-3-2020-Premier-League
1,2020-09-20,Mon,Matchweek 5,Away,D 0–0,Burnley,West Brom,Y,CM,90,53,1,8,39,7,0,53,1,1,100.0,0,0.0,18,119,35,0,0,0,2,0,32,1,/en/matches/13f3ae88/West-Bromwich-Albion-Burnley-October-19-2020-Premier-League
2,2020-09-20,Mon,Matchweek 6,Home,L 0–1,Burnley,Tottenham,Y,CM,90,60,3,9,36,16,1,60,1,1,100.0,0,0.0,29,125,37,1,2,0,1,1,32,1,/en/matches/4931660e/Burnley-Tottenham-Hotspur-October-26-2020-Premier-League
3,2020-09-20,Sat,Matchweek 7,Home,L 0–3,Burnley,Chelsea,Y,"CM,RM",90,59,0,5,45,9,0,59,0,0,,0,,32,107,61,2,2,0,0,0,34,1,/en/matches/0f158c5c/Burnley-Chelsea-October-31-2020-Premier-League
4,2020-09-20,Fri,Matchweek 8,Away,D 0–0,Burnley,Brighton,Y,CM,90,52,2,14,31,8,0,52,1,1,100.0,0,0.0,29,82,33,0,0,0,0,1,29,0,/en/matches/c23d7844/Brighton-and-Hove-Albion-Burnley-November-6-2020-Premier-League
5,2020-09-20,Mon,Matchweek 9,Home,W 1–0,Burnley,Crystal Palace,Y,CM,90,56,2,12,37,7,0,56,0,0,,0,,15,50,17,0,0,0,0,0,28,0,/en/matches/1dde1d03/Burnley-Crystal-Palace-November-23-2020-Premier-League
6,2020-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2020-09-20,Sat,Matchweek 11,Home,D 1–1,Burnley,Everton,Y,CM,90,51,3,11,31,10,1,51,2,2,100.0,0,0.0,28,78,44,0,2,0,0,0,27,0,/en/matches/399c7e1c/Burnley-Everton-December-5-2020-Premier-League
8,2020-09-20,Sun,Matchweek 12,Away,W 1–0,Burnley,Arsenal,Y,CM,90,38,6,14,16,8,3,38,0,0,,0,,20,80,4,0,0,0,1,0,17,0,/en/matches/e4dc55d0/Arsenal-Burnley-December-13-2020-Premier-League
9,2020-09-20,Thu,Matchweek 13,Away,D 0–0,Burnley,Aston Villa,Y,CM,90,41,5,11,26,4,1,41,0,0,,0,,14,57,36,0,0,0,1,0,16,2,/en/matches/5d89f60c/Aston-Villa-Burnley-December-17-2020-Premier-League
