,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-11,Fri,Premier League,Matchweek 1,Home,L 0–3,Burnley,Manchester City,N,CM,1,0,0,0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,0.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2023-08-30,Wed,EFL Cup,Second round,Away,W 1–0,Burnley,Nott'ham Forest,Y*,CM,90,0,1,0,0,1,0,1,0,,,1,,,,,,,,,,,,,,,/en/matches/26950ade/Nottingham-Forest-Burnley-August-30-2023-EFL-Cup,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2023-09-02,Sat,Premier League,Matchweek 4,Home,L 2–5,Burnley,Tottenham,N,CM,45,1,0,0,0,3,1,1,0,30.0,1.0,0,0.0,0.2,0.2,0.1,5.0,1.0,19.0,25.0,76.0,0.0,15.0,0.0,0.0,0.0,/en/matches/f1786fb8/Burnley-Tottenham-Hotspur-September-2-2023-Premier-League,0.0,0.5,0.7708333333333335
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2023-09-18,Mon,Premier League,Matchweek 5,Away,D 1–1,Burnley,Nott'ham Forest,Y*,DM,90,0,0,0,0,1,0,0,0,46.0,2.0,2,0.0,0.1,0.1,0.0,3.0,1.0,25.0,40.0,62.5,4.0,31.0,2.0,0.0,0.0,/en/matches/ad7ecfad/Nottingham-Forest-Burnley-September-18-2023-Premier-League,0.5,0.3333333333333333,0.5222222222222221
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2023-09-23,Sat,Premier League,Matchweek 6,Home,L 0–1,Burnley,Manchester Utd,Y*,LM,85,0,0,0,0,1,0,0,0,48.0,2.0,0,1.0,0.1,0.1,0.2,3.0,0.0,31.0,40.0,77.5,2.0,22.0,0.0,1.0,0.0,/en/matches/8e26793d/Burnley-Manchester-United-September-23-2023-Premier-League,0.0,0.5,0.282051282051282
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2023-09-30,Sat,Premier League,Matchweek 7,Away,L 0–2,Burnley,Newcastle Utd,Y*,AM,90,0,0,0,0,0,0,0,0,46.0,2.0,1,3.0,0.0,0.0,0.1,2.0,0.0,26.0,36.0,72.2,4.0,18.0,0.0,1.0,0.0,/en/matches/a79ff136/Newcastle-United-Burnley-September-30-2023-Premier-League,0.0,0.1666666666666666,0.8111111111111112
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2023-10-03,Tue,Premier League,Matchweek 2,Away,W 2–1,Burnley,Luton Town,Y*,LM,90,0,0,0,0,3,0,0,0,76.0,1.0,1,0.0,0.1,0.1,0.3,4.0,0.0,47.0,66.0,71.2,3.0,34.0,2.0,1.0,0.0,/en/matches/4f7b3f27/Luton-Town-Burnley-October-3-2023-Premier-League,1.0,0.1666666666666666,0.4523809523809524
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2023-10-07,Sat,Premier League,Matchweek 8,Home,L 1–4,Burnley,Chelsea,Y*,LM,90,0,0,0,0,0,0,0,0,43.0,2.0,2,0.0,0.0,0.0,0.1,5.0,0.0,26.0,35.0,74.3,1.0,10.0,0.0,0.0,0.0,/en/matches/cfd83ca3/Burnley-Chelsea-October-7-2023-Premier-League,0.0,0.3333333333333333,0.6785714285714286
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2023-10-21,Sat,Premier League,Matchweek 9,Away,L 0–3,Burnley,Brentford,N,DM,25,0,0,0,0,0,0,0,0,16.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,12.0,15.0,80.0,1.0,11.0,0.0,0.0,0.0,/en/matches/52781f37/Brentford-Burnley-October-21-2023-Premier-League,0.0,0.3333333333333333,0.2555555555555555
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2023-10-28,Sat,Premier League,Matchweek 10,Away,L 1–2,Burnley,Bournemouth,Y*,"LM,DM",90,0,0,0,0,0,0,0,0,49.0,5.0,1,1.0,0.0,0.0,0.0,1.0,0.0,27.0,37.0,73.0,3.0,19.0,2.0,1.0,0.0,/en/matches/c4c42d3e/Bournemouth-Burnley-October-28-2023-Premier-League,0.0,0.3333333333333333,0.2333333333333333
