,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
0,2020-10-04,Sat,Matchweek 6,Home,D 0–0,Manchester Utd,Chelsea,Y,RW,57,39,0,3,13,23,2,39,0,0,,0,,15,85,56,2,2,0,1,0,28,7,/en/matches/3aaf7c62/Manchester-United-Chelsea-October-24-2020-Premier-League
1,2020-10-04,Sun,Matchweek 7,Home,L 0–1,Manchester Utd,Arsenal,N,"On matchday squad, but did not play",/en/matches/75dd1359/Manchester-United-Arsenal-November-1-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
2,2020-10-04,Sat,Matchweek 8,Away,W 3–1,Manchester Utd,Everton,Y,RW,81,30,1,6,14,10,1,30,0,0,,0,,16,79,22,0,1,1,0,2,27,6,/en/matches/ab9f408d/Everton-Manchester-United-November-7-2020-Premier-League
3,2020-10-04,Sat,Matchweek 9,Home,W 1–0,Manchester Utd,West Brom,Y,RW,62,37,0,3,17,17,3,37,0,0,,0,,23,85,20,0,2,0,0,3,33,7,/en/matches/50004f43/Manchester-United-West-Bromwich-Albion-November-21-2020-Premier-League
4,2020-10-04,Sun,Matchweek 10,Away,W 3–2,Manchester Utd,Southampton,N,"On matchday squad, but did not play",/en/matches/e0a84e7e/Southampton-Manchester-United-November-29-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
5,2020-10-04,Sat,Matchweek 11,Away,W 3–1,Manchester Utd,West Ham,N,RW,29,20,1,3,14,3,0,20,0,0,,0,,11,42,22,1,1,0,1,0,16,1,/en/matches/c2206b97/West-Ham-United-Manchester-United-December-5-2020-Premier-League
6,2020-10-04,Sat,Matchweek 12,Home,D 0–0,Manchester Utd,Manchester City,N,"On matchday squad, but did not play",/en/matches/85cc70bb/Manchester-Derby-Manchester-United-Manchester-City-December-12-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
7,2020-10-04,Thu,Matchweek 13,Away,W 3–2,Manchester Utd,Sheffield Utd,N,RW,17,12,1,1,6,5,2,12,2,1,50.0,1,50.0,10,58,30,1,1,0,0,1,10,2,/en/matches/3b3cc5f6/Sheffield-United-Manchester-United-December-17-2020-Premier-League
8,2020-10-04,Sun,Matchweek 14,Home,W 6–2,Manchester Utd,Leeds United,N,"On matchday squad, but did not play",/en/matches/b7ab53b3/Manchester-United-Leeds-United-December-20-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
9,2020-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2020-10-04,Tue,Matchweek 16,Home,W 1–0,Manchester Utd,Wolves,N,"On matchday squad, but did not play",/en/matches/a8d659e4/Manchester-United-Wolverhampton-Wanderers-December-29-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
11,2020-10-04,Fri,Matchweek 17,Home,W 2–1,Manchester Utd,Aston Villa,N,"On matchday squad, but did not play",/en/matches/0ae3a66d/Manchester-United-Aston-Villa-January-1-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
12,2020-10-04,Tue,Matchweek 1,Away,W 1–0,Manchester Utd,Burnley,N,"On matchday squad, but did not play",/en/matches/2c8aa556/Burnley-Manchester-United-January-12-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
13,2020-10-04,Sun,Matchweek 19,Away,D 0–0,Manchester Utd,Liverpool,N,"On matchday squad, but did not play",/en/matches/7e1384ef/North-West-Derby-Liverpool-Manchester-United-January-17-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
14,2020-10-04,Wed,Matchweek 18,Away,W 2–1,Manchester Utd,Fulham,N,"On matchday squad, but did not play",/en/matches/2a3855db/Fulham-Manchester-United-January-20-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
15,2020-10-04,Wed,Matchweek 20,Home,L 1–2,Manchester Utd,Sheffield Utd,N,"On matchday squad, but did not play",/en/matches/6e963555/Manchester-United-Sheffield-United-January-27-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
16,2020-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2020-10-04,Sun,Matchweek 25,Home,W 3–1,Manchester Utd,Newcastle Utd,N,RW,3,7,0,1,2,4,0,7,0,0,,0,,4,26,17,0,0,0,0,0,6,0,/en/matches/401e0d48/Manchester-United-Newcastle-United-February-21-2021-Premier-League
18,2020-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2020-10-04,Sun,Matchweek 31,Away,W 3–1,Manchester Utd,Tottenham,N,"On matchday squad, but did not play",/en/matches/a51d567c/Tottenham-Hotspur-Manchester-United-April-11-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
20,2020-10-04,Sun,Matchweek 32,Home,W 3–1,Manchester Utd,Burnley,N,"On matchday squad, but did not play",/en/matches/3e00561f/Manchester-United-Burnley-April-18-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
21,2020-10-04,Sun,Matchweek 33,Away,D 0–0,Manchester Utd,Leeds United,N,"On matchday squad, but did not play",/en/matches/8422804d/Leeds-United-Manchester-United-April-25-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
22,2020-10-04,Sun,Matchweek 35,Away,W 3–1,Manchester Utd,Aston Villa,N,"On matchday squad, but did not play",/en/matches/c80d17ca/Aston-Villa-Manchester-United-May-9-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
23,2020-10-04,Tue,Matchweek 36,Home,L 1–2,Manchester Utd,Leicester City,Y,"AM,RW",90,53,0,5,34,15,1,53,1,1,100.0,0,0.0,27,216,52,0,0,0,1,0,47,2,/en/matches/855994bf/Manchester-United-Leicester-City-May-11-2021-Premier-League
24,2020-10-04,Thu,Matchweek 34,Home,L 2–4,Manchester Utd,Liverpool,N,"On matchday squad, but did not play",/en/matches/9f0275a4/North-West-Derby-Manchester-United-Liverpool-May-13-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
25,2020-10-04,Tue,Matchweek 37,Home,D 1–1,Manchester Utd,Fulham,N,"On matchday squad, but did not play",/en/matches/d8018048/Manchester-United-Fulham-May-18-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
26,2020-10-04,Sun,Matchweek 38,Away,W 2–1,Manchester Utd,Wolves,Y,AM,81,59,1,6,30,23,1,58,0,0,,0,,50,246,105,4,4,0,2,0,50,2,/en/matches/2c081c94/Wolverhampton-Wanderers-Manchester-United-May-23-2021-Premier-League
