,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2022-08-06,Sun,Matchweek 3,Away,L 0–3,Chelsea,Leeds United,Y,CB,83,0,0,0,0,1,1,2,1,84,3,4,3,0.0,0.0,0.0,1,0,58,74,78.4,10,31,1,1,1,/en/matches/a5632124/Leeds-United-Chelsea-August-21-2022-Premier-League
1,2022-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2022-08-06,Tue,Matchweek 5,Away,L 1–2,Chelsea,Southampton,Y,CB,90,0,0,0,0,0,0,0,0,87,1,1,1,0.0,0.0,0.0,0,0,61,77,79.2,6,52,2,0,0,/en/matches/afd303a8/Southampton-Chelsea-August-30-2022-Premier-League
3,2022-08-06,Sat,Matchweek 6,Home,W 2–1,Chelsea,West Ham,Y,CB,90,0,0,0,0,1,0,0,0,92,0,0,0,0.1,0.1,0.0,1,1,72,84,85.7,6,55,1,1,1,/en/matches/d7642197/Chelsea-West-Ham-United-September-3-2022-Premier-League
4,2022-08-06,Sat,Matchweek 9,Away,W 2–1,Chelsea,Crystal Palace,N,"On matchday squad, but did not play",/en/matches/372249f3/Crystal-Palace-Chelsea-October-1-2022-Premier-League,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2022-08-06,Sat,Matchweek 10,Home,W 3–0,Chelsea,Wolves,Y,CB,90,0,0,0,0,1,0,0,0,90,5,1,1,0.1,0.1,0.0,3,0,72,80,90.0,3,73,0,0,0,/en/matches/c83cb314/Chelsea-Wolverhampton-Wanderers-October-8-2022-Premier-League
6,2022-08-06,Sun,Matchweek 11,Away,W 2–0,Chelsea,Aston Villa,N,CB,45,0,0,0,0,0,0,1,0,53,0,2,0,0.0,0.0,0.0,0,0,43,46,93.5,2,33,1,0,0,/en/matches/7113ce7f/Aston-Villa-Chelsea-October-16-2022-Premier-League
7,2022-08-06,Wed,Matchweek 12,Away,D 0–0,Chelsea,Brentford,Y,CB,90,0,0,0,0,0,0,0,0,74,2,2,2,0.0,0.0,0.1,2,0,58,67,86.6,5,40,1,0,0,/en/matches/b7a32aeb/Brentford-Chelsea-October-19-2022-Premier-League
8,2022-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2022-08-06,Sun,Matchweek 15,Home,L 0–1,Chelsea,Arsenal,N,"On matchday squad, but did not play",/en/matches/af9dc838/North-West-London-Derby-Chelsea-Arsenal-November-6-2022-Premier-League,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2022-08-06,Sat,Matchweek 16,Away,L 0–1,Chelsea,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,1,0,67,1,0,0,0.0,0.0,0.0,1,0,46,60,76.7,3,43,0,0,0,/en/matches/e1b3eb1b/Newcastle-United-Chelsea-November-12-2022-Premier-League
11,2022-08-06,Tue,Matchweek 17,Home,W 2–0,Chelsea,Bournemouth,Y,CB,90,0,0,0,0,1,0,0,0,68,2,1,1,0.0,0.0,0.0,1,0,53,58,91.4,1,44,0,1,0,/en/matches/d55b9033/Chelsea-Bournemouth-December-27-2022-Premier-League
12,2022-08-06,Sun,Matchweek 18,Away,D 1–1,Chelsea,Nott'ham Forest,Y,CB,90,0,0,0,0,0,0,0,0,116,3,0,1,0.0,0.0,0.2,2,0,97,108,89.8,4,92,3,1,0,/en/matches/c31cf944/Nottingham-Forest-Chelsea-January-1-2023-Premier-League
13,2022-08-06,Thu,Matchweek 19,Home,L 0–1,Chelsea,Manchester City,Y,CB,90,0,0,0,0,0,0,1,0,100,1,2,1,0.0,0.0,0.0,0,0,77,89,86.5,2,73,0,0,0,/en/matches/eacda90c/Chelsea-Manchester-City-January-5-2023-Premier-League
14,2022-08-06,Thu,Matchweek 7,Away,L 1–2,Chelsea,Fulham,Y,CB,90,1,0,0,0,1,1,0,0,85,1,3,1,0.4,0.4,0.0,2,0,63,75,84.0,3,59,0,1,1,/en/matches/2902a42d/Fulham-Chelsea-January-12-2023-Premier-League
