,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Sat,Premier League,Matchweek 1,Home,W 4–1,Brighton,Luton Town,Y,LW,90,0,1,0,0,1,0,1,0,55,1,0,0,0.0,0.0,0.6,8,2,42,48,87.5,5,46,7,3,1,Match Report
1,Sat,Premier League,Matchweek 2,Away,W 4–1,Brighton,Wolves,Y,LW,80,1,1,0,0,1,1,0,0,37,2,1,0,0.5,0.5,0.4,6,3,25,28,89.3,3,22,5,6,2,Match Report
2,Sat,Premier League,Matchweek 3,Home,L 1–3,Brighton,West Ham,Y,LW,90,0,0,0,0,2,0,1,0,51,0,0,1,0.1,0.1,0.2,2,0,33,43,76.7,2,40,12,5,3,Match Report
3,Sat,Premier League,Matchweek 4,Home,W 3–1,Brighton,Newcastle Utd,Y,LW,90,0,1,0,0,4,1,0,0,36,0,0,0,0.2,0.2,0.3,5,1,17,21,81.0,1,27,4,7,2,Match Report
4,Sat,Friendlies (M),Friendlies (M),Away,W 4–1,jp Japan,de Germany,Y,AM,83,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5,Tue,Friendlies (M),Friendlies (M),Neutral,W 4–2,jp Japan,tr Türkiye,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sat,Premier League,Matchweek 5,Away,W 3–1,Brighton,Manchester Utd,Y,LW,90,0,0,0,0,1,1,0,0,39,1,1,1,0.1,0.1,0.0,2,0,20,26,76.9,1,31,7,5,0,Match Report
7,Thu,Europa Lg,Group stage,Home,L 2–3,eng Brighton,gr AEK Athens,Y,LW,85,0,0,0,0,1,0,0,0,31,1,1,1,0.2,0.2,0.0,0,0,12,17,70.6,2,19,3,7,2,Match Report
8,Sun,Premier League,Matchweek 6,Home,W 3–1,Brighton,Bournemouth,N,LW,45,2,0,0,0,2,2,0,0,19,1,0,0,0.7,0.7,0.0,0,0,8,11,72.7,1,14,0,3,0,Match Report
9,,,,,6-0-2,,,7/8,,653,3,3,0,0,12,5,2,0,268,6,3,3,1.8,1.8,1.4,23,6,157,194,80.9,15,199,38,36,10,
