,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-14,Sat,Premier League,Matchweek 1,Home,W 3–2,Watford,Aston Villa,Y,"LM,AM",90,0,0,0,0,0.0,0.0,1,0,27.0,2.0,0.0,1.0,0.0,0.0,0.4,4.0,0.0,12.0,20.0,60.0,1.0,18.0,4.0,2.0,1.0,/en/matches/814b563c/Watford-Aston-Villa-August-14-2021-Premier-League,1.0,0.5,0.5238095238095238
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2021-08-21,Sat,Premier League,Matchweek 2,Away,L 0–2,Watford,Brighton,Y,LM,77,0,0,0,0,1.0,0.0,0,0,26.0,0.0,0.0,1.0,0.0,0.0,0.1,1.0,0.0,12.0,20.0,60.0,2.0,16.0,3.0,1.0,0.0,/en/matches/072af2f8/Brighton-and-Hove-Albion-Watford-August-21-2021-Premier-League,0.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2021-08-24,Tue,EFL Cup,Second round,Home,W 1–0,Watford,Crystal Palace,Y,CM,75,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/e7c899e5/Watford-Crystal-Palace-August-24-2021-EFL-Cup,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2021-09-05,Sun,Friendlies (M),Friendlies (M),Home,W 2–1,se Sweden,uz Uzbekistan,Y,RW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/acd7a2c8/Sweden-Uzbekistan-September-5-2021-Friendlies-M,1.0,0.6666666666666666,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2021-09-11,Sat,Premier League,Matchweek 4,Home,L 0–2,Watford,Wolves,N,LM,14,0,0,0,0,0.0,0.0,0,0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,28.6,0.0,6.0,0.0,1.0,1.0,/en/matches/09db0909/Watford-Wolverhampton-Wanderers-September-11-2021-Premier-League,0.0,0.6666666666666666,0.4615384615384615
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2021-09-18,Sat,Premier League,Matchweek 5,Away,W 3–1,Watford,Norwich City,N,LW,18,0,0,0,0,0.0,0.0,0,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,71.4,0.0,5.0,1.0,2.0,2.0,/en/matches/835fa19c/Norwich-City-Watford-September-18-2021-Premier-League,1.0,0.6666666666666666,0.3809523809523809
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2021-09-21,Tue,EFL Cup,Third round,Home,L 1–3,Watford,Stoke City,Y,FW,90,0,0,0,0,2.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/7cfca76c/Watford-Stoke-City-September-21-2021-EFL-Cup,0.0,0.6666666666666666,0.5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2021-10-02,Sat,Premier League,Matchweek 7,Away,L 0–1,Watford,Leeds United,N,"LM,FW,LW",46,0,0,0,0,0.0,0.0,0,0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,63.6,1.0,9.0,1.0,2.0,0.0,/en/matches/be9d8a45/Leeds-United-Watford-October-2-2021-Premier-League,0.0,0.3333333333333333,0.3333333333333333
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2021-10-30,Sat,Premier League,Matchweek 10,Home,L 0–1,Watford,Southampton,N,"LW,LM",45,0,0,0,0,0.0,0.0,0,0,16.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,40.0,0.0,7.0,1.0,1.0,0.0,/en/matches/e3521093/Watford-Southampton-October-30-2021-Premier-League,0.0,0.3333333333333333,0.5714285714285714
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2021-12-10,Fri,Premier League,Matchweek 16,Away,L 1–2,Watford,Brentford,N,RW,14,0,0,0,0,0.0,0.0,0,0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,0.0,/en/matches/49a36a4e/Brentford-Watford-December-10-2021-Premier-League,0.0,0.0,0.4761904761904761
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2021-12-28,Tue,Premier League,Matchweek 20,Home,L 1–4,Watford,West Ham,N,LW,29,0,0,0,0,0.0,0.0,0,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,0.0,6.0,1.0,1.0,0.0,/en/matches/b56fd899/Watford-West-Ham-United-December-28-2021-Premier-League,0.0,0.0,0.1666666666666666
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2022-01-01,Sat,Premier League,Matchweek 21,Home,L 0–1,Watford,Tottenham,Y,LM,89,0,0,0,0,1.0,1.0,0,0,21.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,10.0,40.0,0.0,11.0,1.0,3.0,2.0,/en/matches/9c831c07/Watford-Tottenham-Hotspur-January-1-2022-Premier-League,0.0,0.0,0.5
