,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Sat,Premier League,Matchweek 1,Away,W 1–0,Chelsea,Everton,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,Premier League,Matchweek 2,Home,D 2–2,Chelsea,Tottenham,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sun,Premier League,Matchweek 3,Away,L 0–3,Chelsea,Leeds United,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sat,Premier League,Matchweek 4,Home,W 2–1,Chelsea,Leicester City,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tue,Premier League,Matchweek 5,Away,L 1–2,Chelsea,Southampton,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sat,Premier League,Matchweek 6,Home,W 2–1,Chelsea,West Ham,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tue,Champions Lg,Group stage,Away,L 0–1,eng Chelsea,hr Dinamo Zagreb,Y,GK,90,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,10,14,71.4,0,7,0,0,0,Match Report
7,Wed,Champions Lg,Group stage,Home,D 1–1,eng Chelsea,at RB Salzburg,Y,GK,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,28,39,71.8,0,34,0,0,0,Match Report
8,Sat,Premier League,Matchweek 9,Away,W 2–1,Chelsea,Crystal Palace,Y,GK,90,0,0,0,0,0,0,0,0,26,1,0,0,0.0,0.0,0.0,0,0,20,23,87.0,0,10,0,0,0,Match Report
9,Wed,Champions Lg,Group stage,Home,W 3–0,eng Chelsea,it Milan,Y,GK,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,13,25,52.0,0,14,0,0,0,Match Report
10,Sat,Premier League,Matchweek 10,Home,W 3–0,Chelsea,Wolves,Y,GK,90,0,0,0,0,0,0,0,0,33,1,0,0,0.0,0.0,0.0,0,0,28,32,87.5,0,19,0,0,0,Match Report
11,Tue,Champions Lg,Group stage,Away,W 2–0,eng Chelsea,it Milan,Y,GK,90,0,0,0,0,0,0,0,0,34,0,1,0,0.0,0.0,0.0,0,0,29,33,87.9,0,27,0,0,0,Match Report
12,Sun,Premier League,Matchweek 11,Away,W 2–0,Chelsea,Aston Villa,Y,GK,90,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,0,0,33,41,80.5,0,20,0,0,0,Match Report
13,Wed,Premier League,Matchweek 12,Away,D 0–0,Chelsea,Brentford,Y,GK,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,1,0,22,35,62.9,0,17,0,0,0,Match Report
14,Sat,Premier League,Matchweek 13,Home,D 1–1,Chelsea,Manchester Utd,Y,GK,90,0,0,0,0,0,0,0,0,58,0,0,0,0.0,0.0,0.0,0,0,39,53,73.6,0,40,0,0,0,Match Report
15,Tue,Champions Lg,Group stage,Away,W 2–1,eng Chelsea,at RB Salzburg,Y,GK,90,0,0,0,0,0,0,1,0,48,0,0,0,0.0,0.0,0.0,0,0,32,46,69.6,0,38,0,0,0,Match Report
16,Sat,Premier League,Matchweek 14,Away,L 1–4,Chelsea,Brighton,Y,GK,45,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,14,16,87.5,0,7,0,0,0,Match Report
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Tue,Premier League,Matchweek 17,Home,W 2–0,Chelsea,Bournemouth,Y,GK,90,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,0,0,40,46,87.0,0,32,0,0,0,Match Report
19,Sun,Premier League,Matchweek 18,Away,D 1–1,Chelsea,Nott'ham Forest,Y,GK,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,33,35,94.3,0,27,0,0,0,Match Report
20,Thu,Premier League,Matchweek 19,Home,L 0–1,Chelsea,Manchester City,Y,GK,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,31,40,77.5,0,30,0,0,0,Match Report
