,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2019-08-10,Sun,Matchweek 3,Away,D 1–1,Burnley,Wolves,N,"On matchday squad, but did not play",/en/matches/16119ef2/Wolverhampton-Wanderers-Burnley-August-25-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
1,2019-08-10,Sat,Matchweek 4,Home,L 0–3,Burnley,Liverpool,N,"On matchday squad, but did not play",/en/matches/af072d61/Burnley-Liverpool-August-31-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
2,2019-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2019-08-10,Sat,Matchweek 6,Home,W 2–0,Burnley,Norwich City,N,"On matchday squad, but did not play",/en/matches/f97b0ce8/Burnley-Norwich-City-September-21-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
4,2019-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2019-08-10,Sat,Matchweek 8,Home,W 1–0,Burnley,Everton,N,"On matchday squad, but did not play",/en/matches/2f9439d0/Burnley-Everton-October-5-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
6,2019-08-10,Sat,Matchweek 9,Away,L 1–2,Burnley,Leicester City,N,"On matchday squad, but did not play",/en/matches/3529c097/Leicester-City-Burnley-October-19-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
7,2019-08-10,Sat,Matchweek 10,Home,L 2–4,Burnley,Chelsea,N,"On matchday squad, but did not play",/en/matches/082dc9ef/Burnley-Chelsea-October-26-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
8,2019-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2019-08-10,Sat,Matchweek 12,Home,W 3–0,Burnley,West Ham,N,"On matchday squad, but did not play",/en/matches/559f666e/Burnley-West-Ham-United-November-9-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
10,2019-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2019-08-10,Sat,Matchweek 18,Away,W 1–0,Burnley,Bournemouth,N,"On matchday squad, but did not play",/en/matches/e8b74ca0/Bournemouth-Burnley-December-21-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
12,2019-08-10,Thu,Matchweek 19,Away,L 0–1,Burnley,Everton,N,AM,3,1,2,50.0,12,12,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0,1,0,0,1,/en/matches/b23c6c90/Everton-Burnley-December-26-2019-Premier-League
13,2019-08-10,Sat,Matchweek 20,Home,L 0–2,Burnley,Manchester Utd,N,"On matchday squad, but did not play",/en/matches/f66bbb03/Burnley-Manchester-United-December-28-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
14,2019-08-10,Wed,Matchweek 21,Home,L 1–2,Burnley,Aston Villa,N,"On matchday squad, but did not play",/en/matches/ac409026/Burnley-Aston-Villa-January-1-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
15,2019-08-10,Sat,Matchweek 22,Away,L 0–3,Burnley,Chelsea,N,"On matchday squad, but did not play",/en/matches/17a5a8ef/Chelsea-Burnley-January-11-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
16,2019-08-10,Sun,Matchweek 23,Home,W 2–1,Burnley,Leicester City,N,"On matchday squad, but did not play",/en/matches/bd102a2b/Burnley-Leicester-City-January-19-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
17,2019-08-10,Wed,Matchweek 24,Away,W 2–0,Burnley,Manchester Utd,N,"On matchday squad, but did not play",/en/matches/709e2aa4/Manchester-United-Burnley-January-22-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
18,2019-08-10,Sun,Matchweek 25,Home,D 0–0,Burnley,Arsenal,N,"On matchday squad, but did not play",/en/matches/a6b40849/Burnley-Arsenal-February-2-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
19,2019-08-10,Sat,Matchweek 26,Away,W 2–1,Burnley,Southampton,N,"On matchday squad, but did not play",/en/matches/738ade70/Southampton-Burnley-February-15-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
20,2019-08-10,Sat,Matchweek 27,Home,W 3–0,Burnley,Bournemouth,N,"On matchday squad, but did not play",/en/matches/bcdc3fb0/Burnley-Bournemouth-February-22-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
21,2019-08-10,Sat,Matchweek 28,Away,D 0–0,Burnley,Newcastle Utd,N,"On matchday squad, but did not play",/en/matches/5d623dc0/Newcastle-United-Burnley-February-29-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
22,2019-08-10,Sat,Matchweek 29,Home,D 1–1,Burnley,Tottenham,N,"On matchday squad, but did not play",/en/matches/1b4c17ec/Burnley-Tottenham-Hotspur-March-7-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
23,2019-08-10,Mon,Matchweek 30,Away,L 0–5,Burnley,Manchester City,N,"On matchday squad, but did not play",/en/matches/b1d3ebde/Manchester-City-Burnley-June-22-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
24,2019-08-10,Thu,Matchweek 31,Home,W 1–0,Burnley,Watford,N,"On matchday squad, but did not play",/en/matches/965fbb94/Burnley-Watford-June-25-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
25,2019-08-10,Mon,Matchweek 32,Away,W 1–0,Burnley,Crystal Palace,N,CB,21,1,2,50.0,20,0,0,1,0.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,/en/matches/d7661a5f/Crystal-Palace-Burnley-June-29-2020-Premier-League
26,2019-08-10,Sun,Matchweek 33,Home,D 1–1,Burnley,Sheffield Utd,Y,CB,90,26,34,76.5,570,205,9,11,81.8,13,15,86.7,4,6,66.7,0,0.0,0.0,0,1,0,0,0,/en/matches/c2378113/Burnley-Sheffield-United-July-5-2020-Premier-League
27,2019-08-10,Wed,Matchweek 34,Away,W 1–0,Burnley,West Ham,Y,CB,90,27,35,77.1,463,148,12,14,85.7,12,15,80.0,2,4,50.0,0,0.0,0.0,0,0,0,0,1,/en/matches/5c57bea6/West-Ham-United-Burnley-July-8-2020-Premier-League
28,2019-08-10,Sat,Matchweek 35,Away,D 1–1,Burnley,Liverpool,Y,CB,90,9,12,75.0,156,64,5,5,100.0,2,3,66.7,1,3,33.3,0,0.0,0.0,0,0,0,0,0,/en/matches/267d7e78/Liverpool-Burnley-July-11-2020-Premier-League
29,2019-08-10,Wed,Matchweek 36,Home,D 1–1,Burnley,Wolves,Y,CB,90,27,38,71.1,543,173,8,11,72.7,13,14,92.9,5,11,45.5,0,0.0,0.0,0,1,0,0,2,/en/matches/a7c5d31f/Burnley-Wolverhampton-Wanderers-July-15-2020-Premier-League
30,2019-08-10,Sat,Matchweek 37,Away,W 2–0,Burnley,Norwich City,Y,CB,90,32,38,84.2,567,271,15,17,88.2,13,16,81.3,4,4,100.0,0,0.0,0.0,0,2,0,0,3,/en/matches/9594e0b4/Norwich-City-Burnley-July-18-2020-Premier-League
31,2019-08-10,Sun,Matchweek 38,Home,L 1–2,Burnley,Brighton,Y,CB,90,26,40,65.0,552,164,7,11,63.6,15,18,83.3,4,9,44.4,0,0.0,0.0,0,0,0,0,1,/en/matches/d4360fcd/Burnley-Brighton-and-Hove-Albion-July-26-2020-Premier-League
