,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2022-06-07,Tue,UEFA Nations League,League A,Away,D 1–1,eng England,de Germany,Y,LB,90,0,0,0,0,0,0,0,0,,,4,,,,,,,,,,,,,,,/en/matches/d7df9e02/Germany-England-June-7-2022-UEFA-Nations-League
1,2022-06-11,Sat,UEFA Nations League,League A,Home,D 0–0,eng England,it Italy,Y,LB,90,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,/en/matches/c75dc433/England-Italy-June-11-2022-UEFA-Nations-League
2,2022-08-06,Sat,Premier League,Matchweek 1,Home,W 2–0,Newcastle Utd,Nott'ham Forest,Y*,RB,90,0,0,0,0,1,0,0,0,99,1,4,2,0.0,0.0,0.1,4,1,63,89,70.8,12,39,2,0,0,/en/matches/1ac96eb4/Newcastle-United-Nottingham-Forest-August-6-2022-Premier-League
3,2022-08-13,Sat,Premier League,Matchweek 2,Away,D 0–0,Newcastle Utd,Brighton,Y*,RB,90,0,0,0,0,0,0,0,0,61,2,2,1,0.0,0.0,0.1,1,0,35,54,64.8,4,25,0,0,0,/en/matches/c916a5f6/Brighton-and-Hove-Albion-Newcastle-United-August-13-2022-Premier-League
4,2022-08-21,Sun,Premier League,Matchweek 3,Home,D 3–3,Newcastle Utd,Manchester City,Y*,RB,90,1,0,0,0,1,1,1,0,44,0,1,3,0.1,0.1,0.0,2,0,23,35,65.7,3,10,1,0,0,/en/matches/b513d9fe/Newcastle-United-Manchester-City-August-21-2022-Premier-League
5,2022-08-24,Wed,EFL Cup,Second round,Away,W 2–1,Newcastle Utd,Tranmere Rovers,N,,52,0,1,0,0,0,0,0,0,,,3,,,,,,,,,,,,,,,/en/matches/8aadb0e6/Tranmere-Rovers-Newcastle-United-August-24-2022-EFL-Cup
6,2022-08-28,Sun,Premier League,Matchweek 4,Away,D 1–1,Newcastle Utd,Wolves,Y*,RB,90,0,0,0,0,0,0,0,0,74,2,0,0,0.0,0.0,0.1,5,0,43,67,64.2,6,30,0,3,1,/en/matches/15d62d04/Wolverhampton-Wanderers-Newcastle-United-August-28-2022-Premier-League
7,2022-08-31,Wed,Premier League,Matchweek 5,Away,L 1–2,Newcastle Utd,Liverpool,Y,RB,90,0,0,0,0,1,1,1,0,47,1,0,1,0.1,0.1,0.0,0,0,26,35,74.3,2,20,0,1,1,/en/matches/ac6047cf/Liverpool-Newcastle-United-August-31-2022-Premier-League
8,2022-09-03,Sat,Premier League,Matchweek 6,Home,D 0–0,Newcastle Utd,Crystal Palace,Y*,RB,90,0,0,0,0,1,0,0,0,66,2,3,1,0.1,0.1,0.5,7,0,38,55,69.1,6,29,0,0,0,/en/matches/4ca4efa3/Newcastle-United-Crystal-Palace-September-3-2022-Premier-League
9,2022-09-17,Sat,Premier League,Matchweek 8,Home,D 1–1,Newcastle Utd,Bournemouth,Y*,RB,90,0,0,0,0,1,0,0,0,120,0,0,2,0.1,0.1,0.1,4,0,85,112,75.9,10,67,0,1,0,/en/matches/177da679/Newcastle-United-Bournemouth-September-17-2022-Premier-League
10,2022-10-01,Sat,Premier League,Matchweek 9,Away,W 4–1,Newcastle Utd,Fulham,Y*,RB,82,0,0,0,0,0,0,0,0,96,2,1,1,0.0,0.0,0.3,6,0,68,86,79.1,8,50,1,0,0,/en/matches/dcde1172/Fulham-Newcastle-United-October-1-2022-Premier-League
11,2022-10-08,Sat,Premier League,Matchweek 10,Home,W 5–1,Newcastle Utd,Brentford,Y*,RB,83,0,1,0,0,0,0,0,0,72,0,2,0,0.0,0.0,0.3,5,1,54,68,79.4,6,39,1,0,0,/en/matches/7dd42d3f/Newcastle-United-Brentford-October-8-2022-Premier-League
12,2022-10-16,Sun,Premier League,Matchweek 11,Away,D 0–0,Newcastle Utd,Manchester Utd,Y*,RB,90,0,0,0,0,1,0,0,0,71,1,3,0,0.1,0.1,0.3,5,0,40,60,66.7,6,21,0,0,0,/en/matches/e0b9c72c/Manchester-United-Newcastle-United-October-16-2022-Premier-League
13,2022-10-19,Wed,Premier League,Matchweek 12,Home,W 1–0,Newcastle Utd,Everton,Y*,RB,90,0,0,0,0,0,0,0,0,74,4,2,0,0.0,0.0,0.5,6,0,55,68,80.9,7,32,3,0,0,/en/matches/e6674f8d/Newcastle-United-Everton-October-19-2022-Premier-League
14,2022-10-23,Sun,Premier League,Matchweek 13,Away,W 2–1,Newcastle Utd,Tottenham,Y*,RB,90,0,0,0,0,0,0,0,0,94,3,0,4,0.0,0.0,0.0,4,1,65,85,76.5,9,46,0,1,1,/en/matches/ae21490f/Tottenham-Hotspur-Newcastle-United-October-23-2022-Premier-League
15,2022-10-29,Sat,Premier League,Matchweek 14,Home,W 4–0,Newcastle Utd,Aston Villa,Y*,RB,90,0,1,0,0,0,0,0,0,84,2,0,2,0.0,0.0,1.0,6,1,63,77,81.8,6,42,3,1,0,/en/matches/96f5ee84/Newcastle-United-Aston-Villa-October-29-2022-Premier-League
16,2022-11-06,Sun,Premier League,Matchweek 15,Away,W 4–1,Newcastle Utd,Southampton,Y*,RB,79,0,1,0,0,0,0,0,0,68,3,1,1,0.0,0.0,0.2,3,1,41,59,69.5,4,17,1,1,0,/en/matches/57f9bcc9/Southampton-Newcastle-United-November-6-2022-Premier-League
17,2022-11-09,Wed,EFL Cup,Third round,Home,D 0 (3)–0 (2),Newcastle Utd,Crystal Palace,N,,55,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/7a475622/Newcastle-United-Crystal-Palace-November-9-2022-EFL-Cup
18,2022-11-12,Sat,Premier League,Matchweek 16,Home,W 1–0,Newcastle Utd,Chelsea,Y*,RB,90,0,0,0,0,0,0,1,0,92,5,1,2,0.0,0.0,0.2,6,1,62,81,76.5,9,37,0,2,1,/en/matches/e1b3eb1b/Newcastle-United-Chelsea-November-12-2022-Premier-League
19,2022-11-21,Mon,World Cup,Group stage,Neutral,W 6–2,eng England,ir IR Iran,Y,RB,90,0,0,0,0,1,0,0,0,114,5,1,2,0.0,0.0,0.1,2,0,85,104,81.7,7,71,0,0,0,/en/matches/d8a472c1/England-IR-Iran-November-21-2022-FIFA-World-Cup
20,2022-11-25,Fri,World Cup,Group stage,Neutral,D 0–0,eng England,us United States,Y,RB,90,0,0,0,0,0,0,0,0,75,0,0,0,0.0,0.0,0.1,3,0,63,74,85.1,9,46,1,1,1,/en/matches/cde0c30b/England-United-States-November-25-2022-FIFA-World-Cup
21,2022-11-29,Tue,World Cup,Group stage,Neutral,W 3–0,eng England,wls Wales,N,LB,26,0,0,0,0,0,0,0,0,18,1,0,1,0.0,0.0,0.0,0,0,17,17,100.0,1,12,0,0,0,/en/matches/e51b7436/Wales-England-November-29-2022-FIFA-World-Cup
