,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2021-08-14,Sat,Matchweek 3,Away,W 2–1,Leicester City,Norwich City,N,LM,5,2,3,66.7,23,0,2,2,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,/en/matches/78c685cc/Norwich-City-Leicester-City-August-28-2021-Premier-League
1,2021-08-14,Sat,Matchweek 4,Home,L 0–1,Leicester City,Manchester City,N,"On matchday squad, but did not play",/en/matches/8dd69c8d/Leicester-City-Manchester-City-September-11-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
2,2021-08-14,Sun,Matchweek 5,Away,L 1–2,Leicester City,Brighton,N,"On matchday squad, but did not play",/en/matches/723f5105/Brighton-and-Hove-Albion-Leicester-City-September-19-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
3,2021-08-14,Sat,Matchweek 6,Home,D 2–2,Leicester City,Burnley,N,"On matchday squad, but did not play",/en/matches/2d61f328/Leicester-City-Burnley-September-25-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
4,2021-08-14,Sun,Matchweek 7,Away,D 2–2,Leicester City,Crystal Palace,N,"On matchday squad, but did not play",/en/matches/b06fd537/Crystal-Palace-Leicester-City-October-3-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
5,2021-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2021-08-14,Sun,Matchweek 9,Away,W 2–1,Leicester City,Brentford,N,"On matchday squad, but did not play",/en/matches/b5c25937/Brentford-Leicester-City-October-24-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
7,2021-08-14,Sat,Matchweek 10,Home,L 0–2,Leicester City,Arsenal,N,"On matchday squad, but did not play",/en/matches/719b57c6/Leicester-City-Arsenal-October-30-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
8,2021-08-14,Sun,Matchweek 11,Away,D 1–1,Leicester City,Leeds United,N,DM,14,8,12,66.7,113,17,5,6,83.3,3,4,75.0,0,1,0.0,0,0.1,0.1,1,0,0,0,0,/en/matches/8fd004c6/Leeds-United-Leicester-City-November-7-2021-Premier-League
9,2021-08-14,Sat,Matchweek 12,Home,L 0–3,Leicester City,Chelsea,N,CM,16,12,16,75.0,145,10,8,8,100.0,2,4,50.0,0,2,0.0,0,0.0,0.0,1,0,0,0,1,/en/matches/2fd486d6/Leicester-City-Chelsea-November-20-2021-Premier-League
10,2021-08-14,Sun,Matchweek 13,Home,W 4–2,Leicester City,Watford,N,AM,3,0,2,0.0,0,0,0,0,,0,1,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,/en/matches/c2e426c8/Leicester-City-Watford-November-28-2021-Premier-League
11,2021-08-14,Wed,Matchweek 14,Away,D 2–2,Leicester City,Southampton,N,DM,45,19,26,73.1,332,112,10,14,71.4,4,7,57.1,3,3,100.0,0,0.0,0.0,0,4,1,1,3,/en/matches/135f5959/Southampton-Leicester-City-December-1-2021-Premier-League
12,2021-08-14,Sun,Matchweek 15,Away,L 1–2,Leicester City,Aston Villa,Y,DM,85,44,57,77.2,646,148,25,26,96.2,17,24,70.8,2,5,40.0,0,0.1,0.0,1,8,1,0,9,/en/matches/49cc65ac/Aston-Villa-Leicester-City-December-5-2021-Premier-League
13,2021-08-14,Sun,Matchweek 16,Home,W 4–0,Leicester City,Newcastle Utd,Y,AM,90,40,54,74.1,492,95,26,30,86.7,10,13,76.9,1,4,25.0,0,0.0,0.0,2,4,0,0,2,/en/matches/8805978d/Leicester-City-Newcastle-United-December-12-2021-Premier-League
14,2021-08-14,Sun,Matchweek 19,Away,L 3–6,Leicester City,Manchester City,Y,CM,90,33,38,86.8,513,177,19,20,95.0,11,14,78.6,3,4,75.0,0,0.0,0.1,1,2,1,1,5,/en/matches/49e84e17/Manchester-City-Leicester-City-December-26-2021-Premier-League
15,2021-08-14,Tue,Matchweek 20,Home,W 1–0,Leicester City,Liverpool,Y,"LM,CM",90,36,56,64.3,470,194,22,29,75.9,8,13,61.5,2,8,25.0,1,0.1,0.0,1,1,1,1,4,/en/matches/8ad7b26f/Leicester-City-Liverpool-December-28-2021-Premier-League
16,2021-08-14,Wed,Matchweek 17,Home,L 2–3,Leicester City,Tottenham,Y,CM,87,61,70,87.1,795,230,37,40,92.5,18,22,81.8,1,3,33.3,0,0.5,0.2,4,6,3,1,6,/en/matches/77d28549/Leicester-City-Tottenham-Hotspur-January-19-2022-Premier-League
17,2021-08-14,Sun,Matchweek 23,Home,D 1–1,Leicester City,Brighton,Y,DM,90,49,64,76.6,619,101,35,41,85.4,12,15,80.0,0,3,0.0,0,0.0,0.0,0,2,0,0,4,/en/matches/a28f6f69/Leicester-City-Brighton-and-Hove-Albion-January-23-2022-Premier-League
18,2021-08-14,Thu,Matchweek 24,Away,L 0–2,Leicester City,Liverpool,Y,DM,90,31,42,73.8,408,87,18,21,85.7,9,15,60.0,2,2,100.0,0,0.0,0.0,0,2,0,0,3,/en/matches/911fa284/Liverpool-Leicester-City-February-10-2022-Premier-League
19,2021-08-14,Sun,Matchweek 25,Home,D 2–2,Leicester City,West Ham,Y,"LM,CM",90,38,50,76.0,554,135,23,27,85.2,12,14,85.7,3,8,37.5,0,0.1,0.1,2,5,2,0,5,/en/matches/c2c20295/Leicester-City-West-Ham-United-February-13-2022-Premier-League
20,2021-08-14,Sun,Matchweek 26,Away,L 1–2,Leicester City,Wolves,Y,LM,90,40,52,76.9,564,114,26,28,92.9,10,13,76.9,2,7,28.6,0,0.1,0.0,3,4,1,0,6,/en/matches/63d95af6/Wolverhampton-Wanderers-Leicester-City-February-20-2022-Premier-League
21,2021-08-14,Tue,Matchweek 22,Away,W 2–0,Leicester City,Burnley,Y,LM,90,37,50,74.0,447,154,26,28,92.9,9,12,75.0,1,5,20.0,0,0.1,0.0,3,8,1,0,5,/en/matches/a47f5f21/Burnley-Leicester-City-March-1-2022-Premier-League
22,2021-08-14,Sat,Matchweek 28,Home,W 1–0,Leicester City,Leeds United,Y,LM,90,41,56,73.2,568,193,23,27,85.2,11,14,78.6,2,3,66.7,0,0.0,0.0,0,9,2,0,9,/en/matches/1d777dcd/Leicester-City-Leeds-United-March-5-2022-Premier-League
23,2021-08-14,Sun,Matchweek 29,Away,L 0–2,Leicester City,Arsenal,Y,DM,90,43,56,76.8,692,143,18,24,75.0,16,19,84.2,5,7,71.4,0,0.1,0.1,1,2,1,0,3,/en/matches/47ea9ab2/Arsenal-Leicester-City-March-13-2022-Premier-League
24,2021-08-14,Sun,Matchweek 30,Home,W 2–1,Leicester City,Brentford,Y,AM,78,33,47,70.2,472,168,19,22,86.4,11,13,84.6,2,8,25.0,0,0.0,0.1,1,4,2,1,5,/en/matches/c8c7dd9b/Leicester-City-Brentford-March-20-2022-Premier-League
25,2021-08-14,Sat,Matchweek 31,Away,D 1–1,Leicester City,Manchester Utd,Y,AM,90,37,46,80.4,479,157,24,27,88.9,8,10,80.0,1,2,50.0,0,0.0,0.0,1,8,0,0,5,/en/matches/00863ee3/Manchester-United-Leicester-City-April-2-2022-Premier-League
26,2021-08-14,Sun,Matchweek 32,Home,W 2–1,Leicester City,Crystal Palace,Y,AM,90,40,48,83.3,634,164,22,26,84.6,15,17,88.2,3,4,75.0,1,0.2,0.2,1,6,1,0,7,/en/matches/816c435d/Leicester-City-Crystal-Palace-April-10-2022-Premier-League
27,2021-08-14,Sun,Matchweek 33,Away,L 1–2,Leicester City,Newcastle Utd,Y,CM,90,32,37,86.5,492,155,20,21,95.2,10,11,90.9,2,5,40.0,0,0.3,0.6,1,4,1,0,7,/en/matches/89803b3a/Newcastle-United-Leicester-City-April-17-2022-Premier-League
28,2021-08-14,Wed,Matchweek 18,Away,D 1–1,Leicester City,Everton,Y,AM,90,54,71,76.1,810,193,30,32,93.8,20,28,71.4,2,7,28.6,0,0.1,0.2,2,4,2,1,6,/en/matches/46471203/Everton-Leicester-City-April-20-2022-Premier-League
29,2021-08-14,Sat,Matchweek 34,Home,D 0–0,Leicester City,Aston Villa,Y,"CM,DM",90,37,50,74.0,667,219,13,19,68.4,20,25,80.0,3,3,100.0,0,0.0,0.0,0,7,0,0,13,/en/matches/17e5cacf/Leicester-City-Aston-Villa-April-23-2022-Premier-League
30,2021-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2021-08-14,Sun,Matchweek 36,Home,L 1–2,Leicester City,Everton,Y,"CM,LW",90,41,62,66.1,701,228,20,25,80.0,18,23,78.3,3,10,30.0,0,0.1,0.1,2,2,1,0,5,/en/matches/4a972389/Leicester-City-Everton-May-8-2022-Premier-League
32,2021-08-14,Wed,Matchweek 21,Home,W 3–0,Leicester City,Norwich City,Y,"LM,DM",90,53,67,79.1,914,223,23,25,92.0,20,24,83.3,7,14,50.0,0,0.4,0.3,3,5,3,0,9,/en/matches/2ae05ae6/Leicester-City-Norwich-City-May-11-2022-Premier-League
33,2021-08-14,Sun,Matchweek 37,Away,W 5–1,Leicester City,Watford,Y,"DM,CM",90,38,51,74.5,593,165,20,24,83.3,14,16,87.5,3,9,33.3,0,0.2,0.2,3,2,2,1,4,/en/matches/5a142f6f/Watford-Leicester-City-May-15-2022-Premier-League
34,2021-08-14,Thu,Matchweek 27,Away,D 1–1,Leicester City,Chelsea,Y,CM,90,32,41,78.0,482,66,20,21,95.2,11,12,91.7,1,4,25.0,0,0.0,0.0,0,1,0,0,3,/en/matches/75d8f6e0/Chelsea-Leicester-City-May-19-2022-Premier-League
