,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2020-09-14,Sat,Matchweek 3,Home,L 2–3,Brighton,Manchester Utd,Y*,CB,90,59,65,90.8,1147,380,18,19,94.7,36,38,94.7,4,7,57.1,0,0.0,0.0,0,1,0,0,2,/en/matches/21495573/Brighton-and-Hove-Albion-Manchester-United-September-26-2020-Premier-League
1,2020-09-14,Sat,Matchweek 4,Away,L 2–4,Brighton,Everton,Y*,CB,90,58,64,90.6,1016,207,18,19,94.7,37,37,100.0,2,7,28.6,0,0.0,0.0,0,3,0,0,2,/en/matches/3cbb397e/Everton-Brighton-and-Hove-Albion-October-3-2020-Premier-League
2,2020-09-14,Sun,Matchweek 5,Away,D 1–1,Brighton,Crystal Palace,Y*,CB,89,75,84,89.3,1555,354,16,17,94.1,50,50,100.0,8,15,53.3,0,0.0,0.0,1,3,0,0,3,/en/matches/e96818bc/Crystal-Palace-Brighton-and-Hove-Albion-October-18-2020-Premier-League
3,2020-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2020-09-14,Sat,Matchweek 9,Away,W 2–1,Brighton,Aston Villa,Y*,CB,90,59,61,96.7,988,366,25,25,100.0,29,29,100.0,2,4,50.0,0,0.0,0.0,0,1,0,0,0,/en/matches/dea0df40/Aston-Villa-Brighton-and-Hove-Albion-November-21-2020-Premier-League
5,2020-09-14,Sat,Matchweek 10,Home,D 1–1,Brighton,Liverpool,Y*,CB,90,41,50,82.0,859,333,12,15,80.0,21,22,95.5,7,11,63.6,0,0.0,0.0,0,2,0,0,1,/en/matches/31baf354/Brighton-and-Hove-Albion-Liverpool-November-28-2020-Premier-League
6,2020-09-14,Mon,Matchweek 11,Home,L 1–2,Brighton,Southampton,Y*,CB,90,43,52,82.7,887,299,10,12,83.3,25,26,96.2,6,10,60.0,0,0.0,0.0,0,2,0,0,3,/en/matches/32356abc/Brighton-and-Hove-Albion-Southampton-December-7-2020-Premier-League
7,2020-09-14,Sun,Matchweek 12,Away,L 0–3,Brighton,Leicester City,Y*,CB,90,51,56,91.1,1079,422,14,15,93.3,30,31,96.8,7,9,77.8,0,0.0,0.0,0,7,0,0,3,/en/matches/964e6470/Leicester-City-Brighton-and-Hove-Albion-December-13-2020-Premier-League
8,2020-09-14,Wed,Matchweek 13,Away,D 0–0,Brighton,Fulham,Y*,CB,90,51,65,78.5,1194,302,14,18,77.8,24,27,88.9,13,19,68.4,0,0.0,0.0,0,3,0,0,3,/en/matches/eb73d532/Fulham-Brighton-and-Hove-Albion-December-16-2020-Premier-League
9,2020-09-14,Sun,Matchweek 14,Home,D 1–1,Brighton,Sheffield Utd,Y*,CB,90,90,101,89.1,1794,428,26,31,83.9,49,53,92.5,13,15,86.7,0,0.1,0.1,1,4,0,0,9,/en/matches/d1273e90/Brighton-and-Hove-Albion-Sheffield-United-December-20-2020-Premier-League
