,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Sat,PL2 — Div. 1,Matchweek 1,Home,D 3–3,Manchester City,Derby County,Y,FW,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
1,Mon,Premier League,Matchweek 2,Away,W 3–1,Manchester City,Wolves,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Thu,EFL Cup,Third round,Home,W 2–1,Manchester City,Bournemouth,Y,FW,90,1,0,0,0,1,1,1,0,,,0,,,,,,,,,,,,,,,Match Report
3,Sun,Premier League,Matchweek 3,Home,L 2–5,Manchester City,Leicester City,N,FW,40,0,0,0,0,1,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,5,6,83.3,0,5,0,0,0,Match Report
4,Wed,EFL Cup,Fourth round,Away,W 3–0,Manchester City,Burnley,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sat,Premier League,Matchweek 4,Away,D 1–1,Manchester City,Leeds United,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sat,Premier League,Matchweek 5,Home,W 1–0,Manchester City,Arsenal,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sun,PL2 — Div. 1,Matchweek 5,Home,W 4–0,Manchester City,Leicester City,Y,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
8,Sat,PL2 — Div. 1,Matchweek 6,Home,W 4–1,Manchester City,Arsenal,Y,FW,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9,Sat,PL2 — Div. 1,Matchweek 8,Away,L 2–5,Manchester City,Southampton,Y,FW,83,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
10,Sun,PL2 — Div. 1,Matchweek 9,Home,D 2–2,Manchester City,Chelsea,Y,FW,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
11,Sat,PL2 — Div. 1,Matchweek 10,Away,W 7–2,Manchester City,Liverpool,Y,FW,79,2,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
