,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form
0,0,2021-07-03,Sat,Copa América,Quarter-finals,Neutral,D 0 (4)–0 (2),co Colombia,uy Uruguay,Y,LM,90,0,0,0,0,1,0,0,0,45.0,0.0,0,1.0,0.0,0.0,0.0,3.0,0.0,28.0,37.0,75.7,2.0,33.0,11.0,6.0,5.0,/en/matches/0b8ca785/Uruguay-Colombia-July-3-2021-Copa-America,0.5,0.5
1,1,2021-07-06,Tue,Copa América,Semi-finals,Away,D 1 (2)–1 (3),co Colombia,ar Argentina,Y,"LW,LM",120,1,0,0,0,3,2,0,0,51.0,3.0,0,0.0,0.2,0.2,0.1,4.0,1.0,27.0,34.0,79.4,3.0,38.0,7.0,16.0,11.0,/en/matches/6122c6fc/Argentina-Colombia-July-6-2021-Copa-America,0.5,0.5
2,2,2021-07-09,Fri,Copa América,Third-place match,Home,W 3–2,co Colombia,pe Peru,Y,LM,90,2,0,0,0,4,4,0,0,55.0,1.0,0,1.0,0.7,0.7,0.0,5.0,2.0,35.0,40.0,87.5,4.0,32.0,7.0,7.0,4.0,/en/matches/cbd151df/Colombia-Peru-July-9-2021-Copa-America,1.0,0.5
3,3,2021-08-08,Sun,Primeira Liga,Matchweek 1,Home,W 2–0,Porto,B-SAD,Y,"LM,FW",89,1,0,0,0,4,2,1,0,66.0,1.0,0,0.0,0.9,0.9,0.3,8.0,0.0,47.0,53.0,88.7,7.0,46.0,3.0,5.0,4.0,/en/matches/ed25ca34/Porto-Belenenses-SAD-August-8-2021-Primeira-Liga,1.0,0.6666666666666666
4,4,2021-08-15,Sun,Primeira Liga,Matchweek 2,Away,W 2–1,Porto,Famalicão,Y,LM,90,0,0,0,0,0,0,0,0,33.0,1.0,0,0.0,0.0,0.0,0.1,4.0,0.0,22.0,27.0,81.5,1.0,23.0,2.0,3.0,1.0,/en/matches/6ae421a7/Famalicao-Porto-August-15-2021-Primeira-Liga,1.0,0.8333333333333334
5,5,2021-08-22,Sun,Primeira Liga,Matchweek 3,Away,D 1–1,Porto,Marítimo,Y,LM,80,1,0,0,0,4,1,0,0,46.0,0.0,1,1.0,0.7,0.7,0.2,4.0,0.0,23.0,32.0,71.9,4.0,29.0,6.0,3.0,0.0,/en/matches/d18fd926/Maritimo-Porto-August-22-2021-Primeira-Liga,0.5,1.0
6,6,2021-08-28,Sat,Primeira Liga,Matchweek 4,Home,W 3–0,Porto,Arouca,Y,"LM,LW",79,0,1,0,0,3,1,1,0,53.0,0.0,0,1.0,0.9,0.9,0.4,7.0,1.0,26.0,36.0,72.2,3.0,34.0,5.0,7.0,4.0,/en/matches/f1a62406/Porto-Arouca-August-28-2021-Primeira-Liga,1.0,0.8333333333333334
7,7,2021-09-02,Thu,WCQ,WCQ — CONMEBOL (M),Away,D 1–1,co Colombia,bo Bolivia,Y,AM,57,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/55d031db/Bolivia-Colombia-September-2-2021-WCQ----CONMEBOL-M,0.5,0.8333333333333334
8,8,2021-09-05,Sun,WCQ,WCQ — CONMEBOL (M),Away,D 1–1,co Colombia,py Paraguay,N,,24,0,0,0,0,1,1,0,0,,,2,,,,,,,,,,,,,,,/en/matches/45bfd8f1/Paraguay-Colombia-September-5-2021-WCQ----CONMEBOL-M,0.5,0.6666666666666666
9,9,2021-09-09,Thu,WCQ,WCQ — CONMEBOL (M),Home,W 3–1,co Colombia,cl Chile,Y,LM,89,1,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/05c8c607/Colombia-Chile-September-9-2021-WCQ----CONMEBOL-M,1.0,0.6666666666666666
10,10,2021-09-11,Sat,Primeira Liga,Matchweek 5,Away,D 1–1,Porto,Sporting CP,Y,LM,89,1,0,0,0,2,1,0,0,40.0,1.0,0,1.0,0.1,0.1,0.0,2.0,1.0,19.0,27.0,70.4,0.0,24.0,4.0,7.0,6.0,/en/matches/bfa465f5/Sporting-CP-Porto-September-11-2021-Primeira-Liga,0.5,0.6666666666666666
11,11,2021-09-15,Wed,Champions Lg,Group stage,Away,D 0–0,pt Porto,es Atlético Madrid,Y,LM,83,0,0,0,0,0,0,1,0,31.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,13.0,18.0,72.2,2.0,22.0,3.0,6.0,4.0,/en/matches/f6116bb9/Atletico-Madrid-Porto-September-15-2021-Champions-League,0.5,0.6666666666666666
12,12,2021-09-19,Sun,Primeira Liga,Matchweek 6,Home,W 5–0,Porto,Moreirense,Y,LW,71,2,0,0,0,4,2,0,0,34.0,1.0,0,1.0,0.9,0.9,0.2,4.0,0.0,18.0,23.0,78.3,2.0,22.0,5.0,2.0,1.0,/en/matches/e99b6444/Porto-Moreirense-September-19-2021-Primeira-Liga,1.0,0.6666666666666666
13,13,2021-09-24,Fri,Primeira Liga,Matchweek 7,Away,W 2–1,Porto,Gil Vicente FC,Y,LW,83,0,0,0,0,1,0,0,0,53.0,0.0,0,0.0,0.1,0.1,0.0,1.0,0.0,36.0,42.0,85.7,4.0,38.0,5.0,2.0,1.0,/en/matches/22f5615a/Gil-Vicente-FC-Porto-September-24-2021-Primeira-Liga,1.0,0.6666666666666666
14,14,2021-09-28,Tue,Champions Lg,Group stage,Home,L 1–5,pt Porto,eng Liverpool,Y,"LM,LW",90,0,0,0,0,2,1,0,0,40.0,3.0,1,2.0,0.1,0.1,0.4,2.0,0.0,16.0,21.0,76.2,1.0,26.0,3.0,5.0,2.0,/en/matches/1c876d93/Porto-Liverpool-September-28-2021-Champions-League,0.0,0.8333333333333334
15,15,2021-10-02,Sat,Primeira Liga,Matchweek 8,Home,W 2–1,Porto,Paços,Y,"LM,LW",88,1,0,0,0,4,1,0,0,52.0,1.0,0,0.0,0.7,0.7,0.1,4.0,2.0,29.0,37.0,78.4,3.0,31.0,6.0,3.0,2.0,/en/matches/ee74140d/Porto-Pacos-de-Ferreira-October-2-2021-Primeira-Liga,1.0,0.6666666666666666
16,16,2021-10-07,Thu,WCQ,WCQ — CONMEBOL (M),Away,D 0–0,co Colombia,uy Uruguay,Y,LM,90,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/b22cd290/Uruguay-Colombia-October-7-2021-WCQ----CONMEBOL-M,0.5,0.6666666666666666
