,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
0,2022-08-06,Mon,Matchweek 3,Away,L 1–2,Liverpool,Manchester Utd,Y,LW,90,42,42,0,0,0,0,1,0,0,0,0,0,33,0,3,/en/matches/3c9a8f71/North-West-Derby-Manchester-United-Liverpool-August-22-2022-Premier-League
1,2022-08-06,Sat,Matchweek 4,Home,W 9–0,Liverpool,Bournemouth,Y,"LW,FW",90,48,47,1,0,0,0,1,1,0,0,0,0,46,0,1,/en/matches/de515487/Liverpool-Bournemouth-August-27-2022-Premier-League
2,2022-08-06,Wed,Matchweek 5,Home,W 2–1,Liverpool,Newcastle Utd,Y,LW,90,39,39,0,0,0,2,2,0,0,0,0,0,28,0,2,/en/matches/ac6047cf/Liverpool-Newcastle-United-August-31-2022-Premier-League
3,2022-08-06,Sat,Matchweek 6,Away,D 0–0,Liverpool,Everton,Y,LW,90,24,24,0,0,0,1,2,0,0,0,0,0,15,0,3,/en/matches/073227b6/Merseyside-Derby-Everton-Liverpool-September-3-2022-Premier-League
4,2022-08-06,Sat,Matchweek 9,Home,D 3–3,Liverpool,Brighton,N,"LW,LM",45,23,23,0,0,0,1,1,0,0,0,0,0,17,0,0,/en/matches/aadd2e80/Liverpool-Brighton-and-Hove-Albion-October-1-2022-Premier-League
5,2022-08-06,Sun,Matchweek 10,Away,L 2–3,Liverpool,Arsenal,Y,LW,41,12,12,0,0,0,1,0,0,0,0,0,0,10,0,0,/en/matches/84a48413/Arsenal-Liverpool-October-9-2022-Premier-League
6,2022-08-06,,,,,,,,,,,,,,,,,,,,,,,,,
7,2022-08-06,Mon,Matchweek 31,Away,W 6–1,Liverpool,Leeds United,N,"RW,FW",10,10,10,0,0,0,0,0,0,0,0,0,0,10,0,0,/en/matches/fd3d05f5/Leeds-United-Liverpool-April-17-2023-Premier-League
8,2022-08-06,Sat,Matchweek 32,Home,W 3–2,Liverpool,Nott'ham Forest,N,LW,10,5,4,1,0,0,0,0,0,1,0,0,0,5,0,0,/en/matches/99bfc321/Liverpool-Nottingham-Forest-April-22-2023-Premier-League
9,2022-08-06,Wed,Matchweek 33,Away,W 2–1,Liverpool,West Ham,N,LW,32,26,26,0,0,0,0,0,0,0,0,0,0,23,0,0,/en/matches/f2f795ae/West-Ham-United-Liverpool-April-26-2023-Premier-League
10,2022-08-06,Sun,Matchweek 34,Home,W 4–3,Liverpool,Tottenham,Y,LW,62,37,36,1,0,0,0,0,1,0,0,0,0,33,0,0,/en/matches/e07267b3/Liverpool-Tottenham-Hotspur-April-30-2023-Premier-League
11,2022-08-06,Wed,Matchweek 28,Home,W 1–0,Liverpool,Fulham,Y,LW,65,22,19,3,0,0,0,0,3,0,0,0,0,18,0,1,/en/matches/24fb8eca/Liverpool-Fulham-May-3-2023-Premier-League
12,2022-08-06,Sat,Matchweek 35,Home,W 1–0,Liverpool,Brentford,N,LW,26,10,10,0,0,0,1,0,0,0,0,0,0,7,0,1,/en/matches/6e2d1c8c/Liverpool-Brentford-May-6-2023-Premier-League
13,2022-08-06,Mon,Matchweek 36,Away,W 3–0,Liverpool,Leicester City,Y,LW,73,50,49,0,0,0,0,0,0,0,0,0,0,42,1,2,/en/matches/7dd0fbd7/Leicester-City-Liverpool-May-15-2023-Premier-League
14,2022-08-06,Sat,Matchweek 37,Home,D 1–1,Liverpool,Aston Villa,Y,LW,71,21,20,0,0,0,0,1,0,0,0,0,0,17,1,1,/en/matches/72646bde/Liverpool-Aston-Villa-May-20-2023-Premier-League
15,2022-08-06,Sun,Matchweek 38,Away,D 4–4,Liverpool,Southampton,N,"LM,FW",34,25,25,0,0,0,0,0,0,0,0,0,0,18,0,0,/en/matches/8e5c6ea7/Southampton-Liverpool-May-28-2023-Premier-League
