,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
0,2021-08-14,Sun,Matchweek 3,Away,D 1–1,Leeds United,Burnley,Y,"CM,CB",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/2e5db698/Burnley-Leeds-United-August-29-2021-Premier-League
1,2021-08-14,Sun,Matchweek 4,Home,L 0–3,Leeds United,Liverpool,Y,"RB,CB",90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League
2,2021-08-14,Fri,Matchweek 5,Away,D 1–1,Leeds United,Newcastle Utd,Y,CB,88,2,1,1,0,0,0,0,0,0,0,0,0,0,0,/en/matches/aad7d38a/Newcastle-United-Leeds-United-September-17-2021-Premier-League
3,2021-08-14,,,,,,,,,,,,,,,,,,,,,,,,
4,2021-08-14,Sun,Matchweek 15,Home,D 2–2,Leeds United,Brentford,Y,CB,90,2,0,0,0,2,0,0,1,0,0,0,1,0,0,/en/matches/175160b7/Leeds-United-Brentford-December-5-2021-Premier-League
5,2021-08-14,Sat,Matchweek 16,Away,L 2–3,Leeds United,Chelsea,Y*,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/6ad3036b/Chelsea-Leeds-United-December-11-2021-Premier-League
6,2021-08-14,Tue,Matchweek 17,Away,L 0–7,Leeds United,Manchester City,Y*,CB,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/5730a84c/Manchester-City-Leeds-United-December-14-2021-Premier-League
7,2021-08-14,Sat,Matchweek 18,Home,L 1–4,Leeds United,Arsenal,Y*,CB,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/53b542d8/Leeds-United-Arsenal-December-18-2021-Premier-League
8,2021-08-14,Sun,Matchweek 21,Home,W 3–1,Leeds United,Burnley,Y*,CB,90,2,2,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/cff8022b/Leeds-United-Burnley-January-2-2022-Premier-League
9,2021-08-14,Sun,Matchweek 22,Away,W 3–2,Leeds United,West Ham,Y*,CB,90,2,1,0,0,1,0,0,1,0,0,0,1,0,0,/en/matches/62c16969/West-Ham-United-Leeds-United-January-16-2022-Premier-League
10,2021-08-14,Sat,Matchweek 23,Home,L 0–1,Leeds United,Newcastle Utd,Y*,RB,90,2,2,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/07df6328/Leeds-United-Newcastle-United-January-22-2022-Premier-League
11,2021-08-14,Wed,Matchweek 24,Away,D 3–3,Leeds United,Aston Villa,Y*,RB,90,2,2,0,0,0,0,0,1,1,0,0,0,0,0,/en/matches/f1e84229/Aston-Villa-Leeds-United-February-9-2022-Premier-League
12,2021-08-14,Sat,Matchweek 25,Away,L 0–3,Leeds United,Everton,Y*,CM,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/0a51943e/Everton-Leeds-United-February-12-2022-Premier-League
13,2021-08-14,Sun,Matchweek 26,Home,L 2–4,Leeds United,Manchester Utd,Y*,"CB,RB",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/002f0ff0/Leeds-United-Manchester-United-February-20-2022-Premier-League
14,2021-08-14,Wed,Matchweek 19,Away,L 0–6,Leeds United,Liverpool,Y*,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/6d0f3b48/Liverpool-Leeds-United-February-23-2022-Premier-League
15,2021-08-14,Sat,Matchweek 27,Home,L 0–4,Leeds United,Tottenham,Y*,RB,90,3,3,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/05d37de9/Leeds-United-Tottenham-Hotspur-February-26-2022-Premier-League
16,2021-08-14,Sat,Matchweek 28,Away,L 0–1,Leeds United,Leicester City,Y*,CB,90,1,0,0,0,1,0,0,0,0,0,0,0,0,0,/en/matches/1d777dcd/Leicester-City-Leeds-United-March-5-2022-Premier-League
17,2021-08-14,Thu,Matchweek 20,Home,L 0–3,Leeds United,Aston Villa,Y*,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/79b8fb6e/Leeds-United-Aston-Villa-March-10-2022-Premier-League
18,2021-08-14,Sun,Matchweek 29,Home,W 2–1,Leeds United,Norwich City,Y*,RB,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/b13fb9b9/Leeds-United-Norwich-City-March-13-2022-Premier-League
19,2021-08-14,Fri,Matchweek 30,Away,W 3–2,Leeds United,Wolves,Y*,RB,90,4,1,0,0,2,0,1,2,0,0,0,1,0,1,/en/matches/1c402923/Wolverhampton-Wanderers-Leeds-United-March-18-2022-Premier-League
20,2021-08-14,Sat,Matchweek 31,Home,D 1–1,Leeds United,Southampton,Y,RB,88,2,2,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/abc88be4/Leeds-United-Southampton-April-2-2022-Premier-League
21,2021-08-14,Sat,Matchweek 32,Away,W 3–0,Leeds United,Watford,Y,RB,90,2,2,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/b18deecf/Watford-Leeds-United-April-9-2022-Premier-League
22,2021-08-14,Mon,Matchweek 34,Away,D 0–0,Leeds United,Crystal Palace,Y,RB,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/1a9f4c1e/Crystal-Palace-Leeds-United-April-25-2022-Premier-League
23,2021-08-14,Sat,Matchweek 35,Home,L 0–4,Leeds United,Manchester City,Y*,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/5ce80a04/Leeds-United-Manchester-City-April-30-2022-Premier-League
