,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
0,2019-08-09,Sat,Matchweek 3,Home,L 2–3,Norwich City,Chelsea,Y,AM,80,34,3,6,15,13,0,34,1,0,0.0,1,100.0,17,73,39,1,1,0,1,0,18,2,/en/matches/4f4fd2d8/Norwich-City-Chelsea-August-24-2019-Premier-League
1,2019-08-09,Sat,Matchweek 4,Away,L 0–2,Norwich City,West Ham,Y,AM,76,38,1,2,18,18,5,38,2,1,50.0,1,50.0,29,128,98,3,1,0,0,2,30,5,/en/matches/164148a8/West-Ham-United-Norwich-City-August-31-2019-Premier-League
2,2019-08-09,Sat,Matchweek 5,Home,W 3–2,Norwich City,Manchester City,Y,AM,88,43,4,13,21,9,3,43,3,0,0.0,3,100.0,21,124,75,3,3,1,0,0,29,4,/en/matches/1c7bccd4/Norwich-City-Manchester-City-September-14-2019-Premier-League
3,2019-08-09,Sat,Matchweek 6,Away,L 0–2,Norwich City,Burnley,Y,AM,74,26,1,2,11,13,2,26,2,2,100.0,0,0.0,21,134,65,4,2,0,0,1,22,2,/en/matches/f97b0ce8/Burnley-Norwich-City-September-21-2019-Premier-League
4,2019-08-09,Sat,Matchweek 7,Away,L 0–2,Norwich City,Crystal Palace,Y,AM,65,33,0,9,11,13,3,33,2,2,100.0,0,0.0,26,138,69,3,3,2,3,0,29,7,/en/matches/3b180c0d/Crystal-Palace-Norwich-City-September-28-2019-Premier-League
5,2019-08-09,Sat,Matchweek 8,Home,L 1–5,Norwich City,Aston Villa,Y,AM,75,28,1,3,8,18,10,28,4,3,75.0,1,25.0,15,117,56,4,3,2,2,2,14,5,/en/matches/e50b8e5b/Norwich-City-Aston-Villa-October-5-2019-Premier-League
6,2019-08-09,Sat,Matchweek 9,Away,D 0–0,Norwich City,Bournemouth,N,"On matchday squad, but did not play",/en/matches/d71c01eb/Bournemouth-Norwich-City-October-19-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
7,2019-08-09,Sun,Matchweek 10,Home,L 1–3,Norwich City,Manchester Utd,N,"AM,DM",45,24,1,1,13,11,1,24,2,1,50.0,1,50.0,17,86,55,1,3,0,0,2,18,0,/en/matches/a31a1d67/Norwich-City-Manchester-United-October-27-2019-Premier-League
8,2019-08-09,Sat,Matchweek 11,Away,L 0–2,Norwich City,Brighton,Y,AM,74,30,0,4,18,10,0,30,3,3,100.0,0,0.0,21,193,152,4,2,0,0,1,24,2,/en/matches/21f39009/Brighton-and-Hove-Albion-Norwich-City-November-2-2019-Premier-League
9,2019-08-09,Fri,Matchweek 12,Home,L 0–2,Norwich City,Watford,Y,AM,61,30,0,5,15,11,2,30,4,3,75.0,1,25.0,22,108,57,3,1,1,3,1,18,0,/en/matches/e92f4d2c/Norwich-City-Watford-November-8-2019-Premier-League
10,2019-08-09,Sat,Matchweek 13,Away,W 2–0,Norwich City,Everton,N,"On matchday squad, but did not play",/en/matches/464461f5/Everton-Norwich-City-November-23-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
11,2019-08-09,Sun,Matchweek 14,Home,D 2–2,Norwich City,Arsenal,N,"On matchday squad, but did not play",/en/matches/39fce32e/Norwich-City-Arsenal-December-1-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
12,2019-08-09,Wed,Matchweek 15,Away,L 1–2,Norwich City,Southampton,N,AM,45,24,0,0,10,14,0,24,1,0,0.0,1,100.0,15,65,7,0,1,0,1,2,23,2,/en/matches/367829b6/Southampton-Norwich-City-December-4-2019-Premier-League
13,2019-08-09,Sun,Matchweek 16,Home,L 1–2,Norwich City,Sheffield Utd,N,"On matchday squad, but did not play",/en/matches/529b20fa/Norwich-City-Sheffield-United-December-8-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
14,2019-08-09,Sat,Matchweek 17,Away,D 1–1,Norwich City,Leicester City,N,AM,5,6,0,1,2,3,1,6,0,0,,0,,5,6,3,0,0,0,0,0,6,0,/en/matches/3b2eb152/Leicester-City-Norwich-City-December-14-2019-Premier-League
15,2019-08-09,Sat,Matchweek 18,Home,L 1–2,Norwich City,Wolves,N,"On matchday squad, but did not play",/en/matches/223124ce/Norwich-City-Wolverhampton-Wanderers-December-21-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
16,2019-08-09,Thu,Matchweek 19,Away,L 0–1,Norwich City,Aston Villa,N,AM,16,6,0,0,2,4,1,6,0,0,,0,,2,12,0,0,0,0,1,0,5,2,/en/matches/010301bf/Aston-Villa-Norwich-City-December-26-2019-Premier-League
17,2019-08-09,Sat,Matchweek 20,Home,D 2–2,Norwich City,Tottenham,Y,AM,69,36,1,2,22,12,2,36,0,0,,0,,23,126,41,2,0,1,1,2,28,1,/en/matches/a6e8ab71/Norwich-City-Tottenham-Hotspur-December-28-2019-Premier-League
18,2019-08-09,Wed,Matchweek 21,Home,D 1–1,Norwich City,Crystal Palace,N,"FW,AM",8,6,2,2,3,1,0,6,1,0,0.0,1,100.0,1,10,0,0,0,0,0,0,1,0,/en/matches/5bbec2c4/Norwich-City-Crystal-Palace-January-1-2020-Premier-League
19,2019-08-09,Sat,Matchweek 22,Away,L 0–4,Norwich City,Manchester Utd,N,"On matchday squad, but did not play",/en/matches/db192bf5/Manchester-United-Norwich-City-January-11-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
20,2019-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2019-08-09,Wed,Matchweek 24,Away,L 1–2,Norwich City,Tottenham,N,DM,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,/en/matches/b36a7b4d/Tottenham-Hotspur-Norwich-City-January-22-2020-Premier-League
22,2019-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2019-08-09,Sun,Matchweek 27,Away,L 0–3,Norwich City,Wolves,N,AM,7,11,0,0,6,5,0,11,0,0,,0,,10,19,2,0,0,0,1,3,11,3,/en/matches/09ec6552/Wolverhampton-Wanderers-Norwich-City-February-23-2020-Premier-League
24,2019-08-09,Fri,Matchweek 28,Home,W 1–0,Norwich City,Leicester City,N,AM,4,4,0,1,2,1,0,4,0,0,,0,,3,20,20,1,0,0,1,0,4,2,/en/matches/8edf3e12/Norwich-City-Leicester-City-February-28-2020-Premier-League
25,2019-08-09,Sat,Matchweek 29,Away,L 0–1,Norwich City,Sheffield Utd,N,"On matchday squad, but did not play",/en/matches/fcdf913d/Sheffield-United-Norwich-City-March-7-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
26,2019-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2019-08-09,Wed,Matchweek 31,Home,L 0–1,Norwich City,Everton,N,"On matchday squad, but did not play",/en/matches/49724d90/Norwich-City-Everton-June-24-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
28,2019-08-09,Wed,Matchweek 32,Away,L 0–4,Norwich City,Arsenal,N,AM,16,4,1,2,0,2,1,4,0,0,,0,,2,5,0,0,0,0,0,0,3,0,/en/matches/cb52b4c8/Arsenal-Norwich-City-July-1-2020-Premier-League
29,2019-08-09,Sat,Matchweek 33,Home,L 0–1,Norwich City,Brighton,N,"On matchday squad, but did not play",/en/matches/aa3a3540/Norwich-City-Brighton-and-Hove-Albion-July-4-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
30,2019-08-09,Tue,Matchweek 34,Away,L 1–2,Norwich City,Watford,Y,AM,75,35,3,7,15,13,0,35,4,2,50.0,2,50.0,26,142,50,1,1,0,2,2,22,4,/en/matches/7e51a0cb/Watford-Norwich-City-July-7-2020-Premier-League
31,2019-08-09,Sat,Matchweek 35,Home,L 0–4,Norwich City,West Ham,Y,AM,68,27,3,3,12,12,2,27,0,0,,0,,15,87,39,2,4,0,4,1,19,6,/en/matches/1f633005/Norwich-City-West-Ham-United-July-11-2020-Premier-League
32,2019-08-09,Tue,Matchweek 36,Away,L 0–1,Norwich City,Chelsea,N,AM,12,7,0,0,6,1,0,7,0,0,,0,,6,18,11,0,0,0,1,0,6,0,/en/matches/88d08b7b/Chelsea-Norwich-City-July-14-2020-Premier-League
33,2019-08-09,Sat,Matchweek 37,Home,L 0–2,Norwich City,Burnley,N,"On matchday squad, but did not play",/en/matches/9594e0b4/Norwich-City-Burnley-July-18-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
34,2019-08-09,Sun,Matchweek 38,Away,L 0–5,Norwich City,Manchester City,Y,AM,76,29,3,10,16,3,0,29,0,0,,0,,11,59,24,0,0,0,1,1,21,1,/en/matches/9099d1e5/Manchester-City-Norwich-City-July-26-2020-Premier-League
