,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
0,2021-10-30,Sat,Matchweek 12,Home,D 3–3,Newcastle Utd,Brentford,N,"On matchday squad, but did not play",/en/matches/adbf56bc/Newcastle-United-Brentford-November-20-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
1,2021-10-30,Sat,Matchweek 13,Away,L 0–2,Newcastle Utd,Arsenal,Y,GK,90,45,42,45,0,0,0,45,0,0,,0,,27,165,76,0,0,0,0,0,14,0,/en/matches/067e0ab9/Arsenal-Newcastle-United-November-27-2021-Premier-League
2,2021-10-30,Tue,Matchweek 14,Home,D 1–1,Newcastle Utd,Norwich City,Y,GK,90,41,29,41,0,0,0,41,0,0,,0,,18,76,52,0,0,0,0,0,10,0,/en/matches/ce4d873f/Newcastle-United-Norwich-City-November-30-2021-Premier-League
3,2021-10-30,Sat,Matchweek 15,Home,W 1–0,Newcastle Utd,Burnley,Y,GK,90,37,29,37,0,0,0,37,0,0,,0,,15,48,21,0,0,0,0,0,13,0,/en/matches/11ed382d/Newcastle-United-Burnley-December-4-2021-Premier-League
4,2021-10-30,Sun,Matchweek 16,Away,L 0–4,Newcastle Utd,Leicester City,Y,GK,90,35,24,35,0,0,0,35,0,0,,0,,18,78,44,0,0,0,0,0,18,0,/en/matches/8805978d/Leicester-City-Newcastle-United-December-12-2021-Premier-League
5,2021-10-30,Thu,Matchweek 17,Away,L 1–3,Newcastle Utd,Liverpool,Y,GK,90,46,41,46,0,0,0,46,0,0,,0,,19,134,52,0,0,0,0,0,10,0,/en/matches/5aec4772/Liverpool-Newcastle-United-December-16-2021-Premier-League
6,2021-10-30,Sun,Matchweek 18,Home,L 0–4,Newcastle Utd,Manchester City,Y,GK,90,40,33,40,0,0,0,40,0,0,,0,,22,115,66,0,0,0,0,0,19,0,/en/matches/4d9bcee9/Newcastle-United-Manchester-City-December-19-2021-Premier-League
7,2021-10-30,Mon,Matchweek 19,Home,D 1–1,Newcastle Utd,Manchester Utd,Y,GK,90,35,27,35,0,0,0,35,0,0,,0,,13,83,23,0,0,0,0,0,9,0,/en/matches/f91fee43/Newcastle-United-Manchester-United-December-27-2021-Premier-League
8,2021-10-30,Sat,Matchweek 22,Home,D 1–1,Newcastle Utd,Watford,Y,GK,90,29,19,29,0,0,0,29,0,0,,0,,15,100,65,0,0,0,0,0,12,0,/en/matches/64dd3e3f/Newcastle-United-Watford-January-15-2022-Premier-League
9,2021-10-30,Sat,Matchweek 23,Away,W 1–0,Newcastle Utd,Leeds United,Y,GK,90,35,27,34,1,0,0,35,0,0,,0,,20,122,40,0,0,0,0,0,9,0,/en/matches/07df6328/Leeds-United-Newcastle-United-January-22-2022-Premier-League
10,2021-10-30,Tue,Matchweek 24,Home,W 3–1,Newcastle Utd,Everton,Y,GK,90,24,22,24,0,0,0,24,0,0,,0,,12,76,34,0,0,0,0,0,9,0,/en/matches/fde8d97d/Newcastle-United-Everton-February-8-2022-Premier-League
11,2021-10-30,Sun,Matchweek 25,Home,W 1–0,Newcastle Utd,Aston Villa,Y,GK,90,35,26,34,1,0,0,35,0,0,,0,,14,108,52,0,0,0,0,0,9,0,/en/matches/59b88877/Newcastle-United-Aston-Villa-February-13-2022-Premier-League
12,2021-10-30,Sat,Matchweek 26,Away,D 1–1,Newcastle Utd,West Ham,Y,GK,90,39,24,39,0,0,0,39,0,0,,0,,25,130,80,0,0,0,0,0,22,0,/en/matches/4e263347/West-Ham-United-Newcastle-United-February-19-2022-Premier-League
13,2021-10-30,Sat,Matchweek 27,Away,W 2–0,Newcastle Utd,Brentford,Y,GK,90,21,11,21,0,0,0,21,0,0,,0,,11,79,20,0,0,0,0,0,9,0,/en/matches/fd61d442/Brentford-Newcastle-United-February-26-2022-Premier-League
14,2021-10-30,Sat,Matchweek 28,Home,W 2–1,Newcastle Utd,Brighton,Y,GK,90,37,26,37,0,0,0,37,0,0,,0,,17,106,58,0,0,0,0,0,11,0,/en/matches/02337bda/Newcastle-United-Brighton-and-Hove-Albion-March-5-2022-Premier-League
15,2021-10-30,Thu,Matchweek 21,Away,W 2–1,Newcastle Utd,Southampton,Y,GK,90,35,29,34,1,0,0,35,0,0,,0,,21,138,79,0,0,0,0,0,13,0,/en/matches/2d6fb488/Southampton-Newcastle-United-March-10-2022-Premier-League
