,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2019-09-16,Sat,Matchweek 7,Home,D 2–2,Aston Villa,Burnley,Y,CM,90,48,54,88.9,918,246,18,22,81.8,23,24,95.8,7,8,87.5,0,0.1,0.0,3,4,1,0,6,/en/matches/37a51188/Aston-Villa-Burnley-September-28-2019-Premier-League
1,2019-09-16,Sat,Matchweek 8,Away,W 5–1,Aston Villa,Norwich City,Y,CM,90,25,33,75.8,455,92,9,11,81.8,13,15,86.7,2,4,50.0,0,0.0,0.0,1,2,0,0,2,/en/matches/e50b8e5b/Norwich-City-Aston-Villa-October-5-2019-Premier-League
2,2019-09-16,Sat,Matchweek 9,Home,W 2–1,Aston Villa,Brighton,Y,CM,90,31,32,96.9,472,122,17,18,94.4,12,12,100.0,1,1,100.0,0,0.0,0.0,1,1,0,0,3,/en/matches/34685c72/Aston-Villa-Brighton-and-Hove-Albion-October-19-2019-Premier-League
3,2019-09-16,Sat,Matchweek 10,Away,L 0–3,Aston Villa,Manchester City,Y,DM,90,32,35,91.4,508,151,19,20,95.0,9,9,100.0,4,4,100.0,0,0.1,0.1,1,2,1,0,2,/en/matches/e0a4db2d/Manchester-City-Aston-Villa-October-26-2019-Premier-League
4,2019-09-16,Sat,Matchweek 11,Home,L 1–2,Aston Villa,Liverpool,Y,CM,90,16,27,59.3,233,80,10,15,66.7,6,7,85.7,0,1,0.0,0,0.0,0.0,0,0,0,0,0,/en/matches/2206646c/Aston-Villa-Liverpool-November-2-2019-Premier-League
5,2019-09-16,Sun,Matchweek 12,Away,L 1–2,Aston Villa,Wolves,Y,CM,68,33,41,80.5,507,96,17,20,85.0,13,15,86.7,2,4,50.0,0,0.0,0.0,0,3,0,0,1,/en/matches/2794f89d/Wolverhampton-Wanderers-Aston-Villa-November-10-2019-Premier-League
6,2019-09-16,Mon,Matchweek 13,Home,W 2–0,Aston Villa,Newcastle Utd,N,"On matchday squad, but did not play",/en/matches/f6f8808e/Aston-Villa-Newcastle-United-November-25-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
7,2019-09-16,Sun,Matchweek 14,Away,D 2–2,Aston Villa,Manchester Utd,N,"On matchday squad, but did not play",/en/matches/e88d9028/Manchester-United-Aston-Villa-December-1-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
8,2019-09-16,Wed,Matchweek 15,Away,L 1–2,Aston Villa,Chelsea,Y,CM,90,34,38,89.5,511,147,18,18,100.0,16,17,94.1,0,1,0.0,0,0.1,0.0,2,2,0,0,2,/en/matches/3f316110/Chelsea-Aston-Villa-December-4-2019-Premier-League
9,2019-09-16,Sun,Matchweek 16,Home,L 1–4,Aston Villa,Leicester City,Y,DM,58,19,21,90.5,447,106,4,6,66.7,11,11,100.0,4,4,100.0,0,0.0,0.0,0,2,0,0,4,/en/matches/559e812a/Aston-Villa-Leicester-City-December-8-2019-Premier-League
