,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2021-08-14,Sun,Matchweek 3,Away,W 1–0,Manchester Utd,Wolves,Y,"FW,RW",89,22,29,75.9,305,42,14,16,87.5,6,8,75.0,1,3,33.3,0,0.1,0.1,2,1,0,0,1,/en/matches/871109e6/Wolverhampton-Wanderers-Manchester-United-August-29-2021-Premier-League
1,2021-08-14,Sat,Matchweek 4,Home,W 4–1,Manchester Utd,Newcastle Utd,Y,RW,84,28,36,77.8,531,82,16,21,76.2,8,8,100.0,4,5,80.0,0,0.1,0.1,2,3,0,0,1,/en/matches/7794fd6c/Manchester-United-Newcastle-United-September-11-2021-Premier-League
2,2021-08-14,Sun,Matchweek 5,Away,W 2–1,Manchester Utd,West Ham,Y,RW,72,35,40,87.5,405,86,18,18,100.0,8,10,80.0,0,0,,0,0.0,0.0,1,3,1,0,3,/en/matches/2daea068/West-Ham-United-Manchester-United-September-19-2021-Premier-League
3,2021-08-14,Sat,Matchweek 6,Home,L 0–1,Manchester Utd,Aston Villa,Y,RW,90,21,27,77.8,448,99,11,11,100.0,5,8,62.5,5,6,83.3,0,0.1,0.1,3,2,1,1,2,/en/matches/7c21232e/Manchester-United-Aston-Villa-September-25-2021-Premier-League
4,2021-08-14,Sat,Matchweek 7,Home,D 1–1,Manchester Utd,Everton,Y,RW,90,45,57,78.9,786,132,19,21,90.5,21,26,80.8,4,6,66.7,0,0.0,0.0,0,3,1,0,6,/en/matches/2129c7e9/Manchester-United-Everton-October-2-2021-Premier-League
5,2021-08-14,Sat,Matchweek 8,Away,L 2–4,Manchester Utd,Leicester City,Y,RW,79,23,30,76.7,455,97,8,10,80.0,11,14,78.6,4,5,80.0,0,0.0,0.0,0,1,0,0,2,/en/matches/45502ded/Leicester-City-Manchester-United-October-16-2021-Premier-League
6,2021-08-14,Sun,Matchweek 9,Home,L 0–5,Manchester Utd,Liverpool,Y,RW,45,10,15,66.7,229,46,2,3,66.7,5,6,83.3,3,5,60.0,0,0.8,0.2,2,1,2,0,3,/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
7,2021-08-14,Sat,Matchweek 10,Away,W 3–0,Manchester Utd,Tottenham,N,"On matchday squad, but did not play",/en/matches/5a2b8c26/Tottenham-Hotspur-Manchester-United-October-30-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
8,2021-08-14,Sat,Matchweek 11,Home,L 0–2,Manchester Utd,Manchester City,Y,"FW,RW",66,14,16,87.5,205,42,7,9,77.8,6,6,100.0,0,0,,0,0.0,0.0,0,1,0,0,1,/en/matches/5fa5be28/Manchester-Derby-Manchester-United-Manchester-City-November-6-2021-Premier-League
9,2021-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
