,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
0,2021-08-14,Sat,Matchweek 3,Away,D 1–1,Chelsea,Liverpool,N,CM,45,0,0,0,0,1,0,0,1,1,0,0,0,5,0,1,0.0,/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League
1,2021-08-14,Sat,Matchweek 4,Home,W 3–0,Chelsea,Aston Villa,Y,CM,90,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,,/en/matches/67bbc3a5/Chelsea-Aston-Villa-September-11-2021-Premier-League
2,2021-08-14,Sun,Matchweek 5,Away,W 3–0,Chelsea,Tottenham,Y,CM,90,0,0,0,1,0,0,0,0,4,0,0,0,7,1,0,100.0,/en/matches/eaf98461/Tottenham-Hotspur-Chelsea-September-19-2021-Premier-League
3,2021-08-14,Sat,Matchweek 6,Home,L 0–1,Chelsea,Manchester City,Y,CM,90,0,0,0,0,1,0,1,1,0,0,0,0,2,1,0,100.0,/en/matches/fc59faf7/Chelsea-Manchester-City-September-25-2021-Premier-League
4,2021-08-14,Sat,Matchweek 7,Home,W 3–1,Chelsea,Southampton,Y,CM,72,0,0,0,1,2,0,0,0,2,0,0,0,5,0,0,,/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League
5,2021-08-14,Sat,Matchweek 8,Away,W 1–0,Chelsea,Brentford,Y,CM,64,1,0,0,1,2,0,1,1,1,0,0,0,6,0,1,0.0,/en/matches/866cfb1f/Brentford-Chelsea-October-16-2021-Premier-League
6,2021-08-14,Sat,Matchweek 9,Home,W 7–0,Chelsea,Norwich City,Y,CM,90,0,0,0,2,1,0,0,0,5,0,0,0,5,0,0,,/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
7,2021-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2021-08-14,Sun,Matchweek 18,Away,D 0–0,Chelsea,Wolves,N,AM,26,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,,/en/matches/73d478fb/Wolverhampton-Wanderers-Chelsea-December-19-2021-Premier-League
9,2021-08-14,Sun,Matchweek 19,Away,W 3–1,Chelsea,Aston Villa,N,CM,28,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,,/en/matches/61396bd8/Aston-Villa-Chelsea-December-26-2021-Premier-League
10,2021-08-14,Wed,Matchweek 20,Home,D 1–1,Chelsea,Brighton,Y,CM,90,1,0,0,3,1,0,1,1,0,0,0,0,5,0,1,0.0,/en/matches/8fbe2e12/Chelsea-Brighton-and-Hove-Albion-December-29-2021-Premier-League
11,2021-08-14,Sun,Matchweek 21,Home,D 2–2,Chelsea,Liverpool,Y,CM,90,0,0,0,0,2,0,0,0,5,0,0,0,12,1,0,100.0,/en/matches/3480cc09/Chelsea-Liverpool-January-2-2022-Premier-League
12,2021-08-14,Sat,Matchweek 22,Away,L 0–1,Chelsea,Manchester City,Y,CM,90,1,0,0,3,4,0,0,1,3,0,0,0,7,0,0,,/en/matches/febd7f38/Manchester-City-Chelsea-January-15-2022-Premier-League
13,2021-08-14,Tue,Matchweek 24,Away,D 1–1,Chelsea,Brighton,N,DM,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,/en/matches/b4c9c369/Brighton-and-Hove-Albion-Chelsea-January-18-2022-Premier-League
14,2021-08-14,Sun,Matchweek 23,Home,W 2–0,Chelsea,Tottenham,Y,"LM,DM,CM",90,0,0,0,3,0,0,0,1,2,0,0,0,4,0,1,0.0,/en/matches/29e164e3/Chelsea-Tottenham-Hotspur-January-23-2022-Premier-League
