,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2021-08-14,Sat,Premier League,Matchweek 1,Away,L 1–5,Leeds United,Manchester Utd,Y,"FW,CM",90,0,0,0,0,2,1,0,0,49,2,0,0,0.1,0.1,0.0,2,0,34,46,73.9,3,31,2,1,1,/en/matches/e62685d4/Manchester-United-Leeds-United-August-14-2021-Premier-League
1,2021-08-21,Sat,Premier League,Matchweek 2,Home,D 2–2,Leeds United,Everton,Y,AM,59,1,0,0,0,3,2,0,0,39,1,0,0,0.5,0.5,0.1,4,0,28,33,84.8,2,20,2,0,0,/en/matches/b9064680/Leeds-United-Everton-August-21-2021-Premier-League
2,2021-08-24,Tue,EFL Cup,Second round,Home,W 3–0,Leeds United,Crewe Alexandra,N,,30,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/904a62ea/Leeds-United-Crewe-Alexandra-August-24-2021-EFL-Cup
3,2021-09-17,Fri,Premier League,Matchweek 5,Away,D 1–1,Leeds United,Newcastle Utd,Y,CM,90,0,0,0,0,5,4,0,0,64,1,0,0,0.2,0.2,0.1,5,0,45,53,84.9,9,42,6,2,1,/en/matches/aad7d38a/Newcastle-United-Leeds-United-September-17-2021-Premier-League
4,2021-09-21,Tue,EFL Cup,Third round,Away,D 0 (6)–0 (5),Leeds United,Fulham,Y,DM,68,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/f0825c2c/Fulham-Leeds-United-September-21-2021-EFL-Cup
5,2021-09-25,Sat,Premier League,Matchweek 6,Home,L 1–2,Leeds United,West Ham,Y,CM,90,0,1,0,0,2,0,0,0,38,2,0,2,0.4,0.4,0.2,6,1,23,30,76.7,6,22,1,0,0,/en/matches/6e228b2c/Leeds-United-West-Ham-United-September-25-2021-Premier-League
6,2021-10-02,Sat,Premier League,Matchweek 7,Home,W 1–0,Leeds United,Watford,Y,CM,89,0,0,0,0,2,1,0,0,54,1,0,0,0.1,0.1,0.2,7,1,32,46,69.6,6,34,4,1,0,/en/matches/be9d8a45/Leeds-United-Watford-October-2-2021-Premier-League
7,2021-10-09,Sat,WCQ,First round,Home,W 5–0,pl Poland,sm San Marino,Y,CM,45,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/840c3c6f/Poland-San-Marino-October-9-2021-WCQ----UEFA-M
8,2021-10-12,Tue,WCQ,First round,Away,W 1–0,pl Poland,al Albania,N,,45,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/7a07b04e/Albania-Poland-October-12-2021-WCQ----UEFA-M
9,2021-10-16,Sat,Premier League,Matchweek 8,Away,L 0–1,Leeds United,Southampton,Y,"CM,AM",76,0,0,0,0,0,0,0,0,49,3,0,2,0.0,0.0,0.0,1,0,31,41,75.6,5,16,2,1,1,/en/matches/8bde822c/Southampton-Leeds-United-October-16-2021-Premier-League
10,2021-10-23,Sat,Premier League,Matchweek 9,Home,D 1–1,Leeds United,Wolves,Y,CM,61,0,0,0,0,1,1,0,0,31,0,0,0,0.0,0.0,0.0,2,0,21,30,70.0,1,23,0,2,2,/en/matches/49b3afe3/Leeds-United-Wolverhampton-Wanderers-October-23-2021-Premier-League
11,2021-10-26,Tue,EFL Cup,Fourth round,Away,L 0–2,Leeds United,Arsenal,N,,45,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/2dc8556d/Arsenal-Leeds-United-October-26-2021-EFL-Cup
12,2021-11-12,Fri,WCQ,First round,Away,W 4–1,pl Poland,ad Andorra,Y,DM,63,0,0,0,0,1,1,1,0,,,1,,,,,,,,,,,,,,,/en/matches/21540c97/Andorra-Poland-November-12-2021-WCQ----UEFA-M
13,2021-11-15,Mon,WCQ,First round,Home,L 1–2,pl Poland,hu Hungary,Y,CM,90,0,0,0,0,0,0,1,0,,,0,,,,,,,,,,,,,,,/en/matches/5780bfc1/Poland-Hungary-November-15-2021-WCQ----UEFA-M
14,2021-11-21,Sun,Premier League,Matchweek 12,Away,L 1–2,Leeds United,Tottenham,Y,AM,58,0,0,0,0,0,0,0,0,34,0,0,1,0.0,0.0,0.0,3,0,26,30,86.7,3,21,2,1,0,/en/matches/a74a684e/Tottenham-Hotspur-Leeds-United-November-21-2021-Premier-League
15,2021-11-30,Tue,Premier League,Matchweek 14,Home,W 1–0,Leeds United,Crystal Palace,Y,CM,45,0,0,0,0,0,0,0,0,15,0,1,0,0.0,0.0,0.0,0,0,5,10,50.0,0,9,0,1,1,/en/matches/b0ab4044/Leeds-United-Crystal-Palace-November-30-2021-Premier-League
16,2021-12-05,Sun,Premier League,Matchweek 15,Home,D 2–2,Leeds United,Brentford,N,CM,36,0,0,0,0,1,0,1,0,21,0,0,0,0.1,0.1,0.0,0,0,15,20,75.0,4,16,2,0,0,/en/matches/175160b7/Leeds-United-Brentford-December-5-2021-Premier-League
17,2021-12-11,Sat,Premier League,Matchweek 16,Away,L 2–3,Leeds United,Chelsea,N,"RM,CM",32,0,0,0,0,2,0,1,0,19,1,0,1,0.1,0.1,0.0,3,1,12,14,85.7,3,13,1,0,0,/en/matches/6ad3036b/Chelsea-Leeds-United-December-11-2021-Premier-League
18,2021-12-14,Tue,Premier League,Matchweek 17,Away,L 0–7,Leeds United,Manchester City,N,DM,53,0,0,0,0,1,0,0,0,31,2,1,1,0.0,0.0,0.0,1,0,19,23,82.6,3,17,2,1,1,/en/matches/5730a84c/Manchester-City-Leeds-United-December-14-2021-Premier-League
19,2021-12-18,Sat,Premier League,Matchweek 18,Home,L 1–4,Leeds United,Arsenal,Y,DM,77,0,0,0,0,0,0,0,0,51,1,0,1,0.0,0.0,0.3,4,1,34,41,82.9,1,27,3,4,2,/en/matches/53b542d8/Leeds-United-Arsenal-December-18-2021-Premier-League
20,2022-01-02,Sun,Premier League,Matchweek 21,Home,W 3–1,Leeds United,Burnley,Y,"CM,AM",90,0,1,0,0,0,0,0,0,51,0,0,0,0.0,0.0,0.3,10,2,32,44,72.7,9,31,4,1,1,/en/matches/cff8022b/Leeds-United-Burnley-January-2-2022-Premier-League
21,2022-01-09,Sun,FA Cup,Third round proper,Away,L 0–2,Leeds United,West Ham,Y,AM,90,0,0,0,0,2,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/b5e5de2f/West-Ham-United-Leeds-United-January-9-2022-FA-Cup
22,2022-01-16,Sun,Premier League,Matchweek 22,Away,W 3–2,Leeds United,West Ham,Y,CM,90,0,0,0,0,2,1,0,0,52,2,2,1,0.4,0.4,0.1,3,1,33,42,78.6,3,34,2,1,0,/en/matches/62c16969/West-Ham-United-Leeds-United-January-16-2022-Premier-League
23,2022-01-22,Sat,Premier League,Matchweek 23,Home,L 0–1,Leeds United,Newcastle Utd,Y,DM,79,0,0,0,0,2,0,0,0,48,1,1,1,0.0,0.0,0.0,1,0,28,34,82.4,3,24,0,1,0,/en/matches/07df6328/Leeds-United-Newcastle-United-January-22-2022-Premier-League
24,2022-02-09,Wed,Premier League,Matchweek 24,Away,D 3–3,Leeds United,Aston Villa,Y,DM,84,0,0,0,0,4,2,0,0,33,0,1,0,0.2,0.2,0.0,3,1,19,26,73.1,4,24,0,1,0,/en/matches/f1e84229/Aston-Villa-Leeds-United-February-9-2022-Premier-League
25,2022-02-12,Sat,Premier League,Matchweek 25,Away,L 0–3,Leeds United,Everton,Y,CM,45,0,0,0,0,0,0,0,0,24,1,0,1,0.0,0.0,0.0,1,0,15,21,71.4,4,16,0,1,0,/en/matches/0a51943e/Everton-Leeds-United-February-12-2022-Premier-League
26,2022-02-20,Sun,Premier League,Matchweek 26,Home,L 2–4,Leeds United,Manchester Utd,Y,"CM,AM",90,0,0,0,0,7,2,1,0,57,3,1,0,0.3,0.3,0.4,3,0,30,41,73.2,5,36,5,3,2,/en/matches/002f0ff0/Leeds-United-Manchester-United-February-20-2022-Premier-League
27,2022-02-23,Wed,Premier League,Matchweek 19,Away,L 0–6,Leeds United,Liverpool,Y,CM,45,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.0,0,0,12,17,70.6,2,14,0,1,1,/en/matches/6d0f3b48/Liverpool-Leeds-United-February-23-2022-Premier-League
28,2022-02-26,Sat,Premier League,Matchweek 27,Home,L 0–4,Leeds United,Tottenham,N,CM,45,0,0,0,0,1,1,1,0,32,2,0,0,0.1,0.1,0.0,2,0,24,27,88.9,6,11,0,1,1,/en/matches/05d37de9/Leeds-United-Tottenham-Hotspur-February-26-2022-Premier-League
29,2022-03-05,Sat,Premier League,Matchweek 28,Away,L 0–1,Leeds United,Leicester City,Y,DM,69,0,0,0,0,0,0,0,0,48,5,0,2,0.0,0.0,0.0,2,0,26,35,74.3,2,21,0,0,0,/en/matches/1d777dcd/Leicester-City-Leeds-United-March-5-2022-Premier-League
30,2022-03-10,Thu,Premier League,Matchweek 20,Home,L 0–3,Leeds United,Aston Villa,N,DM,24,0,0,0,0,0,0,0,0,26,1,1,1,0.0,0.0,0.0,1,0,16,21,76.2,1,12,2,1,0,/en/matches/79b8fb6e/Leeds-United-Aston-Villa-March-10-2022-Premier-League
31,2022-03-13,Sun,Premier League,Matchweek 29,Home,W 2–1,Leeds United,Norwich City,Y,"DM,AM",89,0,0,0,0,0,0,0,0,60,5,0,1,0.0,0.0,0.1,1,0,39,47,83.0,4,28,1,4,2,/en/matches/b13fb9b9/Leeds-United-Norwich-City-March-13-2022-Premier-League
32,2022-03-18,Fri,Premier League,Matchweek 30,Away,W 3–2,Leeds United,Wolves,Y,DM,44,0,0,0,0,0,0,0,0,32,0,2,1,0.0,0.0,0.0,1,0,24,28,85.7,2,19,0,0,0,/en/matches/1c402923/Wolverhampton-Wanderers-Leeds-United-March-18-2022-Premier-League
33,2022-04-02,Sat,Premier League,Matchweek 31,Home,D 1–1,Leeds United,Southampton,Y,DM,65,0,0,0,0,2,0,0,0,40,3,0,1,0.1,0.1,0.0,0,0,21,30,70.0,4,15,1,2,0,/en/matches/abc88be4/Leeds-United-Southampton-April-2-2022-Premier-League
34,2022-04-09,Sat,Premier League,Matchweek 32,Away,W 3–0,Leeds United,Watford,Y,DM,58,0,0,0,0,0,0,0,0,44,2,0,2,0.0,0.0,0.0,1,0,24,37,64.9,1,21,0,1,1,/en/matches/b18deecf/Watford-Leeds-United-April-9-2022-Premier-League
35,2022-04-25,Mon,Premier League,Matchweek 34,Away,D 0–0,Leeds United,Crystal Palace,Y,DM,45,0,0,0,0,0,0,0,0,24,2,0,1,0.0,0.0,0.0,2,0,13,18,72.2,1,13,0,0,0,/en/matches/1a9f4c1e/Crystal-Palace-Leeds-United-April-25-2022-Premier-League
36,2022-04-30,Sat,Premier League,Matchweek 35,Home,L 0–4,Leeds United,Manchester City,Y,CM,90,0,0,0,0,0,0,0,0,54,3,1,0,0.0,0.0,0.4,1,0,37,48,77.1,4,34,2,1,1,/en/matches/5ce80a04/Leeds-United-Manchester-City-April-30-2022-Premier-League
37,2022-05-08,Sun,Premier League,Matchweek 36,Away,L 1–2,Leeds United,Arsenal,Y,"DM,CM",45,0,0,0,0,0,0,1,0,32,1,0,0,0.0,0.0,0.0,0,0,22,28,78.6,1,22,0,0,0,/en/matches/ef41dec1/Arsenal-Leeds-United-May-8-2022-Premier-League
38,2022-05-11,Wed,Premier League,Matchweek 33,Home,L 0–3,Leeds United,Chelsea,N,"CB,CM",32,0,0,0,0,1,0,0,0,20,0,0,0,0.0,0.0,0.0,1,0,17,18,94.4,1,13,0,0,0,/en/matches/6f225dc6/Leeds-United-Chelsea-May-11-2022-Premier-League
39,2022-05-15,Sun,Premier League,Matchweek 37,Home,D 1–1,Leeds United,Brighton,Y,DM,82,0,0,0,0,2,2,0,0,48,1,0,2,0.3,0.3,0.1,4,0,31,35,88.6,1,26,0,1,1,/en/matches/1ca898da/Leeds-United-Brighton-and-Hove-Albion-May-15-2022-Premier-League
40,2022-05-22,Sun,Premier League,Matchweek 38,Away,W 2–1,Leeds United,Brentford,N,CM,6,0,0,0,0,2,1,0,0,14,0,0,0,0.1,0.1,0.0,2,0,12,12,100.0,1,12,1,1,1,/en/matches/076ca089/Brentford-Leeds-United-May-22-2022-Premier-League
41,2022-06-01,Wed,UEFA Nations League,League A,Home,W 2–1,pl Poland,wls Wales,Y,DM,59,0,0,0,0,2,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/394edf43/Poland-Wales-June-1-2022-UEFA-Nations-League
42,2022-06-14,Tue,UEFA Nations League,League A,Home,L 0–1,pl Poland,be Belgium,N,,21,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/387360ac/Poland-Belgium-June-14-2022-UEFA-Nations-League
