,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form
0,0,2019-08-08,Thu,Europa Lg,Third qualifying round,Away,W 4–0,eng Wolves,am Pyunik,Y,RM,62,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/7f00c0f3/Pyunik-Wolverhampton-Wanderers-August-8-2019-Europa-League,1.0,0.5
1,1,2019-08-11,Sun,Premier League,Matchweek 1,Away,D 0–0,Wolves,Leicester City,Y,WB,90,0,0,0,0,0.0,0.0,0,0,55.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,29.0,44.0,65.9,3.0,17.0,0.0,1.0,0.0,/en/matches/bf4afd61/Leicester-City-Wolverhampton-Wanderers-August-11-2019-Premier-League,0.5,0.5
2,2,2019-08-19,Mon,Premier League,Matchweek 2,Home,D 1–1,Wolves,Manchester Utd,Y,WB,45,0,0,0,0,0.0,0.0,0,0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,20.0,65.0,0.0,11.0,0.0,0.0,0.0,/en/matches/d8a7f871/Wolverhampton-Wanderers-Manchester-United-August-19-2019-Premier-League,0.5,0.5
3,3,2019-08-25,Sun,Premier League,Matchweek 3,Home,D 1–1,Wolves,Burnley,Y,"WB,RM",75,0,0,0,0,1.0,0.0,0,0,52.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,31.0,41.0,75.6,3.0,22.0,2.0,0.0,0.0,/en/matches/16119ef2/Wolverhampton-Wanderers-Burnley-August-25-2019-Premier-League,0.5,0.6666666666666666
4,4,2019-09-14,Sat,Premier League,Matchweek 5,Home,L 2–5,Wolves,Chelsea,N,WB,35,0,0,0,0,1.0,1.0,0,0,25.0,1.0,1.0,0.0,0.1,0.1,0.0,1.0,1.0,16.0,20.0,80.0,3.0,11.0,0.0,2.0,1.0,/en/matches/0fa0a658/Wolverhampton-Wanderers-Chelsea-September-14-2019-Premier-League,0.0,0.5
5,5,2019-09-19,Thu,Europa Lg,Group stage,Home,L 0–1,eng Wolves,pt Braga,Y,WB,79,0,0,0,0,0.0,0.0,0,0,51.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.0,38.0,46.0,82.6,3.0,31.0,1.0,3.0,1.0,/en/matches/1fa63aba/Wolverhampton-Wanderers-Braga-September-19-2019-Europa-League,0.0,0.3333333333333333
6,6,2019-09-22,Sun,Premier League,Matchweek 6,Away,D 1–1,Wolves,Crystal Palace,Y,RM,56,0,0,0,0,1.0,1.0,0,0,40.0,0.0,1.0,1.0,0.4,0.4,0.0,1.0,0.0,24.0,35.0,68.6,3.0,16.0,2.0,0.0,0.0,/en/matches/d76eb681/Crystal-Palace-Wolverhampton-Wanderers-September-22-2019-Premier-League,0.5,0.16666666666666666
7,7,2019-09-25,Wed,EFL Cup,Third round,Home,D 1 (4)–1 (2),Wolves,Reading,Y,RM,120,0,0,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/3518f7d5/Wolverhampton-Wanderers-Reading-September-25-2019-EFL-Cup,0.5,0.16666666666666666
8,8,2019-09-28,Sat,Premier League,Matchweek 7,Home,W 2–0,Wolves,Watford,Y,WB,90,1,0,0,0,1.0,1.0,0,0,62.0,2.0,4.0,0.0,0.7,0.7,0.0,2.0,0.0,40.0,55.0,72.7,5.0,23.0,2.0,0.0,0.0,/en/matches/4c088365/Wolverhampton-Wanderers-Watford-September-28-2019-Premier-League,1.0,0.3333333333333333
9,9,2019-10-03,Thu,Europa Lg,Group stage,Away,W 1–0,eng Wolves,tr Beşiktaş,Y,"RM,WB",90,0,0,0,0,0.0,0.0,0,0,56.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,49.0,81.6,5.0,25.0,5.0,2.0,0.0,/en/matches/8b0ba694/Besiktas-Wolverhampton-Wanderers-October-3-2019-Europa-League,1.0,0.6666666666666666
