,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2020-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2020-09-19,Mon,Matchweek 5,Home,D 0–0,West Brom,Burnley,N,RM,3,2,2,100.0,65,7,1,1,100.0,0,0,,1,1,100.0,0,0.0,0.0,0,1,0,0,0,/en/matches/13f3ae88/West-Bromwich-Albion-Burnley-October-19-2020-Premier-League
2,2020-09-19,Mon,Matchweek 6,Away,D 1–1,West Brom,Brighton,N,"RM,FW",7,1,4,25.0,7,0,1,2,50.0,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,/en/matches/26452511/Brighton-and-Hove-Albion-West-Bromwich-Albion-October-26-2020-Premier-League
3,2020-09-19,Mon,Matchweek 7,Away,L 0–2,West Brom,Fulham,N,"RM,DM",21,4,9,44.4,59,12,3,5,60.0,1,4,25.0,0,0,,0,0.1,0.1,2,0,1,1,0,/en/matches/f2b91282/Fulham-West-Bromwich-Albion-November-2-2020-Premier-League
4,2020-09-19,Sun,Matchweek 8,Home,L 0–1,West Brom,Tottenham,N,"RM,FW",7,3,6,50.0,34,12,2,3,66.7,1,2,50.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,/en/matches/90c0e34c/West-Bromwich-Albion-Tottenham-Hotspur-November-8-2020-Premier-League
5,2020-09-19,Sat,Matchweek 9,Away,L 0–1,West Brom,Manchester Utd,N,"On matchday squad, but did not play",/en/matches/50004f43/Manchester-United-West-Bromwich-Albion-November-21-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
6,2020-09-19,Sat,Matchweek 10,Home,W 1–0,West Brom,Sheffield Utd,N,WB,16,6,12,50.0,79,32,3,4,75.0,2,3,66.7,0,2,0.0,0,0.0,0.0,0,0,1,0,1,/en/matches/bd68404c/West-Bromwich-Albion-Sheffield-United-November-28-2020-Premier-League
7,2020-09-19,Sun,Matchweek 11,Home,L 1–5,West Brom,Crystal Palace,Y,WB,90,47,57,82.5,630,182,21,23,91.3,18,22,81.8,1,3,33.3,0,0.3,0.3,4,2,3,1,3,/en/matches/ac9d70e3/West-Bromwich-Albion-Crystal-Palace-December-6-2020-Premier-League
8,2020-09-19,Sat,Matchweek 12,Away,L 1–2,West Brom,Newcastle Utd,Y,"WB,FW,RM",90,33,41,80.5,471,165,19,21,90.5,11,14,78.6,3,5,60.0,1,0.3,0.1,3,4,1,1,6,/en/matches/4a2a6f14/Newcastle-United-West-Bromwich-Albion-December-12-2020-Premier-League
9,2020-09-19,Tue,Matchweek 13,Away,D 1–1,West Brom,Manchester City,Y,RM,86,14,19,73.7,253,106,7,10,70.0,2,2,100.0,3,4,75.0,0,0.1,0.2,1,0,1,1,0,/en/matches/40b42ca1/Manchester-City-West-Bromwich-Albion-December-15-2020-Premier-League
