,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Sat,Premier League,Matchweek 1,Away,L 2–3,Aston Villa,Watford,Y,LB,45,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,1,0,24,31,77.4,1,22,1,0,0,Match Report
1,Sat,Premier League,Matchweek 2,Home,W 2–0,Aston Villa,Newcastle Utd,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tue,EFL Cup,Second round,Away,W 6–0,Aston Villa,Barrow,Y,LB,90,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,Match Report
3,Sat,Premier League,Matchweek 3,Home,D 1–1,Aston Villa,Brentford,Y,LB,90,0,0,0,0,0,0,0,0,90,0,1,1,0.0,0.0,0.0,0,0,50,79,63.3,8,48,2,1,0,Match Report
4,Sat,Premier League,Matchweek 4,Away,L 0–3,Aston Villa,Chelsea,Y,"LB,WB",90,0,0,0,0,0,0,1,0,39,0,2,1,0.0,0.0,0.0,2,0,24,32,75.0,7,12,0,0,0,Match Report
5,Sat,Premier League,Matchweek 5,Home,W 3–0,Aston Villa,Everton,Y,LB,60,0,0,0,0,0,0,0,0,47,2,0,1,0.0,0.0,0.1,1,0,27,42,64.3,7,33,1,0,0,Match Report
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sat,Premier League,Matchweek 6,Away,W 1–0,Aston Villa,Manchester Utd,Y,WB,90,0,0,0,0,1,0,0,0,48,0,2,1,0.3,0.3,0.0,0,0,25,41,61.0,3,18,1,1,0,Match Report
8,Sun,Premier League,Matchweek 7,Away,L 1–2,Aston Villa,Tottenham,Y,"WB,LB",90,0,1,0,0,1,0,0,0,55,4,3,0,0.1,0.1,0.7,5,1,24,40,60.0,8,23,0,1,0,Match Report
9,Sat,Premier League,Matchweek 8,Home,L 2–3,Aston Villa,Wolves,Y,WB,90,0,0,0,0,0,0,0,0,65,1,3,1,0.0,0.0,0.1,1,0,42,56,75.0,6,31,1,0,0,Match Report
10,Fri,Premier League,Matchweek 9,Away,L 1–3,Aston Villa,Arsenal,Y,"LB,WB",90,0,0,0,0,0,0,1,0,50,1,0,1,0.0,0.0,0.4,4,0,35,41,85.4,7,29,3,0,0,Match Report
11,Sun,Premier League,Matchweek 10,Home,L 1–4,Aston Villa,West Ham,Y,LB,90,0,0,0,0,0,0,0,0,78,1,2,1,0.0,0.0,0.1,4,0,44,68,64.7,4,25,0,0,0,Match Report
12,Fri,Premier League,Matchweek 11,Away,L 0–1,Aston Villa,Southampton,Y,LB,90,0,0,0,0,0,0,0,0,71,1,1,1,0.0,0.0,0.1,2,0,47,63,74.6,10,36,4,1,1,Match Report
13,Sat,Premier League,Matchweek 12,Home,W 2–0,Aston Villa,Brighton,Y,LB,90,0,0,0,0,0,0,0,0,69,7,0,0,0.0,0.0,0.2,4,1,41,53,77.4,3,33,1,0,0,Match Report
14,Sat,Premier League,Matchweek 13,Away,W 2–1,Aston Villa,Crystal Palace,Y,LB,90,1,0,0,0,1,1,0,0,62,2,0,2,0.1,0.1,0.0,1,0,42,50,84.0,5,26,0,0,0,Match Report
15,Wed,Premier League,Matchweek 14,Home,L 1–2,Aston Villa,Manchester City,Y,LB,66,0,0,0,0,0,0,0,0,40,2,1,1,0.0,0.0,0.0,0,0,27,32,84.4,0,13,0,0,0,Match Report
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sat,Premier League,Matchweek 16,Away,L 0–1,Aston Villa,Liverpool,Y,LB,90,0,0,0,0,0,0,0,0,50,4,1,2,0.0,0.0,0.0,2,0,26,41,63.4,5,23,2,0,0,Match Report
18,Tue,Premier League,Matchweek 17,Away,W 2–0,Aston Villa,Norwich City,Y,LB,90,0,0,0,0,2,0,0,0,57,5,1,0,0.1,0.1,0.0,2,0,32,45,71.1,2,24,0,1,0,Match Report
19,Sun,Premier League,Matchweek 19,Home,L 1–3,Aston Villa,Chelsea,Y,LB,90,0,0,0,0,0,0,0,0,51,2,3,2,0.0,0.0,0.1,4,0,28,40,70.0,4,24,0,0,0,Match Report
20,Sun,Premier League,Matchweek 21,Away,L 1–2,Aston Villa,Brentford,Y,LB,90,0,0,0,0,2,1,0,0,82,2,3,1,0.0,0.0,0.1,3,0,54,69,78.3,3,46,3,1,0,Match Report
21,Mon,FA Cup,Third round proper,Away,L 0–1,Aston Villa,Manchester Utd,Y,LB,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
22,Sat,Premier League,Matchweek 22,Home,D 2–2,Aston Villa,Manchester Utd,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Sat,Premier League,Matchweek 23,Away,W 1–0,Aston Villa,Everton,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Tue,Premier League,Matchweek 24,Home,W 3–1,Newcastle Utd,Everton,Y,LB,90,0,0,0,0,0,0,0,0,59,1,2,1,0.0,0.0,0.1,1,0,34,50,68.0,4,20,1,2,1,Match Report
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sat,Premier League,Matchweek 26,Away,D 1–1,Newcastle Utd,West Ham,Y,LB,90,0,0,0,0,0,0,0,0,79,2,1,2,0.0,0.0,0.2,5,0,45,69,65.2,6,24,3,1,1,Match Report
27,Sat,Premier League,Matchweek 27,Away,W 2–0,Newcastle Utd,Brentford,Y,LB,90,0,0,0,0,2,2,0,0,87,0,2,1,0.1,0.1,0.4,10,0,60,78,76.9,11,56,0,1,1,Match Report
28,Sat,Premier League,Matchweek 28,Home,W 2–1,Newcastle Utd,Brighton,Y,LB,90,0,0,0,0,1,0,0,0,42,2,0,0,0.1,0.1,0.2,1,0,26,37,70.3,1,18,1,0,0,Match Report
29,Thu,Premier League,Matchweek 21,Away,W 2–1,Newcastle Utd,Southampton,Y,LB,90,0,0,0,0,1,0,0,0,62,4,2,1,0.1,0.1,0.0,3,1,32,49,65.3,2,21,0,2,2,Match Report
30,Sun,Premier League,Matchweek 29,Away,L 0–1,Newcastle Utd,Chelsea,Y,LB,90,0,0,0,0,0,0,0,0,44,2,0,1,0.0,0.0,0.1,7,0,27,35,77.1,2,11,0,2,2,Match Report
31,Thu,Premier League,Matchweek 20,Away,L 0–1,Newcastle Utd,Everton,Y,LB,90,0,0,0,0,0,0,0,0,68,2,0,0,0.0,0.0,0.0,3,0,44,62,71.0,4,27,2,1,0,Match Report
32,Sun,Premier League,Matchweek 31,Away,L 1–5,Newcastle Utd,Tottenham,Y,"LB,WB",90,0,0,0,0,0,0,0,0,43,2,1,0,0.0,0.0,0.0,1,0,30,37,81.1,3,21,1,0,0,Match Report
33,Fri,Premier League,Matchweek 32,Home,W 1–0,Newcastle Utd,Wolves,Y,LB,90,0,0,0,0,1,0,0,0,69,3,2,1,0.0,0.0,0.0,0,0,42,58,72.4,3,32,1,1,0,Match Report
34,Sun,Premier League,Matchweek 33,Home,W 2–1,Newcastle Utd,Leicester City,Y,LB,90,0,0,0,0,1,1,0,0,50,4,4,2,0.0,0.0,0.2,4,1,27,36,75.0,2,14,0,0,0,Match Report
35,Wed,Premier League,Matchweek 30,Home,W 1–0,Newcastle Utd,Crystal Palace,Y,LB,90,0,0,0,0,0,0,0,0,69,4,2,2,0.0,0.0,0.3,2,0,44,55,80.0,4,21,0,2,0,Match Report
36,Sat,Premier League,Matchweek 34,Away,W 3–0,Newcastle Utd,Norwich City,Y,LB,90,0,0,0,0,0,0,0,0,54,2,3,0,0.0,0.0,0.0,1,0,33,44,75.0,4,23,0,3,1,Match Report
37,Sat,Premier League,Matchweek 35,Home,L 0–1,Newcastle Utd,Liverpool,Y,LB,90,0,0,0,0,0,0,0,0,62,6,1,2,0.0,0.0,0.0,1,0,34,47,72.3,4,11,0,0,0,Match Report
38,Sun,Premier League,Matchweek 36,Away,L 0–5,Newcastle Utd,Manchester City,Y,LB,90,0,0,0,0,0,0,1,0,33,2,1,1,0.0,0.0,0.1,2,0,19,27,70.4,1,11,1,0,0,Match Report
39,Mon,Premier League,Matchweek 37,Home,W 2–0,Newcastle Utd,Arsenal,Y,LB,90,0,0,0,0,0,0,0,0,64,2,2,0,0.0,0.0,0.1,2,0,37,59,62.7,1,24,1,1,1,Match Report
40,Sun,Premier League,Matchweek 38,Away,W 2–1,Newcastle Utd,Burnley,Y,LB,90,0,0,0,0,0,0,0,0,55,3,2,1,0.0,0.0,0.2,1,0,32,46,69.6,1,24,0,1,1,Match Report
41,,,,,16-2-17,,,35/35,,"3,051",1,1,0,0,13,5,3,0,1924,75,49,31,0.8,0.8,3.6,80,4,1158,1612,71.8,136,824,30,23,11,
