,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-10-04,Sun,Premier League,Matchweek 4,Home,W 1–0,Wolves,Fulham,Y,CB,90,0,0,0,0,0,0,0,0,74.0,0.0,2,1.0,0.0,0.0,0.4,2.0,0.0,59.0,64.0,92.2,7.0,53.0,0.0,0.0,0.0,/en/matches/8f989671/Wolverhampton-Wanderers-Fulham-October-4-2020-Premier-League,1.0,0.5,0.3333333333333333
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2020-10-19,Mon,Premier League,Matchweek 5,Away,W 1–0,Wolves,Leeds United,Y,CB,90,0,1,0,0,0,0,0,0,32.0,1.0,1,2.0,0.0,0.0,0.0,1.0,1.0,14.0,21.0,66.7,2.0,10.0,2.0,2.0,2.0,/en/matches/6a2c4518/Leeds-United-Wolverhampton-Wanderers-October-19-2020-Premier-League,1.0,0.5,0.6785714285714285
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2020-10-25,Sun,Premier League,Matchweek 6,Home,D 1–1,Wolves,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,0,0,96.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,87.0,89.0,97.8,7.0,71.0,3.0,1.0,0.0,/en/matches/76661e3c/Wolverhampton-Wanderers-Newcastle-United-October-25-2020-Premier-League,0.5,0.5,0.4761904761904761
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2020-10-30,Fri,Premier League,Matchweek 7,Home,W 2–0,Wolves,Crystal Palace,Y,CB,90,0,0,0,0,0,0,0,0,45.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,37.0,40.0,92.5,2.0,37.0,0.0,0.0,0.0,/en/matches/e1741638/Wolverhampton-Wanderers-Crystal-Palace-October-30-2020-Premier-League,1.0,0.8333333333333334,0.5357142857142858
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2020-11-08,Sun,Premier League,Matchweek 8,Away,L 0–1,Wolves,Leicester City,Y,CB,90,0,0,0,0,1,0,1,0,70.0,1.0,0,1.0,0.2,0.2,0.0,0.0,0.0,55.0,66.0,83.3,5.0,42.0,0.0,0.0,0.0,/en/matches/8407be08/Leicester-City-Wolverhampton-Wanderers-November-8-2020-Premier-League,0.0,0.8333333333333334,0.9761904761904764
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2020-11-23,Mon,Premier League,Matchweek 9,Home,D 1–1,Wolves,Southampton,Y,CB,90,0,0,0,0,3,1,0,0,51.0,2.0,2,0.0,0.4,0.4,0.0,1.0,0.0,36.0,40.0,90.0,2.0,32.0,0.0,0.0,0.0,/en/matches/e5bfd125/Wolverhampton-Wanderers-Southampton-November-23-2020-Premier-League,0.5,0.5,0.871794871794872
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2020-11-29,Sun,Premier League,Matchweek 10,Away,W 2–1,Wolves,Arsenal,N,CB,13,0,0,0,0,0,0,0,0,7.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,60.0,0.0,2.0,0.0,0.0,0.0,/en/matches/fa17687c/Arsenal-Wolverhampton-Wanderers-November-29-2020-Premier-League,1.0,0.5,0.5714285714285714
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2020-12-21,Mon,Premier League,Matchweek 14,Away,L 1–2,Wolves,Burnley,Y,CB,90,0,0,0,0,0,0,0,0,38.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,33.0,75.8,1.0,27.0,0.0,0.0,0.0,/en/matches/4e106790/Burnley-Wolverhampton-Wanderers-December-21-2020-Premier-League,0.0,0.5,0.6428571428571429
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2020-12-29,Tue,Premier League,Matchweek 16,Away,L 0–1,Wolves,Manchester Utd,Y,CB,90,0,0,0,0,0,0,0,0,37.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,25.0,31.0,80.6,1.0,25.0,0.0,2.0,2.0,/en/matches/a8d659e4/Manchester-United-Wolverhampton-Wanderers-December-29-2020-Premier-League,0.0,0.5,0.7976190476190476
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2021-01-02,Sat,Premier League,Matchweek 17,Away,D 3–3,Wolves,Brighton,N,CB,27,0,0,0,0,0,0,0,0,17.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,16.0,81.3,2.0,9.0,0.0,1.0,1.0,/en/matches/abeb80b7/Brighton-and-Hove-Albion-Wolverhampton-Wanderers-January-2-2021-Premier-League,0.5,0.3333333333333333,0.5
