,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Fri,UEFA Nations League,League A,Away,W 3–0,at Austria,hr Croatia,Y,CB,76,0,2,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
1,Mon,UEFA Nations League,League A,Home,L 1–2,at Austria,dk Denmark,N,,13,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
2,Fri,UEFA Nations League,League A,Home,D 1–1,at Austria,fr France,Y,LB,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
3,Fri,Bundesliga,Regular season,Home,W 3–0,RB Salzburg,Austria Wien,Y*,LB,84,0,0,0,0,1,1,0,0,,,2,,,,,,,,,,,,,,,Match Report
4,Sat,Bundesliga,Regular season,Away,L 1–2,RB Salzburg,Sturm Graz,Y*,LB,90,0,0,0,0,0,0,1,0,,,0,,,,,,,,,,,,,,,Match Report
5,Sat,Bundesliga,Regular season,Away,W 2–0,RB Salzburg,Hartberg,Y*,LB,90,0,1,0,0,1,0,0,0,,,2,,,,,,,,,,,,,,,Match Report
6,Sun,Bundesliga,Regular season,Home,W 2–1,RB Salzburg,Wolfsberger AC,Y*,LB,90,0,0,0,0,1,0,1,0,,,2,,,,,,,,,,,,,,,Match Report
7,Sat,Bundesliga,Regular season,Home,W 2–0,RB Salzburg,SK Austria Klagenfurt,Y*,LB,90,0,0,0,0,1,1,0,0,,,2,,,,,,,,,,,,,,,Match Report
8,Sat,Bundesliga,Regular season,Away,W 6–0,RB Salzburg,SC Austria Lustenau,Y,CB,90,0,0,0,0,1,0,0,0,,,1,,,,,,,,,,,,,,,Match Report
9,Sat,Bundesliga,Regular season,Home,W 2–0,RB Salzburg,WSG Tirol,Y,CB,82,0,0,0,0,1,1,0,0,,,1,,,,,,,,,,,,,,,Match Report
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sun,Bundesliga,Regular season,Home,D 1–1,RB Salzburg,Rapid Wien,N,,12,0,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
12,Thu,UEFA Nations League,League A,Away,L 0–2,at Austria,fr France,Y,LB,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
13,Sun,UEFA Nations League,League A,Home,L 1–3,at Austria,hr Croatia,N,,29,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
