,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form
0,0,2020-09-12,Sat,Premier League,Matchweek 1,Home,L 0–3,Fulham,Arsenal,Y,CB,90,0,0,0,0,0.0,0.0,1,0,74.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,56.0,65.0,86.2,3.0,51.0,0.0,0.0,0.0,/en/matches/bf52349b/Fulham-Arsenal-September-12-2020-Premier-League,0.0,0.5
1,1,2020-09-19,Sat,Premier League,Matchweek 2,Away,L 3–4,Fulham,Leeds United,Y,CB,90,0,0,0,0,1.0,0.0,0,0,69.0,1.0,0.0,0.0,0.1,0.1,0.0,3.0,0.0,51.0,63.0,81.0,7.0,43.0,0.0,2.0,2.0,/en/matches/583c2b60/Leeds-United-Fulham-September-19-2020-Premier-League,0.0,0.5
2,2,2020-09-23,Wed,EFL Cup,Third round,Home,W 2–0,Fulham,Sheffield Weds,Y,CB,90,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/6277bf5f/Fulham-Sheffield-Wednesday-September-23-2020-EFL-Cup,1.0,0.5
3,3,2020-09-28,Mon,Premier League,Matchweek 3,Home,L 0–3,Fulham,Aston Villa,Y,CB,57,0,0,0,0,0.0,0.0,0,0,56.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,39.0,50.0,78.0,2.0,26.0,0.0,0.0,0.0,/en/matches/6b258be0/Fulham-Aston-Villa-September-28-2020-Premier-League,0.0,0.3333333333333333
4,4,2020-10-01,Thu,EFL Cup,Fourth round,Away,L 0–3,Fulham,Brentford,Y*,CB,90,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/38aa0182/Brentford-Fulham-October-1-2020-EFL-Cup,0.0,0.3333333333333333
5,5,2020-11-14,Sat,Friendlies (M),Friendlies (M),Away,L 0–3,jm Jamaica,sa Saudi Arabia,N,,22,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/26bfe29c/Saudi-Arabia-Jamaica-November-14-2020-Friendlies-M,0.0,0.3333333333333333
6,6,2020-11-17,Tue,Friendlies (M),Friendlies (M),Away,W 2–1,jm Jamaica,sa Saudi Arabia,Y,LB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/59b6220f/Saudi-Arabia-Jamaica-November-17-2020-Friendlies-M,1.0,0.0
7,7,2020-12-19,Sat,Premier League,Matchweek 14,Away,D 1–1,Fulham,Newcastle Utd,N,CB,26,0,0,0,0,0.0,0.0,1,0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,22.2,0.0,6.0,0.0,1.0,1.0,/en/matches/3ae84056/Newcastle-United-Fulham-December-19-2020-Premier-League,0.5,0.3333333333333333
8,8,2021-01-09,Sat,FA Cup,Third round proper,Away,W 2–0,Fulham,QPR,N,,53,0,0,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/75c17e4f/Queens-Park-Rangers-Fulham-January-9-2021-FA-Cup,1.0,0.5
9,9,2021-01-24,Sun,FA Cup,Fourth round proper,Home,L 0–3,Fulham,Burnley,Y,CB,90,0,0,0,0,0.0,0.0,0,0,,,2.0,,,,,,,,,,,,,,,/en/matches/05c9adfe/Fulham-Burnley-January-24-2021-FA-Cup,0.0,0.8333333333333334
10,10,2021-03-25,Thu,Friendlies (M),Friendlies (M),Away,L 1–4,jm Jamaica,us United States,Y,DM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/6e73c951/United-States-Jamaica-March-25-2021-Friendlies-M,0.0,0.5
