,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2020-09-13,Sat,Matchweek 3,Away,W 2–1,Everton,Crystal Palace,Y,CB,90,63,70,90.0,1345,463,20,22,90.9,32,33,97.0,11,15,73.3,0,0.0,0.0,0,2,0,0,2,/en/matches/7387a72e/Crystal-Palace-Everton-September-26-2020-Premier-League
1,2020-09-13,Sat,Matchweek 4,Home,W 4–2,Everton,Brighton,Y,CB,90,53,58,91.4,1000,287,17,18,94.4,31,31,100.0,5,9,55.6,0,0.0,0.0,0,1,0,0,0,/en/matches/3cbb397e/Everton-Brighton-and-Hove-Albion-October-3-2020-Premier-League
2,2020-09-13,Sat,Matchweek 5,Home,D 2–2,Everton,Liverpool,Y,CB,90,44,52,84.6,920,374,15,15,100.0,18,22,81.8,10,13,76.9,0,0.1,0.0,1,4,0,0,2,/en/matches/6da04e2d/Merseyside-Derby-Everton-Liverpool-October-17-2020-Premier-League
3,2020-09-13,Sun,Matchweek 6,Away,L 0–2,Everton,Southampton,Y,CB,90,79,83,95.2,1435,548,25,25,100.0,48,50,96.0,6,8,75.0,0,0.0,0.0,0,0,0,0,6,/en/matches/6439c025/Southampton-Everton-October-25-2020-Premier-League
4,2020-09-13,Sun,Matchweek 7,Away,L 1–2,Everton,Newcastle Utd,Y,CB,90,90,99,90.9,1764,635,30,34,88.2,48,50,96.0,12,14,85.7,0,0.0,0.0,0,5,0,0,4,/en/matches/448a43ee/Newcastle-United-Everton-November-1-2020-Premier-League
5,2020-09-13,Sat,Matchweek 8,Home,L 1–3,Everton,Manchester Utd,Y,CB,90,72,82,87.8,1397,488,18,18,100.0,46,48,95.8,6,11,54.5,0,0.0,0.0,0,5,0,0,2,/en/matches/ab9f408d/Everton-Manchester-United-November-7-2020-Premier-League
6,2020-09-13,Sun,Matchweek 9,Away,W 3–2,Everton,Fulham,Y,CB,90,52,65,80.0,998,249,16,18,88.9,33,37,89.2,3,9,33.3,0,0.0,0.0,0,7,0,0,4,/en/matches/13524225/Fulham-Everton-November-22-2020-Premier-League
7,2020-09-13,Sat,Matchweek 10,Home,L 0–1,Everton,Leeds United,Y,CB,90,24,35,68.6,454,265,9,11,81.8,12,18,66.7,3,6,50.0,0,0.0,0.0,0,1,1,0,2,/en/matches/3eeb39c5/Everton-Leeds-United-November-28-2020-Premier-League
8,2020-09-13,Sat,Matchweek 11,Away,D 1–1,Everton,Burnley,Y*,CB,90,62,69,89.9,1088,317,26,28,92.9,31,35,88.6,4,5,80.0,0,0.0,0.0,0,2,0,0,3,/en/matches/399c7e1c/Burnley-Everton-December-5-2020-Premier-League
9,2020-09-13,Sat,Matchweek 12,Home,W 1–0,Everton,Chelsea,Y,CB,90,15,19,78.9,322,161,6,7,85.7,6,6,100.0,3,6,50.0,0,0.0,0.0,0,2,0,0,0,/en/matches/4847e3c3/Everton-Chelsea-December-12-2020-Premier-League
10,2020-09-13,Wed,Matchweek 13,Away,W 2–0,Everton,Leicester City,Y,CB,90,24,32,75.0,450,198,10,12,83.3,11,11,100.0,3,7,42.9,0,0.0,0.0,0,1,0,0,0,/en/matches/b30c816c/Leicester-City-Everton-December-16-2020-Premier-League
11,2020-09-13,Sat,Matchweek 14,Home,W 2–1,Everton,Arsenal,Y,CB,90,46,52,88.5,995,308,9,10,90.0,31,32,96.9,6,9,66.7,0,0.0,0.0,0,2,0,0,0,/en/matches/72fa1993/Everton-Arsenal-December-19-2020-Premier-League
12,2020-09-13,Sat,Matchweek 15,Away,W 1–0,Everton,Sheffield Utd,Y,CB,65,53,65,81.5,1063,463,18,21,85.7,27,31,87.1,6,10,60.0,0,0.3,0.0,1,5,0,0,2,/en/matches/870d9436/Sheffield-United-Everton-December-26-2020-Premier-League
13,2020-09-13,Fri,Matchweek 17,Home,L 0–1,Everton,West Ham,N,"On matchday squad, but did not play",/en/matches/0cd189c5/Everton-West-Ham-United-January-1-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
14,2020-09-13,Tue,Matchweek 18,Away,W 2–1,Everton,Wolves,Y,CB,90,86,90,95.6,1788,715,33,33,100.0,38,38,100.0,14,17,82.4,0,0.0,0.0,0,10,0,0,11,/en/matches/8cbb9119/Wolverhampton-Wanderers-Everton-January-12-2021-Premier-League
15,2020-09-13,Wed,Matchweek 20,Home,D 1–1,Everton,Leicester City,Y,CB,90,20,27,74.1,439,173,3,5,60.0,15,16,93.8,2,5,40.0,0,0.0,0.0,0,2,0,0,1,/en/matches/3e4ff1e0/Everton-Leicester-City-January-27-2021-Premier-League
16,2020-09-13,Sat,Matchweek 21,Home,L 0–2,Everton,Newcastle Utd,Y,CB,90,39,46,84.8,710,348,17,18,94.4,16,18,88.9,5,8,62.5,0,0.0,0.0,0,3,0,0,3,/en/matches/88053fb0/Everton-Newcastle-United-January-30-2021-Premier-League
17,2020-09-13,Wed,Matchweek 22,Away,W 2–1,Everton,Leeds United,N,CB,11,5,7,71.4,115,43,0,0,,5,5,100.0,0,2,0.0,0,0.0,0.0,0,0,0,0,0,/en/matches/d9b96ee1/Leeds-United-Everton-February-3-2021-Premier-League
18,2020-09-13,Sat,Matchweek 23,Away,D 3–3,Everton,Manchester Utd,Y,CB,90,46,58,79.3,932,374,10,13,76.9,30,33,90.9,5,10,50.0,1,0.4,0.0,1,1,0,0,1,/en/matches/6504b158/Manchester-United-Everton-February-6-2021-Premier-League
19,2020-09-13,Sun,Matchweek 24,Home,L 0–2,Everton,Fulham,N,CB,35,49,54,90.7,1135,377,13,13,100.0,27,29,93.1,9,12,75.0,0,0.0,0.0,0,6,0,0,6,/en/matches/46f84386/Everton-Fulham-February-14-2021-Premier-League
20,2020-09-13,Wed,Matchweek 16,Home,L 1–3,Everton,Manchester City,Y,CB,90,35,42,83.3,653,227,12,12,100.0,14,14,100.0,6,13,46.2,0,0.0,0.0,0,2,0,0,1,/en/matches/78270b8a/Everton-Manchester-City-February-17-2021-Premier-League
21,2020-09-13,Sat,Matchweek 25,Away,W 2–0,Everton,Liverpool,Y,CB,90,19,25,76.0,366,190,10,11,90.9,6,7,85.7,3,6,50.0,0,0.0,0.0,0,1,0,0,0,/en/matches/e4ac45fb/Merseyside-Derby-Liverpool-Everton-February-20-2021-Premier-League
22,2020-09-13,Mon,Matchweek 26,Home,W 1–0,Everton,Southampton,Y,CB,90,41,50,82.0,776,223,8,12,66.7,28,30,93.3,3,4,75.0,0,0.0,0.0,0,1,0,0,1,/en/matches/a81e1c82/Everton-Southampton-March-1-2021-Premier-League
23,2020-09-13,Thu,Matchweek 29,Away,W 1–0,Everton,West Brom,Y,CB,90,54,58,93.1,995,419,20,21,95.2,29,30,96.7,4,6,66.7,0,0.0,0.0,0,2,0,0,3,/en/matches/ee055741/West-Bromwich-Albion-Everton-March-4-2021-Premier-League
