,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Sat,Premier League,Matchweek 1,Home,L 0–5,West Ham,Manchester City,Y,LW,45,0,0,0,0,0,0,0,0,30,0,1,1,0.0,0.0,0.1,1,0,12,23,52.2,2,14,0,2,1,Match Report
1,Sat,Premier League,Matchweek 2,Away,D 1–1,West Ham,Brighton,N,FW,45,0,0,0,0,3,1,0,0,19,0,0,0,0.3,0.3,0.0,2,0,9,10,90.0,2,12,3,2,2,Match Report
2,Sat,Premier League,Matchweek 3,Away,W 3–1,West Ham,Watford,N,"RM,RW",36,0,0,0,0,2,2,0,0,17,0,1,0,0.4,0.4,0.0,4,1,6,8,75.0,0,10,0,1,0,Match Report
3,Tue,EFL Cup,Second round,Away,W 2–0,West Ham,Newport County,Y,LW,7,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sat,Premier League,Matchweek 13,Home,L 2–3,West Ham,Tottenham,N,"RM,FW",45,1,0,0,0,3,2,0,0,26,0,0,0,0.1,0.1,0.1,4,0,11,18,61.1,2,23,2,3,3,Match Report
6,Sat,Premier League,Matchweek 14,Away,W 1–0,West Ham,Chelsea,Y,FW,75,0,0,0,0,3,2,0,0,39,2,1,1,0.8,0.8,0.0,0,0,13,27,48.1,2,17,0,3,3,Match Report
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Mon,Premier League,Matchweek 16,Home,L 1–3,West Ham,Arsenal,Y,FW,90,0,0,0,0,2,1,0,0,30,2,0,1,0.1,0.1,0.0,0,0,14,19,73.7,0,14,5,3,2,Match Report
9,Sat,Premier League,Matchweek 17,Away,W 1–0,West Ham,Southampton,Y,FW,90,0,0,0,0,2,0,0,0,50,1,0,1,0.1,0.1,0.3,5,0,18,30,60.0,2,27,4,7,6,Match Report
10,Thu,Premier League,Matchweek 19,Away,L 1–2,West Ham,Crystal Palace,Y,FW,90,0,1,0,0,4,1,0,0,50,1,1,1,0.2,0.2,0.4,2,2,23,37,62.2,1,21,2,6,4,Match Report
11,Sat,Premier League,Matchweek 20,Home,L 1–2,West Ham,Leicester City,N,FW,36,0,0,0,0,1,0,0,0,19,1,1,0,0.1,0.1,0.0,1,0,5,10,50.0,1,8,1,5,3,Match Report
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Wed,Premier League,Matchweek 24,Away,L 1–4,West Ham,Leicester City,N,FW,45,0,0,0,0,2,1,0,0,23,0,0,1,0.7,0.7,0.0,0,0,8,13,61.5,1,12,2,5,2,Match Report
14,Sat,FA Cup,Fourth round,Home,L 0–1,West Ham,West Brom,N,,45,0,0,0,0,1,0,0,0,,,1,,,,,,,,,,,,,,,Match Report
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Sat,Premier League,Matchweek 25,Home,D 3–3,West Ham,Brighton,Y,LM,73,0,0,0,0,6,2,0,0,36,0,2,0,0.4,0.4,0.0,6,2,16,22,72.7,0,24,3,6,5,Match Report
17,Wed,Premier League,Matchweek 26,Away,L 0–2,West Ham,Manchester City,Y,FW,90,0,0,0,0,2,0,0,0,28,1,1,1,0.1,0.1,0.0,0,0,10,17,58.8,0,24,4,3,3,Match Report
18,Mon,Premier League,Matchweek 27,Away,L 2–3,West Ham,Liverpool,Y,"FW,LW",90,0,0,0,0,0,0,0,0,39,1,0,2,0.0,0.0,0.4,3,0,17,28,60.7,3,29,2,7,4,Match Report
19,Sat,Premier League,Matchweek 28,Home,W 3–1,West Ham,Southampton,Y,"FW,LW",90,1,1,0,0,2,2,0,0,37,1,0,1,1.0,1.0,0.6,3,1,11,16,68.8,2,19,3,4,1,Match Report
20,Sat,Premier League,Matchweek 29,Away,L 0–1,West Ham,Arsenal,Y,FW,90,0,0,0,0,3,1,1,0,45,0,1,0,0.9,0.9,0.0,5,0,13,28,46.4,3,26,3,7,2,Match Report
21,Sat,Premier League,Matchweek 30,Home,L 0–2,West Ham,Wolves,Y,FW,90,0,0,0,0,1,0,1,0,30,0,0,2,0.0,0.0,0.0,4,0,12,20,60.0,1,15,1,5,4,Match Report
22,Tue,Premier League,Matchweek 31,Away,L 0–2,West Ham,Tottenham,Y,FW,90,0,0,0,0,4,2,0,0,45,0,0,1,0.9,0.9,0.0,2,0,17,28,60.7,0,26,1,2,0,Match Report
23,Wed,Premier League,Matchweek 32,Home,W 3–2,West Ham,Chelsea,Y,FW,90,1,1,0,0,5,2,0,0,45,0,0,0,1.3,1.3,0.7,3,1,19,27,70.4,1,35,4,4,1,Match Report
24,Sun,Premier League,Matchweek 33,Away,D 2–2,West Ham,Newcastle Utd,Y,FW,90,1,0,0,0,2,2,0,0,38,0,0,1,0.7,0.7,0.1,4,1,17,28,60.7,2,21,1,4,1,Match Report
25,Wed,Premier League,Matchweek 34,Home,L 0–1,West Ham,Burnley,Y,"FW,LM",90,0,0,0,0,5,1,0,0,52,1,0,1,0.5,0.5,0.3,10,0,21,32,65.6,3,29,5,9,6,Match Report
26,Sat,Premier League,Matchweek 35,Away,W 4–0,West Ham,Norwich City,Y,FW,77,4,0,0,0,9,6,0,0,37,0,0,0,2.5,2.5,0.6,5,1,16,23,69.6,5,29,3,6,5,Match Report
27,Fri,Premier League,Matchweek 36,Home,W 3–1,West Ham,Watford,Y,"FW,LW",89,1,0,0,0,2,1,0,0,32,1,0,1,0.3,0.3,0.1,5,0,16,20,80.0,2,20,1,9,7,Match Report
28,Wed,Premier League,Matchweek 37,Away,D 1–1,West Ham,Manchester Utd,Y,FW,77,1,0,1,1,3,1,0,0,32,1,0,0,1.2,0.4,0.0,2,0,13,25,52.0,1,24,2,0,0,Match Report
29,Sun,Premier League,Matchweek 38,Home,D 1–1,West Ham,Aston Villa,Y,FW,45,0,0,0,0,1,0,1,0,19,0,0,1,0.3,0.3,0.0,0,0,12,15,80.0,3,15,1,0,0,Match Report
30,,,,,8-5-13,,,20/26,,"1,820",10,3,1,1,68,30,3,0,818,13,10,17,12.9,12.1,3.7,71,9,329,524,62.8,39,494,53,103,65,
