,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Sat,Premier League,Matchweek 1,Home,W 5–1,Newcastle Utd,Aston Villa,Y,RW,85,0,0,0,0,1,1,0,0,39,2,1,1,0.1,0.1,0.3,4,0,31,32,96.9,2,34,4,2,0,Match Report
1,Sat,Premier League,Matchweek 2,Away,L 0–1,Newcastle Utd,Manchester City,Y,RW,85,0,0,0,0,2,0,0,0,39,0,0,2,0.1,0.1,0.1,2,0,23,29,79.3,3,32,7,1,0,Match Report
2,Sun,Premier League,Matchweek 3,Home,L 1–2,Newcastle Utd,Liverpool,Y,RW,90,0,0,0,0,6,1,0,0,45,1,1,1,0.5,0.5,0.0,3,0,31,36,86.1,3,30,6,0,0,Match Report
3,Sat,Premier League,Matchweek 4,Away,L 1–3,Newcastle Utd,Brighton,Y,RW,57,0,0,0,0,0,0,0,0,33,0,1,1,0.0,0.0,0.0,0,0,21,28,75.0,0,19,2,1,1,Match Report
4,Thu,WCQ,WCQ — CONMEBOL (M),Home,D 0–0,py Paraguay,pe Peru,Y,FW,90,0,0,0,0,3,2,0,0,,,1,,,,,,,,,,,,,,,Match Report
5,Tue,WCQ,WCQ — CONMEBOL (M),Away,L 0–1,py Paraguay,ve Venezuela,Y,FW,84,0,0,0,0,5,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
6,Sat,Premier League,Matchweek 5,Home,W 1–0,Newcastle Utd,Brentford,N,RW,8,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,3,0,1,0,Match Report
7,Tue,Champions Lg,Group stage,Away,D 0–0,eng Newcastle Utd,it Milan,N,RW,28,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,1,0,9,12,75.0,2,11,2,2,0,Match Report
8,Sun,Premier League,Matchweek 6,Away,W 8–0,Newcastle Utd,Sheffield Utd,Y,RW,69,1,0,0,0,3,1,0,0,42,2,1,3,0.4,0.4,0.0,2,2,24,29,82.8,3,27,0,1,1,Match Report
9,,,,,3-2-4,,,7/9,,596,1,0,0,0,20,5,0,0,221,5,5,8,1.0,1.0,0.4,12,2,142,169,84.0,13,156,21,8,2,
