,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2022-08-06,Sat,Matchweek 3,Away,W 2–1,Southampton,Leicester City,Y,"AM,RW,RM",90,6,15,40.0,74,2,4,7,57.1,2,3,66.7,0,2,0.0,0,0.0,0.0,0,0,0,0,0,/en/matches/02efd4d1/Leicester-City-Southampton-August-20-2022-Premier-League
1,2022-08-06,Sat,Matchweek 4,Home,L 0–1,Southampton,Manchester Utd,Y,LW,62,14,20,70.0,202,82,11,13,84.6,2,4,50.0,1,3,33.3,0,0.3,0.2,2,1,2,1,1,/en/matches/dff99b20/Southampton-Manchester-United-August-27-2022-Premier-League
2,2022-08-06,Tue,Matchweek 5,Home,W 2–1,Southampton,Chelsea,Y,"RW,RM",90,9,17,52.9,171,36,3,5,60.0,4,6,66.7,2,3,66.7,0,0.0,0.0,0,0,0,0,2,/en/matches/afd303a8/Southampton-Chelsea-August-30-2022-Premier-League
3,2022-08-06,Sat,Matchweek 6,Away,L 0–1,Southampton,Wolves,Y,RW,55,14,21,66.7,218,122,6,9,66.7,8,10,80.0,0,1,0.0,0,0.0,0.0,0,2,2,0,3,/en/matches/13f50518/Wolverhampton-Wanderers-Southampton-September-3-2022-Premier-League
4,2022-08-06,Fri,Matchweek 8,Away,L 0–1,Southampton,Aston Villa,Y,AM,78,9,15,60.0,73,7,8,11,72.7,0,2,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,/en/matches/1219daa1/Aston-Villa-Southampton-September-16-2022-Premier-League
5,2022-08-06,Sat,Matchweek 9,Home,L 1–2,Southampton,Everton,N,RM,2,1,2,50.0,10,0,1,1,100.0,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,/en/matches/06d00bcb/Southampton-Everton-October-1-2022-Premier-League
6,2022-08-06,Sat,Matchweek 10,Away,L 0–4,Southampton,Manchester City,N,AM,25,6,9,66.7,53,0,6,8,75.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,/en/matches/864294c0/Manchester-City-Southampton-October-8-2022-Premier-League
7,2022-08-06,Sun,Matchweek 11,Home,D 1–1,Southampton,West Ham,Y,LM,90,19,28,67.9,228,65,13,16,81.3,3,7,42.9,1,2,50.0,0,0.1,0.1,1,4,0,0,2,/en/matches/2f5adfad/Southampton-West-Ham-United-October-16-2022-Premier-League
8,2022-08-06,Wed,Matchweek 12,Away,W 1–0,Southampton,Bournemouth,Y,"RM,RB",90,25,36,69.4,321,71,17,20,85.0,5,10,50.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,/en/matches/8a2bb3b6/Bournemouth-Southampton-October-19-2022-Premier-League
9,2022-08-06,Sun,Matchweek 13,Home,D 1–1,Southampton,Arsenal,Y,"RM,WB",90,19,29,65.5,318,106,14,17,82.4,3,5,60.0,2,4,50.0,1,0.3,0.3,2,1,2,0,2,/en/matches/d8138438/Southampton-Arsenal-October-23-2022-Premier-League
10,2022-08-06,Sat,Matchweek 14,Away,L 0–1,Southampton,Crystal Palace,Y,WB,73,14,17,82.4,186,59,8,8,100.0,5,6,83.3,0,1,0.0,0,0.0,0.1,0,0,0,0,1,/en/matches/4be07239/Crystal-Palace-Southampton-October-29-2022-Premier-League
11,2022-08-06,Sun,Matchweek 15,Home,L 1–4,Southampton,Newcastle Utd,Y,"LW,LM",90,30,47,63.8,447,130,20,28,71.4,9,12,75.0,1,3,33.3,0,0.1,0.1,1,2,0,0,10,/en/matches/57f9bcc9/Southampton-Newcastle-United-November-6-2022-Premier-League
12,2022-08-06,Sat,Matchweek 16,Away,L 1–3,Southampton,Liverpool,Y,"RB,AM",90,27,32,84.4,443,115,18,19,94.7,5,6,83.3,4,6,66.7,0,0.3,0.2,3,0,2,2,1,/en/matches/1579d34b/Liverpool-Southampton-November-12-2022-Premier-League
13,2022-08-06,Mon,Matchweek 17,Home,L 1–3,Southampton,Brighton,Y,AM,77,7,9,77.8,124,46,3,3,100.0,3,4,75.0,1,2,50.0,0,0.1,0.1,1,0,3,2,1,/en/matches/3527c390/Southampton-Brighton-and-Hove-Albion-December-26-2022-Premier-League
14,2022-08-06,Sat,Matchweek 18,Away,L 1–2,Southampton,Fulham,Y,"CM,RW,RM",89,22,31,71.0,351,153,10,15,66.7,7,8,87.5,3,4,75.0,0,0.4,0.0,2,4,1,0,5,/en/matches/a15bf99e/Fulham-Southampton-December-31-2022-Premier-League
15,2022-08-06,Wed,Matchweek 19,Home,L 0–1,Southampton,Nott'ham Forest,Y,CM,90,23,37,62.2,357,109,13,18,72.2,6,8,75.0,3,5,60.0,0,0.0,0.0,0,2,1,1,1,/en/matches/cc17c735/Southampton-Nottingham-Forest-January-4-2023-Premier-League
16,2022-08-06,Sat,Matchweek 20,Away,W 2–1,Southampton,Everton,Y,"RW,RM",84,14,19,73.7,170,12,10,12,83.3,4,5,80.0,0,1,0.0,0,0.1,0.1,1,0,0,0,0,/en/matches/11603f7f/Everton-Southampton-January-14-2023-Premier-League
