,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
0,2021-08-14,Sat,Matchweek 3,Away,D 2–2,Southampton,Newcastle Utd,Y,CB,90,84,10,33,49,3,2,84,0,0,,0,,44,283,185,3,0,0,0,0,48,0,/en/matches/d81af076/Newcastle-United-Southampton-August-28-2021-Premier-League
1,2021-08-14,Sat,Matchweek 4,Home,D 0–0,Southampton,West Ham,Y,CB,90,87,11,43,44,0,0,87,0,0,,0,,51,324,218,2,0,0,0,0,46,1,/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League
2,2021-08-14,Sat,Matchweek 5,Away,D 0–0,Southampton,Manchester City,N,CB,54,25,5,14,11,0,0,25,1,0,0.0,1,100.0,10,52,6,0,0,0,0,0,15,0,/en/matches/1576c578/Manchester-City-Southampton-September-18-2021-Premier-League
3,2021-08-14,Sun,Matchweek 6,Home,L 0–1,Southampton,Wolves,Y,CB,90,76,6,32,38,6,0,76,0,0,,0,,43,252,119,0,2,0,0,0,48,0,/en/matches/d99f984c/Southampton-Wolverhampton-Wanderers-September-26-2021-Premier-League
4,2021-08-14,Sat,Matchweek 7,Away,L 1–3,Southampton,Chelsea,Y,CB,90,58,9,36,21,2,0,58,1,1,100.0,0,0.0,30,175,85,1,0,0,0,0,28,0,/en/matches/a6466617/Chelsea-Southampton-October-2-2021-Premier-League
5,2021-08-14,Sat,Matchweek 8,Home,W 1–0,Southampton,Leeds United,Y,CB,90,68,6,32,32,5,1,68,2,2,100.0,0,0.0,35,319,205,4,2,0,2,0,33,0,/en/matches/8bde822c/Southampton-Leeds-United-October-16-2021-Premier-League
6,2021-08-14,Sat,Matchweek 9,Home,D 2–2,Southampton,Burnley,Y,CB,90,88,10,46,43,0,0,88,1,1,100.0,0,0.0,54,388,175,3,2,0,1,0,48,0,/en/matches/d5164fbe/Southampton-Burnley-October-23-2021-Premier-League
7,2021-08-14,Sat,Matchweek 10,Away,W 1–0,Southampton,Watford,Y,CB,90,91,2,40,44,7,0,91,0,0,,0,,41,277,186,1,0,0,0,1,55,0,/en/matches/e3521093/Watford-Southampton-October-30-2021-Premier-League
8,2021-08-14,Fri,Matchweek 11,Home,W 1–0,Southampton,Aston Villa,Y,CB,90,74,9,35,33,6,2,74,0,0,,0,,35,193,104,0,0,0,0,0,46,0,/en/matches/868bd31f/Southampton-Aston-Villa-November-5-2021-Premier-League
9,2021-08-14,Sat,Matchweek 12,Away,L 1–2,Southampton,Norwich City,Y,CB,90,107,8,46,50,11,1,107,1,1,100.0,0,0.0,62,351,179,2,0,0,2,0,70,0,/en/matches/4bddaba4/Norwich-City-Southampton-November-20-2021-Premier-League
10,2021-08-14,Sat,Matchweek 13,Away,L 0–4,Southampton,Liverpool,Y,CB,90,49,7,27,17,5,0,49,1,1,100.0,0,0.0,17,51,11,0,0,0,1,0,12,0,/en/matches/aa9b882d/Liverpool-Southampton-November-27-2021-Premier-League
11,2021-08-14,Wed,Matchweek 14,Home,D 2–2,Southampton,Leicester City,Y,CB,90,60,6,29,23,9,5,60,2,2,100.0,0,0.0,21,117,67,0,0,0,1,0,32,0,/en/matches/135f5959/Southampton-Leicester-City-December-1-2021-Premier-League
12,2021-08-14,Sat,Matchweek 15,Home,D 1–1,Southampton,Brighton,Y,CB,90,49,6,24,18,7,2,49,0,0,,0,,16,68,20,0,0,0,0,0,13,1,/en/matches/27fd5d70/Southampton-Brighton-and-Hove-Albion-December-4-2021-Premier-League
13,2021-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2021-08-14,Wed,Matchweek 17,Away,D 2–2,Southampton,Crystal Palace,Y,CB,90,59,10,24,30,5,1,59,0,0,,0,,13,92,47,1,0,0,1,0,21,0,/en/matches/9ebb60f0/Crystal-Palace-Southampton-December-15-2021-Premier-League
15,2021-08-14,Sun,Matchweek 19,Away,W 3–2,Southampton,West Ham,Y,CB,90,54,9,27,26,1,0,54,0,0,,0,,20,184,127,2,1,0,1,0,21,0,/en/matches/36a056cf/West-Ham-United-Southampton-December-26-2021-Premier-League
16,2021-08-14,Tue,Matchweek 20,Home,D 1–1,Southampton,Tottenham,Y,CB,38,32,2,5,21,9,0,32,0,0,,0,,18,109,57,0,1,0,0,1,13,0,/en/matches/08d5ef01/Southampton-Tottenham-Hotspur-December-28-2021-Premier-League
17,2021-08-14,Tue,Matchweek 18,Home,W 4–1,Southampton,Brentford,Y,CB,90,65,6,23,36,6,0,65,0,0,,0,,29,90,33,0,0,0,1,0,31,0,/en/matches/0859817d/Southampton-Brentford-January-11-2022-Premier-League
18,2021-08-14,Sat,Matchweek 22,Away,L 1–3,Southampton,Wolves,Y,CB,90,85,2,23,51,11,3,85,1,0,0.0,1,100.0,46,165,112,1,0,0,0,3,55,2,/en/matches/dd7b8b8b/Wolverhampton-Wanderers-Southampton-January-15-2022-Premier-League
