,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Fri,DFB-Pokal,Round of 64,Away,W 1–0,Stuttgart,Dresden,Y,LM,63,0,0,0,0,3,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
1,Sun,Bundesliga,Matchweek 1,Home,D 1–1,Stuttgart,RB Leipzig,Y,CM,89,1,0,0,0,1,1,0,0,36,1,1,3,0.1,0.1,0.0,3,1,21,26,80.8,3,18,0,2,1,Match Report
2,Sat,Bundesliga,Matchweek 2,Away,D 2–2,Stuttgart,Werder Bremen,Y,CM,90,0,0,0,0,0,0,0,0,42,1,0,1,0.0,0.0,0.0,5,2,28,34,82.4,5,25,3,5,2,Match Report
3,Sat,Bundesliga,Matchweek 3,Home,L 0–1,Stuttgart,Freiburg,Y,"CM,DM",77,0,0,0,0,0,0,1,0,50,0,2,3,0.0,0.0,0.0,2,0,40,43,93.0,2,31,7,3,3,Match Report
4,Sun,Bundesliga,Matchweek 4,Away,D 0–0,Stuttgart,Köln,Y,"CM,LM,LW",89,0,0,0,0,0,0,0,0,25,3,0,1,0.0,0.0,0.0,0,0,15,18,83.3,1,17,3,1,1,Match Report
5,Sat,Bundesliga,Matchweek 5,Home,D 1–1,Stuttgart,Schalke 04,Y,CM,82,0,0,0,0,0,0,0,0,40,2,1,0,0.0,0.0,0.0,1,0,22,30,73.3,4,25,3,3,2,Match Report
6,Sat,Bundesliga,Matchweek 6,Away,D 2–2,Stuttgart,Bayern Munich,Y,CM,83,0,0,0,0,0,0,1,0,27,0,1,0,0.0,0.0,0.0,1,0,12,16,75.0,1,18,2,6,1,Match Report
7,Sat,Bundesliga,Matchweek 7,Home,L 1–3,Stuttgart,Eint Frankfurt,Y,CM,64,0,0,0,0,2,0,0,0,31,2,0,0,0.1,0.1,0.0,1,0,21,26,80.8,2,19,3,1,0,Match Report
8,Sat,Bundesliga,Matchweek 8,Away,L 2–3,Stuttgart,Wolfsburg,Y,LM,86,0,0,0,0,1,1,0,0,29,0,0,0,0.0,0.0,0.0,0,0,12,17,70.6,2,22,5,6,2,Match Report
9,Sun,Bundesliga,Matchweek 9,Home,L 0–1,Stuttgart,Union Berlin,Y,CM,90,0,0,0,0,1,0,0,0,57,2,1,1,0.1,0.1,0.1,4,0,34,41,82.9,1,25,1,2,0,Match Report
10,Sat,Bundesliga,Matchweek 10,Home,W 4–1,Stuttgart,Bochum,Y,CM,51,1,0,0,0,2,1,0,0,17,1,0,0,0.2,0.2,0.0,1,0,11,14,78.6,0,10,0,0,0,Match Report
11,Wed,DFB-Pokal,Round of 32,Home,W 6–0,Stuttgart,Arminia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sat,Bundesliga,Matchweek 11,Away,L 0–5,Stuttgart,Dortmund,Y,CM,73,0,0,0,0,1,0,0,0,33,0,0,0,0.1,0.1,0.1,2,0,19,24,79.2,6,23,6,4,3,Match Report
13,Sat,Bundesliga,Matchweek 12,Home,W 2–1,Stuttgart,Augsburg,Y,CM,90,0,0,0,0,3,1,0,0,54,1,0,1,0.1,0.1,0.0,5,1,41,48,85.4,4,37,2,2,2,Match Report
14,Fri,Bundesliga,Matchweek 13,Away,L 1–3,Stuttgart,M'Gladbach,Y,CM,87,0,0,0,0,2,1,0,0,32,2,0,1,0.1,0.1,0.1,2,0,23,25,92.0,2,22,0,0,0,Match Report
15,Tue,Bundesliga,Matchweek 14,Home,W 2–1,Stuttgart,Hertha BSC,Y,"RM,CM",90,0,0,0,0,0,0,0,0,55,1,2,1,0.0,0.0,0.2,5,0,43,48,89.6,5,33,2,2,2,Match Report
16,Sat,Bundesliga,Matchweek 15,Away,L 0–2,Stuttgart,Leverkusen,Y,CM,90,0,0,0,0,2,0,0,0,54,0,0,1,0.1,0.1,0.0,0,0,45,47,95.7,5,30,3,1,1,Match Report
17,Sat,Bundesliga,Matchweek 16,Home,D 1–1,Stuttgart,Mainz 05,Y,RM,90,0,0,0,0,0,0,0,0,52,0,0,3,0.0,0.0,0.0,3,1,35,43,81.4,4,30,2,2,0,Match Report
18,Tue,Bundesliga,Matchweek 17,Away,D 2–2,Stuttgart,Hoffenheim,Y,RM,77,0,2,0,0,1,0,2,1,40,1,0,0,0.1,0.1,0.6,3,2,27,29,93.1,9,23,1,4,0,Match Report
19,Sat,Premier League,Matchweek 22,Away,L 1–2,Crystal Palace,Manchester Utd,N,DM,9,0,0,0,0,1,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,8,9,88.9,1,5,1,0,0,Match Report
