,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2020-09-14,Sat,Matchweek 3,Home,L 2–3,Brighton,Manchester Utd,Y,LW,90,24,36,66.7,388,66,11,13,84.6,10,13,76.9,2,2,100.0,0,0.4,0.2,3,1,1,1,3,/en/matches/21495573/Brighton-and-Hove-Albion-Manchester-United-September-26-2020-Premier-League
1,2020-09-14,Sat,Matchweek 4,Away,L 2–4,Brighton,Everton,Y,"AM,FW",90,21,25,84.0,287,22,12,12,100.0,6,6,100.0,1,1,100.0,0,0.0,0.0,0,1,1,0,4,/en/matches/3cbb397e/Everton-Brighton-and-Hove-Albion-October-3-2020-Premier-League
2,2020-09-14,Sun,Matchweek 5,Away,D 1–1,Brighton,Crystal Palace,Y,FW,90,13,16,81.3,191,20,7,7,100.0,5,6,83.3,1,1,100.0,0,0.1,0.1,1,0,0,0,0,/en/matches/e96818bc/Crystal-Palace-Brighton-and-Hove-Albion-October-18-2020-Premier-League
3,2020-09-14,Mon,Matchweek 6,Home,D 1–1,Brighton,West Brom,Y,FW,90,21,25,84.0,286,34,9,11,81.8,6,6,100.0,2,3,66.7,0,0.0,0.0,0,0,0,0,0,/en/matches/26452511/Brighton-and-Hove-Albion-West-Bromwich-Albion-October-26-2020-Premier-League
4,2020-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2020-09-14,Fri,Matchweek 8,Home,D 0–0,Brighton,Burnley,Y,FW,90,31,34,91.2,453,88,18,19,94.7,7,7,100.0,3,4,75.0,0,0.0,0.1,0,4,2,0,6,/en/matches/c23d7844/Brighton-and-Hove-Albion-Burnley-November-6-2020-Premier-League
6,2020-09-14,Sat,Matchweek 9,Away,W 2–1,Brighton,Aston Villa,Y,FW,79,16,16,100.0,150,8,13,13,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,/en/matches/dea0df40/Aston-Villa-Brighton-and-Hove-Albion-November-21-2020-Premier-League
7,2020-09-14,Sat,Matchweek 10,Home,D 1–1,Brighton,Liverpool,Y,AM,25,4,4,100.0,59,29,3,3,100.0,1,1,100.0,0,0,,0,0.3,0.2,1,1,0,0,1,/en/matches/31baf354/Brighton-and-Hove-Albion-Liverpool-November-28-2020-Premier-League
8,2020-09-14,Mon,Matchweek 11,Home,L 1–2,Brighton,Southampton,N,FW,27,4,6,66.7,63,18,1,2,50.0,3,3,100.0,0,0,,0,0.1,0.0,1,1,1,0,2,/en/matches/32356abc/Brighton-and-Hove-Albion-Southampton-December-7-2020-Premier-League
9,2020-09-14,Sun,Matchweek 12,Away,L 0–3,Brighton,Leicester City,Y,"AM,FW",90,18,26,69.2,325,67,9,11,81.8,6,8,75.0,3,4,75.0,0,0.0,0.0,0,2,0,0,3,/en/matches/964e6470/Leicester-City-Brighton-and-Hove-Albion-December-13-2020-Premier-League
