,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Mon,Premier League,Matchweek 1,Away,L 0–1,Wolves,Manchester Utd,Y,RB,90,0,0,0,0,0,0,0,0,63,4,3,2,0.0,0.0,0.0,4,0,44,51,86.3,4,41,4,3,1,Match Report
1,Sat,Premier League,Matchweek 2,Home,L 1–4,Wolves,Brighton,Y,RB,90,0,0,0,0,1,0,0,0,59,4,0,1,0.0,0.0,0.0,2,0,43,52,82.7,5,36,1,1,1,Match Report
2,Sat,Premier League,Matchweek 3,Away,W 1–0,Wolves,Everton,Y,RB,90,0,0,0,0,0,0,1,0,90,3,1,0,0.0,0.0,0.0,0,0,66,77,85.7,8,58,1,4,1,Match Report
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sun,Premier League,Matchweek 4,Away,L 2–3,Wolves,Crystal Palace,Y,RB,90,0,0,0,0,1,0,1,0,76,6,2,0,0.0,0.0,0.0,2,0,47,61,77.0,6,29,2,2,1,Match Report
5,Fri,Euro Qualifying,Group stage,Away,W 1–0,pt Portugal,sk Slovakia,N,,28,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,Match Report
6,Mon,Euro Qualifying,Group stage,Home,W 9–0,pt Portugal,lu Luxembourg,Y,RB,60,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
7,Sat,Premier League,Matchweek 5,Home,L 1–3,Wolves,Liverpool,Y,RB,90,0,0,0,0,1,0,1,0,84,2,2,3,0.1,0.1,0.0,2,0,55,66,83.3,3,47,5,7,6,Match Report
8,Sat,Premier League,Matchweek 6,Away,D 1–1,Wolves,Luton Town,Y,RB,83,0,0,0,0,0,0,0,0,47,0,0,1,0.0,0.0,0.0,0,0,30,41,73.2,0,28,0,0,0,Match Report
9,,,,,3-1-4,,,7/8,,621,0,0,0,0,4,0,3,0,419,19,9,7,0.1,0.1,0.0,10,0,285,348,81.9,26,239,13,17,10,
