,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
0,2021-02-07,Sat,Matchweek 25,Away,D 0–0,West Brom,Burnley,Y,"CM,DM",90,38,4,14,21,5,1,38,2,2,100.0,0,0.0,20,132,71,1,2,0,0,1,14,1,/en/matches/072e8501/Burnley-West-Bromwich-Albion-February-20-2021-Premier-League
1,2021-02-07,Sat,Matchweek 26,Home,W 1–0,West Brom,Brighton,Y,DM,90,40,5,21,14,6,0,40,1,1,100.0,0,0.0,16,70,30,0,0,0,0,0,17,0,/en/matches/ff18265a/West-Bromwich-Albion-Brighton-and-Hove-Albion-February-27-2021-Premier-League
2,2021-02-07,Thu,Matchweek 29,Home,L 0–1,West Brom,Everton,Y,DM,90,69,4,25,37,10,0,69,2,1,50.0,1,50.0,40,176,80,1,1,0,2,0,39,1,/en/matches/ee055741/West-Bromwich-Albion-Everton-March-4-2021-Premier-League
3,2021-02-07,Sun,Matchweek 27,Home,D 0–0,West Brom,Newcastle Utd,Y,DM,90,67,5,18,34,15,0,67,2,2,100.0,0,0.0,24,63,20,0,0,0,3,0,31,0,/en/matches/a096c32f/West-Bromwich-Albion-Newcastle-United-March-7-2021-Premier-League
4,2021-02-07,Sat,Matchweek 28,Away,L 0–1,West Brom,Crystal Palace,Y,"DM,CM",90,71,4,12,46,13,2,71,4,2,50.0,2,50.0,37,185,99,1,2,0,3,0,41,1,/en/matches/29954372/Crystal-Palace-West-Bromwich-Albion-March-13-2021-Premier-League
5,2021-02-07,Sat,Matchweek 30,Away,W 5–2,West Brom,Chelsea,Y,CM,90,62,3,16,43,4,1,62,4,2,50.0,2,50.0,35,141,32,0,0,0,4,3,31,0,/en/matches/c5d6a493/Chelsea-West-Bromwich-Albion-April-3-2021-Premier-League
6,2021-02-07,Mon,Matchweek 31,Home,W 3–0,West Brom,Southampton,Y,CM,90,46,4,11,28,8,3,46,1,1,100.0,0,0.0,20,55,19,1,0,1,1,1,17,0,/en/matches/3dee3681/West-Bromwich-Albion-Southampton-April-12-2021-Premier-League
7,2021-02-07,Thu,Matchweek 32,Away,L 0–3,West Brom,Leicester City,Y,CM,90,35,1,12,19,4,2,35,1,0,0.0,1,100.0,21,49,20,0,0,0,1,0,15,0,/en/matches/be6edfdf/Leicester-City-West-Bromwich-Albion-April-22-2021-Premier-League
8,2021-02-07,Sun,Matchweek 33,Away,D 2–2,West Brom,Aston Villa,Y,"DM,CM",90,48,8,20,25,3,1,48,1,1,100.0,0,0.0,18,103,46,0,0,0,1,1,15,0,/en/matches/2ab535fa/Aston-Villa-West-Bromwich-Albion-April-25-2021-Premier-League
9,2021-02-07,Mon,Matchweek 34,Home,D 1–1,West Brom,Wolves,Y,"CM,DM",90,54,3,15,33,7,0,54,2,2,100.0,0,0.0,31,102,37,1,0,0,4,1,26,0,/en/matches/378a8a95/West-Bromwich-Albion-Wolverhampton-Wanderers-May-3-2021-Premier-League
10,2021-02-07,Sun,Matchweek 35,Away,L 1–3,West Brom,Arsenal,Y,CM,90,40,2,12,27,3,0,40,1,1,100.0,0,0.0,15,52,9,0,0,0,2,0,16,0,/en/matches/49369ed5/Arsenal-West-Bromwich-Albion-May-9-2021-Premier-League
11,2021-02-07,Sun,Matchweek 36,Home,L 1–2,West Brom,Liverpool,Y,CM,74,26,2,14,10,2,0,26,0,0,,0,,10,15,6,0,0,0,0,0,6,1,/en/matches/6a834f6e/West-Bromwich-Albion-Liverpool-May-16-2021-Premier-League
12,2021-02-07,Wed,Matchweek 37,Home,L 1–3,West Brom,West Ham,Y,CM,84,56,6,14,36,6,0,56,2,2,100.0,0,0.0,27,95,51,0,0,0,1,1,21,0,/en/matches/88927a77/West-Bromwich-Albion-West-Ham-United-May-19-2021-Premier-League
13,2021-02-07,Sun,Matchweek 38,Away,L 1–3,West Brom,Leeds United,Y,"CM,DM",90,34,3,12,17,5,0,34,1,1,100.0,0,0.0,23,85,24,0,0,0,1,1,20,0,/en/matches/9ade2b5d/Leeds-United-West-Bromwich-Albion-May-23-2021-Premier-League
