,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form
0,0,2023-08-21,Mon,Premier League,Matchweek 2,Away,W 1–0,Arsenal,Crystal Palace,N,LB,2,0,0,0,0,0,0,0,0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,0.0,4.0,0.0,0.0,0.0,/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,1.0,0.5
1,1,2023-08-26,Sat,Premier League,Matchweek 3,Home,D 2–2,Arsenal,Fulham,N,LB,35,0,0,0,0,0,0,0,0,45.0,0.0,1,1.0,0.0,0.0,0.1,2.0,0.0,34.0,41.0,82.9,7.0,21.0,2.0,1.0,0.0,/en/matches/d8f8f8ad/Arsenal-Fulham-August-26-2023-Premier-League,0.5,0.5
2,2,2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–1,Arsenal,Manchester Utd,Y,LB,75,0,0,0,0,0,0,0,0,61.0,1.0,0,0.0,0.0,0.0,0.1,1.0,0.0,49.0,59.0,83.1,3.0,37.0,2.0,0.0,0.0,/en/matches/74125d47/Arsenal-Manchester-United-September-3-2023-Premier-League,1.0,0.5
3,3,2023-09-09,Sat,Euro Qualifying,Group stage,Home,D 1–1,ua Ukraine,eng England,Y,DM,75,1,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/a067451d/Ukraine-England-September-9-2023-Euro-Qualifying,0.5,0.8333333333333334
4,4,2023-09-12,Tue,Euro Qualifying,Group stage,Away,L 1–2,ua Ukraine,it Italy,Y,DM,74,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,/en/matches/9f83636b/Italy-Ukraine-September-12-2023-Euro-Qualifying,0.0,0.6666666666666666
5,5,2023-09-17,Sun,Premier League,Matchweek 5,Away,W 1–0,Arsenal,Everton,Y,LB,79,0,0,0,0,3,0,0,0,100.0,2.0,0,0.0,0.1,0.1,0.0,1.0,0.0,81.0,94.0,86.2,10.0,62.0,2.0,0.0,0.0,/en/matches/b1278924/Everton-Arsenal-September-17-2023-Premier-League,1.0,0.5
6,6,2023-09-20,Wed,Champions Lg,Group stage,Home,W 4–0,eng Arsenal,nl PSV Eindhoven,Y,LB,57,0,0,0,0,0,0,0,0,51.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,43.0,47.0,91.5,4.0,34.0,1.0,1.0,0.0,/en/matches/9928de4e/Arsenal-PSV-Eindhoven-September-20-2023-Champions-League,1.0,0.5
7,7,2023-09-24,Sun,Premier League,Matchweek 6,Home,D 2–2,Arsenal,Tottenham,Y,LB,90,0,0,0,0,0,0,0,0,66.0,5.0,1,1.0,0.0,0.0,0.0,2.0,0.0,54.0,59.0,91.5,7.0,31.0,1.0,0.0,0.0,/en/matches/08947a10/North-London-Derby-Arsenal-Tottenham-Hotspur-September-24-2023-Premier-League,0.5,0.6666666666666666
8,8,2023-09-27,Wed,EFL Cup,Third round,Away,W 1–0,Arsenal,Brentford,N,,22,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/80d68b2d/Brentford-Arsenal-September-27-2023-EFL-Cup,1.0,0.8333333333333334
9,9,2023-09-30,Sat,Premier League,Matchweek 7,Away,W 4–0,Arsenal,Bournemouth,Y,LB,68,0,0,0,0,2,1,0,0,78.0,4.0,2,2.0,0.1,0.1,0.1,5.0,1.0,60.0,66.0,90.9,5.0,50.0,3.0,2.0,1.0,/en/matches/8de4aca0/Bournemouth-Arsenal-September-30-2023-Premier-League,1.0,0.8333333333333334
10,10,2023-10-03,Tue,Champions Lg,Group stage,Away,L 1–2,eng Arsenal,fr Lens,Y,LB,70,0,0,0,0,0,0,0,0,82.0,0.0,1,0.0,0.0,0.0,0.2,1.0,0.0,73.0,80.0,91.3,9.0,69.0,4.0,1.0,0.0,/en/matches/dba6efee/Lens-Arsenal-October-3-2023-Champions-League,0.0,0.8333333333333334
11,11,2023-10-08,Sun,Premier League,Matchweek 8,Home,W 1–0,Arsenal,Manchester City,Y,LB,74,0,0,0,0,3,0,0,0,44.0,2.0,1,0.0,0.1,0.1,0.0,2.0,0.0,32.0,37.0,86.5,3.0,30.0,0.0,0.0,0.0,/en/matches/59cd18ae/Arsenal-Manchester-City-October-8-2023-Premier-League,1.0,0.6666666666666666
12,12,2023-10-14,Sat,Euro Qualifying,Group stage,Home,W 2–0,ua Ukraine,mk N. Macedonia,Y,DM,75,0,1,0,0,0,0,1,0,,,1,,,,,,,,,,,,,,,/en/matches/ce2b9645/Ukraine-North-Macedonia-October-14-2023-Euro-Qualifying,1.0,0.6666666666666666
13,13,2023-10-17,Tue,Euro Qualifying,Group stage,Away,W 3–1,ua Ukraine,mt Malta,Y*,DM,86,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/e5e04f02/Malta-Ukraine-October-17-2023-Euro-Qualifying,1.0,0.6666666666666666
14,14,2023-10-21,Sat,Premier League,Matchweek 9,Away,D 2–2,Arsenal,Chelsea,Y,LB,45,0,0,0,0,0,0,1,0,34.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,32.0,87.5,6.0,21.0,1.0,0.0,0.0,/en/matches/a1c336e2/North-West-London-Derby-Chelsea-Arsenal-October-21-2023-Premier-League,0.5,1.0
15,15,2023-10-28,Sat,Premier League,Matchweek 10,Home,W 5–0,Arsenal,Sheffield Utd,Y,LB,90,0,0,0,0,1,0,0,0,97.0,2.0,1,0.0,0.0,0.0,0.2,2.0,0.0,85.0,92.0,92.4,12.0,65.0,1.0,1.0,0.0,/en/matches/d498f918/Arsenal-Sheffield-United-October-28-2023-Premier-League,1.0,0.8333333333333334
16,16,2023-11-01,Wed,EFL Cup,Fourth round,Away,L 1–3,Arsenal,West Ham,Y,LB,56,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/7fbf0cfb/West-Ham-United-Arsenal-November-1-2023-EFL-Cup,0.0,0.8333333333333334
17,17,2023-11-04,Sat,Premier League,Matchweek 11,Away,L 0–1,Arsenal,Newcastle Utd,N,LB,18,0,0,0,0,0,0,0,0,33.0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,26.0,32.0,81.3,10.0,22.0,1.0,1.0,1.0,/en/matches/6096abaa/Newcastle-United-Arsenal-November-4-2023-Premier-League,0.0,0.5
18,18,2023-11-08,Wed,Champions Lg,Group stage,Home,W 2–0,eng Arsenal,es Sevilla,N,"LB,RW",45,0,0,0,0,1,1,1,0,42.0,2.0,0,0.0,0.1,0.1,0.0,0.0,0.0,31.0,38.0,81.6,6.0,18.0,2.0,0.0,0.0,/en/matches/2e9fad19/Arsenal-Sevilla-November-8-2023-Champions-League,1.0,0.3333333333333333
19,19,2023-11-11,Sat,Premier League,Matchweek 12,Home,W 3–1,Arsenal,Burnley,Y,LB,90,1,0,0,0,1,1,0,0,113.0,5.0,0,2.0,0.0,0.0,0.1,5.0,1.0,88.0,103.0,85.4,21.0,67.0,2.0,1.0,1.0,/en/matches/2cb4e4dc/Arsenal-Burnley-November-11-2023-Premier-League,1.0,0.3333333333333333
