,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2020-09-19,Sun,Matchweek 4,Home,L 1–6,Manchester Utd,Tottenham,Y,DM,90,42,51,82.4,643,139,24,24,100.0,14,17,82.4,3,7,42.9,0,0.0,0.0,0,7,1,0,4,/en/matches/cded7e69/Manchester-United-Tottenham-Hotspur-October-4-2020-Premier-League
1,2020-09-19,Sat,Matchweek 5,Away,W 4–1,Manchester Utd,Newcastle Utd,N,"DM,CM",22,19,25,76.0,354,124,10,12,83.3,6,7,85.7,3,6,50.0,0,0.0,0.0,1,4,0,0,3,/en/matches/0b8239de/Newcastle-United-Manchester-United-October-17-2020-Premier-League
2,2020-09-19,Sat,Matchweek 6,Home,D 0–0,Manchester Utd,Chelsea,N,RW,33,29,32,90.6,481,65,12,13,92.3,10,11,90.9,4,4,100.0,0,0.0,0.0,0,3,0,0,3,/en/matches/3aaf7c62/Manchester-United-Chelsea-October-24-2020-Premier-League
3,2020-09-19,Sun,Matchweek 7,Home,L 0–1,Manchester Utd,Arsenal,Y,LM,90,35,42,83.3,419,41,23,24,95.8,9,13,69.2,1,3,33.3,0,0.0,0.1,1,1,2,0,2,/en/matches/75dd1359/Manchester-United-Arsenal-November-1-2020-Premier-League
4,2020-09-19,Sat,Matchweek 8,Away,W 3–1,Manchester Utd,Everton,N,LW,9,4,6,66.7,51,12,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,1,/en/matches/ab9f408d/Everton-Manchester-United-November-7-2020-Premier-League
5,2020-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2020-09-19,Sat,Matchweek 11,Away,W 3–1,Manchester Utd,West Ham,Y,DM,90,91,104,87.5,1546,443,50,57,87.7,29,30,96.7,10,13,76.9,0,0.0,0.0,0,4,0,0,8,/en/matches/c2206b97/West-Ham-United-Manchester-United-December-5-2020-Premier-League
7,2020-09-19,Sat,Matchweek 12,Home,D 0–0,Manchester Utd,Manchester City,Y,"LW,LM",90,31,36,86.1,538,155,17,20,85.0,10,10,100.0,3,4,75.0,0,0.1,0.1,2,5,3,0,5,/en/matches/85cc70bb/Manchester-Derby-Manchester-United-Manchester-City-December-12-2020-Premier-League
8,2020-09-19,Thu,Matchweek 13,Away,W 3–2,Manchester Utd,Sheffield Utd,Y,DM,90,57,68,83.8,1224,332,18,22,81.8,31,35,88.6,8,11,72.7,0,0.4,0.2,2,7,1,0,5,/en/matches/3b3cc5f6/Sheffield-United-Manchester-United-December-17-2020-Premier-League
9,2020-09-19,Sun,Matchweek 14,Home,W 6–2,Manchester Utd,Leeds United,N,"On matchday squad, but did not play",/en/matches/b7ab53b3/Manchester-United-Leeds-United-December-20-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
10,2020-09-19,Sat,Matchweek 15,Away,D 2–2,Manchester Utd,Leicester City,N,"AM,RW",37,6,12,50.0,91,22,2,6,33.3,4,4,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,/en/matches/33c8b5c8/Leicester-City-Manchester-United-December-26-2020-Premier-League
11,2020-09-19,Tue,Matchweek 16,Home,W 1–0,Manchester Utd,Wolves,Y,DM,90,59,72,81.9,904,279,35,37,94.6,18,21,85.7,5,12,41.7,0,0.1,0.1,1,9,2,0,9,/en/matches/a8d659e4/Manchester-United-Wolverhampton-Wanderers-December-29-2020-Premier-League
12,2020-09-19,Fri,Matchweek 17,Home,W 2–1,Manchester Utd,Aston Villa,Y,LW,90,37,50,74.0,672,303,20,23,87.0,11,12,91.7,5,10,50.0,0,0.1,0.1,2,6,1,0,9,/en/matches/0ae3a66d/Manchester-United-Aston-Villa-January-1-2021-Premier-League
13,2020-09-19,Tue,Matchweek 1,Away,W 1–0,Manchester Utd,Burnley,Y,"DM,AM",90,71,82,86.6,1237,272,34,36,94.4,27,33,81.8,8,10,80.0,0,0.2,0.3,2,5,3,0,7,/en/matches/2c8aa556/Burnley-Manchester-United-January-12-2021-Premier-League
14,2020-09-19,Sun,Matchweek 19,Away,D 0–0,Manchester Utd,Liverpool,Y,"RW,AM",90,22,43,51.2,332,81,15,19,78.9,2,8,25.0,3,6,50.0,0,0.0,0.0,0,1,0,0,2,/en/matches/7e1384ef/North-West-Derby-Liverpool-Manchester-United-January-17-2021-Premier-League
15,2020-09-19,Wed,Matchweek 18,Away,W 2–1,Manchester Utd,Fulham,Y,"DM,LW",90,73,86,84.9,1387,362,28,29,96.6,31,35,88.6,11,15,73.3,0,0.0,0.0,1,7,1,0,7,/en/matches/2a3855db/Fulham-Manchester-United-January-20-2021-Premier-League
16,2020-09-19,Wed,Matchweek 20,Home,L 1–2,Manchester Utd,Sheffield Utd,Y,DM,90,83,95,87.4,1605,319,34,38,89.5,31,35,88.6,16,19,84.2,0,0.0,0.1,1,10,1,0,7,/en/matches/6e963555/Manchester-United-Sheffield-United-January-27-2021-Premier-League
17,2020-09-19,Sat,Matchweek 21,Away,D 0–0,Manchester Utd,Arsenal,Y,"DM,LW",90,66,73,90.4,1172,287,30,32,93.8,30,32,93.8,5,6,83.3,0,0.1,0.1,1,7,2,0,11,/en/matches/0fcaaa5f/Arsenal-Manchester-United-January-30-2021-Premier-League
18,2020-09-19,Tue,Matchweek 22,Home,W 9–0,Manchester Utd,Southampton,N,"On matchday squad, but did not play",/en/matches/37a9f2fd/Manchester-United-Southampton-February-2-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
19,2020-09-19,Sat,Matchweek 23,Home,D 3–3,Manchester Utd,Everton,Y,DM,38,38,41,92.7,744,184,16,18,88.9,14,14,100.0,6,7,85.7,0,0.0,0.0,0,2,0,0,5,/en/matches/6504b158/Manchester-United-Everton-February-6-2021-Premier-League
20,2020-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2020-09-19,Sun,Matchweek 30,Home,W 2–1,Manchester Utd,Brighton,Y,DM,83,58,80,72.5,888,226,31,38,81.6,24,33,72.7,2,6,33.3,1,0.7,0.1,2,9,1,0,7,/en/matches/de17a70e/Manchester-United-Brighton-and-Hove-Albion-April-4-2021-Premier-League
22,2020-09-19,Sun,Matchweek 31,Away,W 3–1,Manchester Utd,Tottenham,Y,"LW,AM",90,40,48,83.3,624,184,22,23,95.7,12,15,80.0,4,6,66.7,1,0.1,0.1,2,4,2,1,7,/en/matches/a51d567c/Tottenham-Hotspur-Manchester-United-April-11-2021-Premier-League
23,2020-09-19,Sun,Matchweek 32,Home,W 3–1,Manchester Utd,Burnley,Y,"DM,LW",90,60,67,89.6,1165,271,28,30,93.3,17,19,89.5,12,13,92.3,1,0.0,0.1,1,12,1,0,8,/en/matches/3e00561f/Manchester-United-Burnley-April-18-2021-Premier-League
24,2020-09-19,Sun,Matchweek 33,Away,D 0–0,Manchester Utd,Leeds United,N,"LW,DM",15,11,14,78.6,171,58,3,6,50.0,5,5,100.0,1,1,100.0,0,0.0,0.0,1,2,0,0,3,/en/matches/8422804d/Leeds-United-Manchester-United-April-25-2021-Premier-League
25,2020-09-19,Sun,Matchweek 35,Away,W 3–1,Manchester Utd,Aston Villa,Y,LW,90,37,50,74.0,563,162,19,24,79.2,12,17,70.6,2,3,66.7,0,0.1,0.1,2,2,1,0,6,/en/matches/c80d17ca/Aston-Villa-Manchester-United-May-9-2021-Premier-League
26,2020-09-19,Tue,Matchweek 36,Home,L 1–2,Manchester Utd,Leicester City,N,"On matchday squad, but did not play",/en/matches/855994bf/Manchester-United-Leicester-City-May-11-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
27,2020-09-19,Thu,Matchweek 34,Home,L 2–4,Manchester Utd,Liverpool,Y,"LW,DM",90,32,46,69.6,656,164,14,16,87.5,12,16,75.0,6,8,75.0,0,0.3,0.2,2,4,2,0,5,/en/matches/9f0275a4/North-West-Derby-Manchester-United-Liverpool-May-13-2021-Premier-League
28,2020-09-19,Tue,Matchweek 37,Home,D 1–1,Manchester Utd,Fulham,Y,"LW,DM",90,48,57,84.2,785,207,21,24,87.5,21,22,95.5,3,5,60.0,0,0.1,0.0,2,8,2,0,6,/en/matches/d8018048/Manchester-United-Fulham-May-18-2021-Premier-League
