,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
0,2023-02-05,Sun,Matchweek 24,Home,W 2–0,Tottenham,West Ham,N,"On matchday squad, but did not play",/en/matches/aae66d3d/Tottenham-Hotspur-West-Ham-United-February-19-2023-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
1,2023-02-05,Sun,Matchweek 25,Home,W 2–0,Tottenham,Chelsea,N,AM,2,6,1,1,1,4,0,6,1,0,0.0,1,100.0,3,37,23,1,0,0,0,0,2,1,/en/matches/8eff71b5/Tottenham-Hotspur-Chelsea-February-26-2023-Premier-League
2,2023-02-05,Sat,Matchweek 26,Away,L 0–1,Tottenham,Wolves,Y,WB,80,53,3,7,25,21,2,53,4,1,25.0,3,75.0,26,125,65,1,0,0,2,1,26,7,/en/matches/bf4ac62d/Wolverhampton-Wanderers-Tottenham-Hotspur-March-4-2023-Premier-League
3,2023-02-05,Sat,Matchweek 27,Home,W 3–1,Tottenham,Nott'ham Forest,Y,WB,90,79,2,22,31,26,2,79,5,2,40.0,3,60.0,58,386,260,8,3,1,1,1,63,13,/en/matches/d065f9cd/Tottenham-Hotspur-Nottingham-Forest-March-11-2023-Premier-League
4,2023-02-05,Sat,Matchweek 28,Away,D 3–3,Tottenham,Southampton,Y,WB,85,67,3,19,23,25,4,67,4,2,50.0,2,50.0,36,154,96,1,1,0,1,0,49,13,/en/matches/bd9ec55d/Southampton-Tottenham-Hotspur-March-18-2023-Premier-League
5,2023-02-05,Mon,Matchweek 29,Away,D 1–1,Tottenham,Everton,Y,WB,90,69,9,26,18,26,3,69,2,1,50.0,1,50.0,37,170,91,0,0,0,2,2,35,9,/en/matches/c00d9a22/Everton-Tottenham-Hotspur-April-3-2023-Premier-League
6,2023-02-05,Sat,Matchweek 30,Home,W 2–1,Tottenham,Brighton,Y,WB,90,38,6,15,12,11,2,38,3,0,0.0,1,33.3,18,60,32,0,0,0,3,1,19,3,/en/matches/b3ad7bd4/Tottenham-Hotspur-Brighton-and-Hove-Albion-April-8-2023-Premier-League
7,2023-02-05,Sat,Matchweek 31,Home,L 2–3,Tottenham,Bournemouth,Y,"WB,RB",90,67,2,16,26,27,2,67,6,2,33.3,4,66.7,33,229,154,5,0,1,0,0,36,7,/en/matches/bfc49d95/Tottenham-Hotspur-Bournemouth-April-15-2023-Premier-League
8,2023-02-05,Sun,Matchweek 32,Away,L 1–6,Tottenham,Newcastle Utd,Y,"RM,RB",90,66,4,26,22,18,2,66,0,0,,0,,22,130,65,4,1,1,1,0,35,5,/en/matches/dff22d13/Newcastle-United-Tottenham-Hotspur-April-23-2023-Premier-League
9,2023-02-05,Thu,Matchweek 33,Home,D 2–2,Tottenham,Manchester Utd,Y,WB,76,55,4,12,21,23,2,55,3,0,0.0,3,100.0,25,156,89,3,5,0,0,0,29,6,/en/matches/8c9a5c5c/Tottenham-Hotspur-Manchester-United-April-27-2023-Premier-League
10,2023-02-05,Sun,Matchweek 34,Away,L 3–4,Tottenham,Liverpool,Y,"WB,RB",89,56,2,26,20,11,0,56,2,1,50.0,1,50.0,33,188,60,1,0,0,2,0,32,3,/en/matches/e07267b3/Liverpool-Tottenham-Hotspur-April-30-2023-Premier-League
11,2023-02-05,Sat,Matchweek 35,Home,W 1–0,Tottenham,Crystal Palace,Y,RM,90,72,3,12,32,29,1,72,1,1,100.0,0,0.0,37,188,106,4,2,1,0,1,43,8,/en/matches/0f1e1478/Tottenham-Hotspur-Crystal-Palace-May-6-2023-Premier-League
12,2023-02-05,Sat,Matchweek 36,Away,L 1–2,Tottenham,Aston Villa,Y,RM,80,53,3,18,16,20,0,53,4,2,50.0,1,25.0,23,106,91,0,2,0,0,0,32,6,/en/matches/362514ee/Aston-Villa-Tottenham-Hotspur-May-13-2023-Premier-League
13,2023-02-05,Sat,Matchweek 37,Home,L 1–3,Tottenham,Brentford,N,RB,16,39,0,6,16,17,1,39,0,0,,0,,23,131,84,2,1,0,0,0,25,7,/en/matches/28ebbaf2/Tottenham-Hotspur-Brentford-May-20-2023-Premier-League
14,2023-02-05,Sun,Matchweek 38,Away,W 4–1,Tottenham,Leeds United,Y,RM,89,56,3,20,15,21,4,56,0,0,,0,,29,91,56,1,1,0,1,0,30,4,/en/matches/c9c73ddd/Leeds-United-Tottenham-Hotspur-May-28-2023-Premier-League
