,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Mon,Premier League,Matchweek 1,Home,L 0–2,Sheffield Utd,Wolves,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Thu,EFL Cup,Second round,Away,D 1 (4)–1 (5),Sheffield Utd,Burnley,Y,CB,90,0,0,0,0,0,0,1,0,,,1,,,,,,,,,,,,,,,Match Report
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sun,Premier League,Matchweek 3,Home,L 0–1,Sheffield Utd,Leeds United,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sat,Premier League,Matchweek 6,Away,L 1–2,Sheffield Utd,Liverpool,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sat,Premier League,Matchweek 8,Away,L 1–4,Sheffield Utd,Chelsea,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sun,Premier League,Matchweek 9,Home,L 0–1,Sheffield Utd,West Ham,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sat,Premier League,Matchweek 10,Away,L 0–1,Sheffield Utd,West Brom,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sun,Premier League,Matchweek 11,Home,L 1–2,Sheffield Utd,Leicester City,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
