,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2019-08-11,Sat,Matchweek 3,Away,L 1–3,Arsenal,Liverpool,Y,"FW,LW",90,17,25,68.0,255,75,12,14,85.7,4,6,66.7,1,3,33.3,0,0.1,0.1,2,1,1,0,2,/en/matches/102b241e/Liverpool-Arsenal-August-24-2019-Premier-League
1,2019-08-11,Sun,Matchweek 4,Home,D 2–2,Arsenal,Tottenham,Y,"LW,FW",90,23,30,76.7,343,113,16,18,88.9,5,7,71.4,2,3,66.7,0,0.1,0.2,1,2,3,3,4,/en/matches/0b6b8aaf/North-London-Derby-Arsenal-Tottenham-Hotspur-September-1-2019-Premier-League
2,2019-08-11,Sun,Matchweek 5,Away,D 2–2,Arsenal,Watford,Y,FW,90,22,25,88.0,248,65,13,13,100.0,5,5,100.0,0,1,0.0,0,0.0,0.1,0,0,0,0,1,/en/matches/8257eda8/Watford-Arsenal-September-15-2019-Premier-League
3,2019-08-11,Sun,Matchweek 6,Home,W 3–2,Arsenal,Aston Villa,Y,FW,90,10,23,43.5,111,32,7,10,70.0,2,9,22.2,0,1,0.0,0,0.0,0.1,0,0,1,0,2,/en/matches/d5fa0563/Arsenal-Aston-Villa-September-22-2019-Premier-League
4,2019-08-11,Mon,Matchweek 7,Away,D 1–1,Arsenal,Manchester Utd,Y,FW,90,13,25,52.0,259,60,6,11,54.5,4,6,66.7,3,6,50.0,0,0.4,0.1,2,2,1,1,3,/en/matches/ce7501cd/Manchester-United-Arsenal-September-30-2019-Premier-League
5,2019-08-11,Sun,Matchweek 8,Home,W 1–0,Arsenal,Bournemouth,Y,FW,90,14,19,73.7,179,33,10,11,90.9,3,4,75.0,0,0,,0,0.1,0.0,1,2,2,0,4,/en/matches/9575566f/Arsenal-Bournemouth-October-6-2019-Premier-League
6,2019-08-11,Mon,Matchweek 9,Away,L 0–1,Arsenal,Sheffield Utd,Y,"FW,RW,LW",90,22,29,75.9,301,77,14,16,87.5,7,9,77.8,0,1,0.0,0,0.0,0.1,0,2,4,0,6,/en/matches/f63044fd/Sheffield-United-Arsenal-October-21-2019-Premier-League
7,2019-08-11,Sun,Matchweek 10,Home,D 2–2,Arsenal,Crystal Palace,Y,FW,90,12,15,80.0,167,41,7,9,77.8,5,5,100.0,0,0,,0,0.1,0.0,1,0,0,0,2,/en/matches/077b30ff/Arsenal-Crystal-Palace-October-27-2019-Premier-League
8,2019-08-11,Sat,Matchweek 11,Home,D 1–1,Arsenal,Wolves,Y*,FW,90,16,25,64.0,241,91,9,11,81.8,3,9,33.3,2,2,100.0,0,0.0,0.1,0,2,2,1,1,/en/matches/a3427b2c/Arsenal-Wolverhampton-Wanderers-November-2-2019-Premier-League
9,2019-08-11,Sat,Matchweek 12,Away,L 0–2,Arsenal,Leicester City,Y*,"FW,LW",90,18,30,60.0,315,118,9,13,69.2,5,11,45.5,4,4,100.0,0,0.6,0.5,2,2,4,2,6,/en/matches/8e13e609/Leicester-City-Arsenal-November-9-2019-Premier-League
10,2019-08-11,Sat,Matchweek 13,Home,D 2–2,Arsenal,Southampton,Y*,"FW,LW,RW",90,17,24,70.8,230,17,14,17,82.4,2,4,50.0,1,2,50.0,0,0.0,0.0,0,0,1,0,2,/en/matches/19a8b14e/Arsenal-Southampton-November-23-2019-Premier-League
11,2019-08-11,Sun,Matchweek 14,Away,D 2–2,Arsenal,Norwich City,Y*,RW,90,26,44,59.1,351,97,13,19,68.4,11,17,64.7,0,0,,0,0.1,0.3,1,0,2,1,2,/en/matches/39fce32e/Norwich-City-Arsenal-December-1-2019-Premier-League
12,2019-08-11,Thu,Matchweek 15,Home,L 1–2,Arsenal,Brighton,Y*,"RW,LW,FW",90,21,28,75.0,231,71,14,15,93.3,4,7,57.1,0,1,0.0,0,0.3,0.2,1,1,1,1,1,/en/matches/372828cb/Arsenal-Brighton-and-Hove-Albion-December-5-2019-Premier-League
13,2019-08-11,Mon,Matchweek 16,Away,W 3–1,Arsenal,West Ham,Y*,FW,90,13,19,68.4,202,36,5,6,83.3,7,8,87.5,0,2,0.0,1,0.4,0.4,2,0,2,0,3,/en/matches/a48c4638/West-Ham-United-Arsenal-December-9-2019-Premier-League
14,2019-08-11,Sun,Matchweek 17,Home,L 0–3,Arsenal,Manchester City,Y*,FW,90,9,13,69.2,75,3,8,8,100.0,0,3,0.0,0,0,,0,0.0,0.0,0,1,0,0,0,/en/matches/bed05936/Arsenal-Manchester-City-December-15-2019-Premier-League
