,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
0,2021-08-15,Sun,Matchweek 3,Home,W 1–0,Tottenham,Watford,Y,"RM,DM",90,105,3,14,64,29,1,105,2,2,100.0,0,0.0,52,267,163,3,4,0,1,0,71,3,/en/matches/3cd9a733/Tottenham-Hotspur-Watford-August-29-2021-Premier-League
1,2021-08-15,Sat,Matchweek 4,Away,L 0–3,Tottenham,Crystal Palace,Y,RM,90,55,4,9,39,8,1,55,3,1,33.3,2,66.7,32,165,62,2,0,0,1,0,34,1,/en/matches/17e86f90/Crystal-Palace-Tottenham-Hotspur-September-11-2021-Premier-League
2,2021-08-15,Sun,Matchweek 5,Home,L 0–3,Tottenham,Chelsea,Y,"CM,RM",90,77,1,29,42,7,0,77,0,0,,0,,53,200,72,0,0,0,0,1,53,2,/en/matches/eaf98461/Tottenham-Hotspur-Chelsea-September-19-2021-Premier-League
3,2021-08-15,Sun,Matchweek 6,Away,L 1–3,Tottenham,Arsenal,Y,"DM,CM",90,85,3,14,59,13,0,85,1,0,0.0,1,100.0,41,218,117,1,1,0,2,1,58,1,/en/matches/a2c07e97/North-London-Derby-Arsenal-Tottenham-Hotspur-September-26-2021-Premier-League
4,2021-08-15,Sun,Matchweek 7,Home,W 2–1,Tottenham,Aston Villa,Y,DM,90,75,5,14,53,9,0,75,5,5,100.0,0,0.0,35,174,113,1,1,0,0,0,53,2,/en/matches/7bb0a43c/Tottenham-Hotspur-Aston-Villa-October-3-2021-Premier-League
5,2021-08-15,Sun,Matchweek 8,Away,W 3–2,Tottenham,Newcastle Utd,Y,DM,90,118,3,22,82,15,0,118,3,1,33.3,2,66.7,53,317,198,3,1,0,1,0,81,2,/en/matches/4bd69343/Newcastle-United-Tottenham-Hotspur-October-17-2021-Premier-League
6,2021-08-15,Sun,Matchweek 9,Away,L 0–1,Tottenham,West Ham,Y,DM,90,107,3,16,83,9,0,107,0,0,,0,,57,274,158,2,2,0,0,0,83,2,/en/matches/70c508ee/West-Ham-United-Tottenham-Hotspur-October-24-2021-Premier-League
7,2021-08-15,Sat,Matchweek 10,Home,L 0–3,Tottenham,Manchester Utd,Y,DM,90,97,2,24,55,18,1,97,5,1,20.0,4,80.0,53,174,96,0,1,0,1,0,73,3,/en/matches/5a2b8c26/Tottenham-Hotspur-Manchester-United-October-30-2021-Premier-League
8,2021-08-15,Sun,Matchweek 11,Away,D 0–0,Tottenham,Everton,Y,CM,90,80,1,21,51,9,0,80,3,2,66.7,1,33.3,36,172,101,2,1,0,0,3,61,0,/en/matches/224d1c99/Everton-Tottenham-Hotspur-November-7-2021-Premier-League
9,2021-08-15,Sun,Matchweek 12,Home,W 2–1,Tottenham,Leeds United,Y,CM,90,66,1,18,45,4,1,66,1,0,0.0,1,100.0,26,171,76,1,1,0,3,0,41,1,/en/matches/a74a684e/Tottenham-Hotspur-Leeds-United-November-21-2021-Premier-League
10,2021-08-15,Thu,Matchweek 14,Home,W 2–0,Tottenham,Brentford,Y,CM,90,76,1,20,48,10,2,76,2,2,100.0,0,0.0,48,225,122,2,0,0,1,0,54,2,/en/matches/a80b3790/Tottenham-Hotspur-Brentford-December-2-2021-Premier-League
11,2021-08-15,Sun,Matchweek 15,Home,W 3–0,Tottenham,Norwich City,Y,CM,90,78,2,23,48,8,1,78,0,0,,0,,66,302,84,1,2,1,1,2,64,1,/en/matches/78e62deb/Tottenham-Hotspur-Norwich-City-December-5-2021-Premier-League
12,2021-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2021-08-15,Sun,Matchweek 19,Home,W 3–0,Tottenham,Crystal Palace,Y,CM,78,80,2,14,49,17,0,80,2,1,50.0,1,50.0,61,261,113,1,4,0,0,0,60,0,/en/matches/ac4560d6/Tottenham-Hotspur-Crystal-Palace-December-26-2021-Premier-League
14,2021-08-15,Tue,Matchweek 20,Away,D 1–1,Tottenham,Southampton,Y,CM,90,79,0,13,45,21,0,79,1,1,100.0,0,0.0,54,328,185,1,3,0,0,1,54,0,/en/matches/08d5ef01/Southampton-Tottenham-Hotspur-December-28-2021-Premier-League
15,2021-08-15,Sat,Matchweek 21,Away,W 1–0,Tottenham,Watford,Y,CM,90,102,1,8,60,35,5,102,1,0,0.0,1,100.0,75,275,165,4,3,0,1,2,76,6,/en/matches/9c831c07/Watford-Tottenham-Hotspur-January-1-2022-Premier-League
