,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form
0,0,2022-08-07,Sun,Premier League,Matchweek 1,Away,D 2–2,Brentford,Leicester City,Y*,CB,90,0,0,0,0,0,0,0,0,69,1,0,0,0.0,0.0,0.0,0,0,56,60,93.3,1,43,0,0,0,/en/matches/3249ba27/Leicester-City-Brentford-August-7-2022-Premier-League,0.5,0.5
1,1,2022-08-13,Sat,Premier League,Matchweek 2,Home,W 4–0,Brentford,Manchester Utd,Y*,CB,90,0,0,0,0,0,0,0,0,22,1,1,1,0.0,0.0,0.0,0,0,8,15,53.3,2,5,0,1,1,/en/matches/04712d4e/Brentford-Manchester-United-August-13-2022-Premier-League,1.0,0.5
2,2,2022-08-20,Sat,Premier League,Matchweek 3,Away,L 2–3,Brentford,Fulham,Y*,CB,90,0,0,0,0,0,0,0,0,63,0,1,3,0.0,0.0,0.0,0,0,46,57,80.7,2,34,0,0,0,/en/matches/a107c037/Fulham-Brentford-August-20-2022-Premier-League,0.0,0.5
3,3,2022-09-03,Sat,Premier League,Matchweek 6,Home,W 5–2,Brentford,Leeds United,Y*,CB,90,0,0,0,0,0,0,0,0,28,0,2,2,0.0,0.0,0.0,0,0,11,19,57.9,2,5,0,1,1,/en/matches/88f9aad9/Brentford-Leeds-United-September-3-2022-Premier-League,1.0,0.5
4,4,2022-09-18,Sun,Premier League,Matchweek 8,Home,L 0–3,Brentford,Arsenal,Y*,CB,90,0,0,0,0,0,0,0,0,44,1,1,1,0.0,0.0,0.0,0,0,35,41,85.4,2,24,0,0,0,/en/matches/fd5626e6/Brentford-Arsenal-September-18-2022-Premier-League,0.0,0.6666666666666666
5,5,2022-10-01,Sat,Premier League,Matchweek 9,Away,D 0–0,Brentford,Bournemouth,Y*,CB,64,0,0,0,0,1,0,0,0,58,0,3,1,0.0,0.0,0.0,1,0,39,47,83.0,4,37,0,0,0,/en/matches/f2e86b27/Bournemouth-Brentford-October-1-2022-Premier-League,0.5,0.3333333333333333
6,6,2022-12-30,Fri,Premier League,Matchweek 18,Away,W 2–0,Brentford,West Ham,N,CM,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,1,0,0,/en/matches/56acbbbe/West-Ham-United-Brentford-December-30-2022-Premier-League,1.0,0.5
7,7,2023-03-15,Wed,Premier League,Matchweek 7,Away,W 2–0,Brentford,Southampton,N,"CB,LW",13,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,/en/matches/a4202b5b/Southampton-Brentford-March-15-2023-Premier-League,1.0,0.5
8,8,2023-03-18,Sat,Premier League,Matchweek 28,Home,D 1–1,Brentford,Leicester City,N,CB,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,/en/matches/7647948e/Brentford-Leicester-City-March-18-2023-Premier-League,0.5,0.8333333333333334
9,9,2023-04-01,Sat,Premier League,Matchweek 29,Away,D 3–3,Brentford,Brighton,Y*,CB,90,1,0,0,0,1,1,0,0,40,1,1,2,0.1,0.1,0.0,1,1,23,27,85.2,0,16,0,0,0,/en/matches/ead2251e/Brighton-and-Hove-Albion-Brentford-April-1-2023-Premier-League,0.5,0.8333333333333334
10,10,2023-04-05,Wed,Premier League,Matchweek 25,Away,L 0–1,Brentford,Manchester Utd,Y*,CB,90,0,0,0,0,0,0,0,0,56,1,0,3,0.0,0.0,0.0,0,0,36,46,78.3,1,27,0,0,0,/en/matches/f3e6e475/Manchester-United-Brentford-April-5-2023-Premier-League,0.0,0.6666666666666666
11,11,2023-04-08,Sat,Premier League,Matchweek 30,Home,L 1–2,Brentford,Newcastle Utd,Y*,CB,15,0,0,0,0,2,1,0,0,8,0,0,0,0.2,0.2,0.0,0,0,2,4,50.0,0,0,0,0,0,/en/matches/a5e78e89/Brentford-Newcastle-United-April-8-2023-Premier-League,0.0,0.3333333333333333
