,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-14,Mon,Premier League,Matchweek 1,Away,L 0–1,Wolves,Manchester Utd,Y,LB,76,0,0,0,0,0.0,0.0,1,0,48.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,32.0,39.0,82.1,4.0,23.0,3.0,3.0,2.0,/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,0.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2023-08-19,Sat,Premier League,Matchweek 2,Home,L 1–4,Wolves,Brighton,Y,LB,85,0,0,0,0,1.0,0.0,0,0,54.0,5.0,0.0,0.0,0.3,0.3,0.0,3.0,0.0,40.0,46.0,87.0,5.0,31.0,1.0,4.0,2.0,/en/matches/d7c606ec/Wolverhampton-Wanderers-Brighton-and-Hove-Albion-August-19-2023-Premier-League,0.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2023-08-26,Sat,Premier League,Matchweek 3,Away,W 1–0,Wolves,Everton,N,LM,45,0,0,0,0,0.0,0.0,0,0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.0,18.0,61.1,2.0,15.0,1.0,3.0,0.0,/en/matches/18dfee28/Everton-Wolverhampton-Wanderers-August-26-2023-Premier-League,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2023-08-29,Tue,EFL Cup,Second round,Home,W 5–0,Wolves,Blackpool,Y,LM,80,0,0,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/9d04868d/Wolverhampton-Wanderers-Blackpool-August-29-2023-EFL-Cup,1.0,0.3333333333333333,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2023-09-03,Sun,Premier League,Matchweek 4,Away,L 2–3,Wolves,Crystal Palace,Y,LB,81,0,0,0,0,0.0,0.0,1,0,63.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,45.0,55.0,81.8,5.0,29.0,1.0,2.0,1.0,/en/matches/f9436d32/Crystal-Palace-Wolverhampton-Wanderers-September-3-2023-Premier-League,0.0,0.6666666666666666,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2023-09-12,Tue,Friendlies (M),Friendlies (M),Away,W 1–0,dz Algeria,sn Senegal,Y,LB,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,/en/matches/79dd29a1/Senegal-Algeria-September-12-2023-Friendlies-M,1.0,0.6666666666666666,0.5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2023-09-16,Sat,Premier League,Matchweek 5,Home,L 1–3,Wolves,Liverpool,Y,LB,64,0,0,0,0,0.0,0.0,0,0,40.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,28.0,75.0,4.0,25.0,1.0,2.0,1.0,/en/matches/38daebd2/Wolverhampton-Wanderers-Liverpool-September-16-2023-Premier-League,0.0,0.6666666666666666,0.7916666666666666
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2023-09-23,Sat,Premier League,Matchweek 6,Away,D 1–1,Wolves,Luton Town,Y,LB,45,0,0,0,0,0.0,0.0,0,0,39.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,29.0,75.9,4.0,25.0,1.0,1.0,1.0,/en/matches/76a1421e/Luton-Town-Wolverhampton-Wanderers-September-23-2023-Premier-League,0.5,0.3333333333333333,0.2777777777777778
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2023-09-26,Tue,EFL Cup,Third round,Away,L 2–3,Wolves,Ipswich Town,N,,45,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/42b942aa/Ipswich-Town-Wolverhampton-Wanderers-September-26-2023-EFL-Cup,0.0,0.5,0.5
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2023-09-30,Sat,Premier League,Matchweek 7,Home,W 2–1,Wolves,Manchester City,Y,LM,73,0,0,0,0,0.0,0.0,0,0,28.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,20.0,65.0,0.0,21.0,0.0,3.0,1.0,/en/matches/60ce29cd/Wolverhampton-Wanderers-Manchester-City-September-30-2023-Premier-League,1.0,0.1666666666666666,0.7619047619047619
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2023-10-08,Sun,Premier League,Matchweek 8,Home,D 1–1,Wolves,Aston Villa,Y,LM,45,0,0,0,0,1.0,0.0,0,0,23.0,2.0,0.0,1.0,0.2,0.2,0.0,0.0,0.0,13.0,15.0,86.7,2.0,8.0,1.0,2.0,1.0,/en/matches/3292ed35/Wolverhampton-Wanderers-Aston-Villa-October-8-2023-Premier-League,0.5,0.5,0.6904761904761905
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2023-10-21,Sat,Premier League,Matchweek 9,Away,W 2–1,Wolves,Bournemouth,Y,LM,90,0,0,0,0,1.0,0.0,0,0,78.0,1.0,0.0,1.0,0.1,0.1,0.2,6.0,0.0,64.0,70.0,91.4,9.0,49.0,3.0,2.0,1.0,/en/matches/007b352e/Bournemouth-Wolverhampton-Wanderers-October-21-2023-Premier-League,1.0,0.5,0.34375
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2023-10-28,Sat,Premier League,Matchweek 10,Home,D 2–2,Wolves,Newcastle Utd,Y,LM,90,0,0,0,0,1.0,0.0,1,0,45.0,6.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,26.0,88.5,3.0,24.0,2.0,5.0,3.0,/en/matches/b84d060a/Wolverhampton-Wanderers-Newcastle-United-October-28-2023-Premier-League,0.5,0.8333333333333334,0.5416666666666667
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2023-11-04,Sat,Premier League,Matchweek 11,Away,L 1–2,Wolves,Sheffield Utd,Y,"LM,WB,CB",90,0,0,0,0,2.0,0.0,0,0,49.0,3.0,2.0,1.0,0.6,0.6,0.2,2.0,0.0,27.0,31.0,87.1,2.0,27.0,2.0,5.0,2.0,/en/matches/e841bbac/Sheffield-United-Wolverhampton-Wanderers-November-4-2023-Premier-League,0.0,0.6666666666666666,0.0128205128205128
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2023-11-11,Sat,Premier League,Matchweek 12,Home,W 2–1,Wolves,Tottenham,Y,"WB,LM",86,0,0,0,0,2.0,0.0,1,0,73.0,2.0,0.0,0.0,0.1,0.1,0.4,9.0,0.0,49.0,59.0,83.1,5.0,41.0,2.0,7.0,5.0,/en/matches/1634f066/Wolverhampton-Wanderers-Tottenham-Hotspur-November-11-2023-Premier-League,1.0,0.5,0.6785714285714286
