,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
0,2019-09-28,Sat,Matchweek 9,Home,W 1–0,Chelsea,Newcastle Utd,N,"WB,LW",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/c17538b0/Chelsea-Newcastle-United-October-19-2019-Premier-League
1,2019-09-28,Sat,Matchweek 10,Away,W 4–2,Chelsea,Burnley,N,RB,28,23,20,3,0,0,0,0,3,0,0,0,0,23,0,0,/en/matches/082dc9ef/Burnley-Chelsea-October-26-2019-Premier-League
2,2019-09-28,Sat,Matchweek 11,Away,W 2–1,Chelsea,Watford,N,WB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/0b8b7f66/Watford-Chelsea-November-2-2019-Premier-League
3,2019-09-28,Sat,Matchweek 12,Home,W 2–0,Chelsea,Crystal Palace,Y,RB,90,56,44,12,1,0,0,4,11,0,0,0,0,44,0,0,/en/matches/99680077/Chelsea-Crystal-Palace-November-9-2019-Premier-League
4,2019-09-28,Sat,Matchweek 13,Away,L 1–2,Chelsea,Manchester City,N,RB,32,15,14,1,0,0,0,2,1,0,0,0,0,14,0,0,/en/matches/d16305c7/Manchester-City-Chelsea-November-23-2019-Premier-League
5,2019-09-28,Sat,Matchweek 14,Home,L 0–1,Chelsea,West Ham,Y,RB,90,90,75,15,2,0,0,9,13,0,0,0,0,77,0,3,/en/matches/aa1ff9cd/Chelsea-West-Ham-United-November-30-2019-Premier-League
6,2019-09-28,Wed,Matchweek 15,Home,W 2–1,Chelsea,Aston Villa,Y,RB,90,74,62,12,2,0,0,6,10,0,0,0,0,62,0,2,/en/matches/3f316110/Chelsea-Aston-Villa-December-4-2019-Premier-League
7,2019-09-28,Sat,Matchweek 16,Away,L 1–3,Chelsea,Everton,Y,RB,81,57,44,13,3,0,0,4,10,0,0,0,0,51,0,2,/en/matches/1b69dd66/Everton-Chelsea-December-7-2019-Premier-League
8,2019-09-28,Sat,Matchweek 17,Home,L 0–1,Chelsea,Bournemouth,N,"On matchday squad, but did not play",/en/matches/b75094e0/Chelsea-Bournemouth-December-14-2019-Premier-League,,,,,,,,,,,,,,,,
9,2019-09-28,Sun,Matchweek 18,Away,W 2–0,Chelsea,Tottenham,N,WB,11,18,18,0,0,0,0,1,0,0,0,0,0,15,0,0,/en/matches/a1a20337/Tottenham-Hotspur-Chelsea-December-22-2019-Premier-League
10,2019-09-28,,,,,,,,,,,,,,,,,,,,,,,,,
11,2019-09-28,Wed,Matchweek 21,Away,D 1–1,Chelsea,Brighton,Y,RB,90,70,54,16,2,0,1,3,14,0,0,0,0,53,0,0,/en/matches/9b72407a/Brighton-and-Hove-Albion-Chelsea-January-1-2020-Premier-League
12,2019-09-28,Sat,Matchweek 22,Home,W 3–0,Chelsea,Burnley,Y,RB,90,79,69,10,0,0,1,10,10,0,0,0,0,61,0,4,/en/matches/17a5a8ef/Chelsea-Burnley-January-11-2020-Premier-League
13,2019-09-28,Sat,Matchweek 23,Away,L 0–1,Chelsea,Newcastle Utd,Y,RB,74,80,67,13,2,0,1,6,11,0,0,0,0,63,0,1,/en/matches/e5a20f1e/Newcastle-United-Chelsea-January-18-2020-Premier-League
14,2019-09-28,,,,,,,,,,,,,,,,,,,,,,,,,
15,2019-09-28,Sat,Matchweek 25,Away,D 2–2,Chelsea,Leicester City,Y,RB,90,59,39,20,1,0,0,3,19,0,0,0,0,41,0,1,/en/matches/270dc7ba/Leicester-City-Chelsea-February-1-2020-Premier-League
16,2019-09-28,Mon,Matchweek 26,Home,L 0–2,Chelsea,Manchester Utd,Y,RB,90,83,71,11,2,0,1,5,8,1,0,1,0,69,1,1,/en/matches/2619bcb9/Chelsea-Manchester-United-February-17-2020-Premier-League
17,2019-09-28,Sat,Matchweek 27,Home,W 2–1,Chelsea,Tottenham,Y,WB,90,51,43,8,1,0,0,7,4,3,2,1,0,40,0,0,/en/matches/fdd364a6/Chelsea-Tottenham-Hotspur-February-22-2020-Premier-League
18,2019-09-28,Sat,Matchweek 28,Away,D 2–2,Chelsea,Bournemouth,Y,"WB,RB",90,94,85,9,0,0,0,16,5,4,2,2,0,77,0,3,/en/matches/57d79762/Bournemouth-Chelsea-February-29-2020-Premier-League
19,2019-09-28,Sun,Matchweek 29,Home,W 4–0,Chelsea,Everton,N,CM,31,30,29,1,1,0,0,1,0,0,0,0,0,28,0,0,/en/matches/c062bff0/Chelsea-Everton-March-8-2020-Premier-League
20,2019-09-28,Sun,Matchweek 30,Away,W 2–1,Chelsea,Aston Villa,N,RW,1,5,5,0,0,0,0,0,0,0,0,0,0,4,0,1,/en/matches/827d4651/Aston-Villa-Chelsea-June-21-2020-Premier-League
21,2019-09-28,Thu,Matchweek 31,Home,W 2–1,Chelsea,Manchester City,N,"On matchday squad, but did not play",/en/matches/bc237647/Chelsea-Manchester-City-June-25-2020-Premier-League,,,,,,,,,,,,,,,,
22,2019-09-28,Wed,Matchweek 32,Away,L 2–3,Chelsea,West Ham,N,"On matchday squad, but did not play",/en/matches/5df18070/West-Ham-United-Chelsea-July-1-2020-Premier-League,,,,,,,,,,,,,,,,
23,2019-09-28,Sat,Matchweek 33,Home,W 3–0,Chelsea,Watford,Y,RB,90,95,89,6,0,0,2,6,6,0,0,0,0,80,0,0,/en/matches/ee7944f1/Chelsea-Watford-July-4-2020-Premier-League
