,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form
0,0,2023-08-13,Sun,Premier League,Matchweek 1,Away,D 2–2,Tottenham,Brentford,Y,FW,90,0,0,0,0,2,1,0,0,30.0,0.0,0,0.0,0.2,0.2,0.0,1.0,0.0,13.0,18.0,72.2,1.0,21.0,1.0,5.0,3.0,/en/matches/67ed3ba2/Brentford-Tottenham-Hotspur-August-13-2023-Premier-League,0.5,0.5
1,1,2023-08-19,Sat,Premier League,Matchweek 2,Home,W 2–0,Tottenham,Manchester Utd,Y,FW,69,0,0,0,0,0,0,0,0,24.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,14.0,64.3,0.0,20.0,1.0,3.0,1.0,/en/matches/4bb62251/Tottenham-Hotspur-Manchester-United-August-19-2023-Premier-League,1.0,0.5
2,2,2023-08-26,Sat,Premier League,Matchweek 3,Away,W 2–0,Tottenham,Bournemouth,Y,FW,59,0,0,0,0,2,1,1,0,26.0,0.0,0,0.0,0.3,0.3,0.0,2.0,0.0,10.0,13.0,76.9,2.0,17.0,1.0,3.0,1.0,/en/matches/f49c4ad2/Bournemouth-Tottenham-Hotspur-August-26-2023-Premier-League,1.0,0.5
3,3,2023-08-29,Tue,EFL Cup,Second round,Away,D 1 (3)–1 (5),Tottenham,Fulham,Y,FW,71,1,0,0,0,3,2,0,0,,,0,,,,,,,,,,,,,,,/en/matches/2ec5a2ca/Fulham-Tottenham-Hotspur-August-29-2023-EFL-Cup,0.5,0.8333333333333334
4,4,2023-09-02,Sat,Premier League,Matchweek 4,Away,W 5–2,Tottenham,Burnley,N,FW,19,0,0,0,0,0,0,0,0,6.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,4.0,0.0,1.0,0.0,/en/matches/f1786fb8/Burnley-Tottenham-Hotspur-September-2-2023-Premier-League,1.0,0.8333333333333334
5,5,2023-09-08,Fri,WCQ,WCQ — CONMEBOL (M),Home,W 5–1,br Brazil,bo Bolivia,Y,FW,70,0,0,0,0,4,2,0,0,,,0,,,,,,,,,,,,,,,/en/matches/e1827307/Brazil-Bolivia-September-8-2023-WCQ----CONMEBOL-M,1.0,0.8333333333333334
6,6,2023-09-12,Tue,WCQ,WCQ — CONMEBOL (M),Away,W 1–0,br Brazil,pe Peru,Y,FW,63,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/110848f8/Peru-Brazil-September-12-2023-WCQ----CONMEBOL-M,1.0,0.8333333333333334
7,7,2023-09-16,Sat,Premier League,Matchweek 5,Home,W 2–1,Tottenham,Sheffield Utd,N,FW,11,1,1,0,0,2,1,1,0,8.0,0.0,0,1.0,0.3,0.3,0.1,1.0,1.0,3.0,5.0,60.0,0.0,7.0,1.0,0.0,0.0,/en/matches/e56e96e1/Tottenham-Hotspur-Sheffield-United-September-16-2023-Premier-League,1.0,1.0
8,8,2023-09-24,Sun,Premier League,Matchweek 6,Away,D 2–2,Tottenham,Arsenal,N,FW,12,0,0,0,0,3,1,0,0,7.0,0.0,0,0.0,0.2,0.2,0.0,0.0,0.0,2.0,3.0,66.7,0.0,4.0,0.0,1.0,0.0,/en/matches/08947a10/North-London-Derby-Arsenal-Tottenham-Hotspur-September-24-2023-Premier-League,0.5,1.0
9,9,2023-09-30,Sat,Premier League,Matchweek 7,Home,W 2–1,Tottenham,Liverpool,Y,"LW,FW",90,0,1,0,0,5,2,0,0,44.0,2.0,2,4.0,0.8,0.8,0.7,3.0,1.0,17.0,24.0,70.8,6.0,26.0,2.0,2.0,1.0,/en/matches/ec4145b4/Tottenham-Hotspur-Liverpool-September-30-2023-Premier-League,1.0,0.8333333333333334
