,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Thu,UEFA Nations League,League A,Home,D 1–1,es Spain,pt Portugal,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,UEFA Nations League,League A,Away,D 2–2,es Spain,cz Czech Republic,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Thu,UEFA Nations League,League A,Away,W 1–0,es Spain,ch Switzerland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sun,UEFA Nations League,League A,Home,W 2–0,es Spain,cz Czech Republic,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sun,Premier League,Matchweek 1,Away,W 2–1,Brighton,Manchester Utd,Y,GK,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,9,30,30.0,0,18,0,0,0,Match Report
5,Sat,Premier League,Matchweek 2,Home,D 0–0,Brighton,Newcastle Utd,Y,GK,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,13,26,50.0,0,14,0,0,0,Match Report
6,Sun,Premier League,Matchweek 3,Away,W 2–0,Brighton,West Ham,Y,GK,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,23,40,57.5,0,27,0,0,0,Match Report
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sat,Premier League,Matchweek 4,Home,W 1–0,Brighton,Leeds United,Y,GK,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,20,32,62.5,0,18,0,0,0,Match Report
9,Tue,Premier League,Matchweek 5,Away,L 1–2,Brighton,Fulham,Y,GK,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,39,44,88.6,0,28,0,0,0,Match Report
10,Sun,Premier League,Matchweek 6,Home,W 5–2,Brighton,Leicester City,Y,GK,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,23,28,82.1,0,15,0,0,0,Match Report
11,Sat,UEFA Nations League,League A,Home,L 1–2,es Spain,ch Switzerland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
