,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2019-08-09,Sat,Matchweek 3,Home,W 3–1,Liverpool,Arsenal,Y,FW,85,0,0,0,0,6,1,0,0,62,2,0,1,0.3,0.3,0.0,4,0,35,45,77.8,0,42,4,4,2,/en/matches/102b241e/Liverpool-Arsenal-August-24-2019-Premier-League
1,2019-08-09,Sat,Matchweek 4,Away,W 3–0,Liverpool,Burnley,Y,FW,84,1,1,0,0,5,2,0,0,50,1,0,1,0.4,0.4,0.3,6,2,22,33,66.7,6,32,2,6,3,/en/matches/af072d61/Burnley-Liverpool-August-31-2019-Premier-League
2,2019-08-09,Sat,Matchweek 5,Home,W 3–1,Liverpool,Newcastle Utd,N,FW,54,0,1,0,0,2,1,0,0,33,1,0,1,0.1,0.1,1.1,5,2,20,28,71.4,2,29,3,2,1,/en/matches/cde24fee/Liverpool-Newcastle-United-September-14-2019-Premier-League
3,2019-08-09,Sun,Matchweek 6,Away,W 2–1,Liverpool,Chelsea,Y,FW,90,1,0,0,0,2,2,0,0,37,0,0,2,0.4,0.4,0.0,1,0,20,26,76.9,4,25,2,1,1,/en/matches/02e3ae79/Chelsea-Liverpool-September-22-2019-Premier-League
4,2019-08-09,Sat,Matchweek 7,Away,W 1–0,Liverpool,Sheffield Utd,Y,"FW,AM",86,0,0,0,0,0,0,0,0,43,0,0,1,0.0,0.0,0.5,2,1,30,36,83.3,1,26,2,4,2,/en/matches/1224c8ae/Sheffield-United-Liverpool-September-28-2019-Premier-League
5,2019-08-09,Sat,Matchweek 8,Home,W 2–1,Liverpool,Leicester City,Y,LW,77,0,0,0,0,3,0,0,0,39,0,0,2,0.6,0.6,0.4,4,0,24,32,75.0,3,33,7,5,4,/en/matches/aaed1c4e/Liverpool-Leicester-City-October-5-2019-Premier-League
6,2019-08-09,Sun,Matchweek 9,Away,D 1–1,Liverpool,Manchester Utd,Y,"FW,AM",90,0,0,0,0,4,2,0,0,48,2,0,0,0.5,0.5,0.0,0,0,32,36,88.9,2,29,2,0,0,/en/matches/95c3f0c8/North-West-Derby-Manchester-United-Liverpool-October-20-2019-Premier-League
7,2019-08-09,Sun,Matchweek 10,Home,W 2–1,Liverpool,Tottenham,Y,FW,89,0,0,0,0,4,3,0,0,36,3,0,0,0.8,0.8,0.1,3,0,19,24,79.2,3,21,0,0,0,/en/matches/16f28685/Liverpool-Tottenham-Hotspur-October-27-2019-Premier-League
8,2019-08-09,Sat,Matchweek 11,Away,W 2–1,Liverpool,Aston Villa,Y,FW,90,0,0,0,0,2,0,0,0,62,0,0,1,0.1,0.1,0.3,5,0,39,50,78.0,6,45,6,2,0,/en/matches/2206646c/Aston-Villa-Liverpool-November-2-2019-Premier-League
9,2019-08-09,Sun,Matchweek 12,Home,W 3–1,Liverpool,Manchester City,Y,FW,78,0,0,0,0,3,1,0,0,31,0,0,2,0.2,0.2,0.0,3,0,17,22,77.3,4,23,2,3,3,/en/matches/47880eb7/Liverpool-Manchester-City-November-10-2019-Premier-League
10,2019-08-09,Sat,Matchweek 13,Away,W 2–1,Liverpool,Crystal Palace,Y,FW,88,1,0,0,0,4,2,0,0,34,1,0,0,0.7,0.7,0.0,2,1,26,28,92.9,4,29,2,1,1,/en/matches/0b1da656/Crystal-Palace-Liverpool-November-23-2019-Premier-League
11,2019-08-09,Sat,Matchweek 14,Home,W 2–1,Liverpool,Brighton,Y,FW,75,0,0,0,0,2,2,0,0,37,0,0,1,0.4,0.4,0.0,1,0,22,27,81.5,4,31,2,1,0,/en/matches/2c240ae6/Liverpool-Brighton-and-Hove-Albion-November-30-2019-Premier-League
12,2019-08-09,Wed,Matchweek 15,Home,W 5–2,Liverpool,Everton,N,FW,18,0,1,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.1,3,2,4,4,100.0,1,5,1,1,1,/en/matches/de0ec650/Merseyside-Derby-Liverpool-Everton-December-4-2019-Premier-League
13,2019-08-09,Sat,Matchweek 16,Away,W 3–0,Liverpool,Bournemouth,Y,FW,90,0,0,0,0,5,1,0,0,37,1,1,2,0.3,0.3,0.5,5,0,17,23,73.9,4,29,2,1,1,/en/matches/b7f0ca17/Bournemouth-Liverpool-December-7-2019-Premier-League
14,2019-08-09,Sat,Matchweek 17,Home,W 2–0,Liverpool,Watford,Y,AM,87,0,0,0,0,2,2,0,0,52,3,0,0,0.2,0.2,0.1,3,1,27,36,75.0,4,34,4,5,2,/en/matches/f33bb4b3/Liverpool-Watford-December-14-2019-Premier-League
15,2019-08-09,Thu,Matchweek 19,Away,W 4–0,Liverpool,Leicester City,Y,FW,90,2,0,0,0,3,2,0,0,47,1,0,1,0.9,0.9,0.1,3,0,31,39,79.5,2,21,2,2,2,/en/matches/4b8063da/Leicester-City-Liverpool-December-26-2019-Premier-League
16,2019-08-09,Sun,Matchweek 20,Home,W 1–0,Liverpool,Wolves,Y,AM,85,0,0,0,0,3,1,0,0,50,0,0,2,0.2,0.2,0.0,1,0,35,40,87.5,4,35,2,2,0,/en/matches/9892a4f1/Liverpool-Wolverhampton-Wanderers-December-29-2019-Premier-League
17,2019-08-09,Thu,Matchweek 21,Home,W 2–0,Liverpool,Sheffield Utd,Y,FW,90,0,0,0,0,5,0,0,0,62,2,0,1,0.8,0.8,0.0,3,0,36,49,73.5,1,50,2,2,1,/en/matches/7fe3382b/Liverpool-Sheffield-United-January-2-2020-Premier-League
18,2019-08-09,Sat,Matchweek 22,Away,W 1–0,Liverpool,Tottenham,Y,FW,90,1,0,0,0,4,2,0,0,48,1,0,0,0.6,0.6,0.2,7,0,35,40,87.5,6,38,0,1,1,/en/matches/39432697/Tottenham-Hotspur-Liverpool-January-11-2020-Premier-League
19,2019-08-09,Sun,Matchweek 23,Home,W 2–0,Liverpool,Manchester Utd,Y,FW,82,0,0,0,0,3,0,0,0,39,0,0,0,0.3,0.3,0.2,6,0,24,33,72.7,4,37,3,6,6,/en/matches/d2a888b6/North-West-Derby-Liverpool-Manchester-United-January-19-2020-Premier-League
20,2019-08-09,Thu,Matchweek 24,Away,W 2–1,Liverpool,Wolves,Y,"FW,LW",90,1,0,0,0,4,3,0,0,55,3,0,2,0.6,0.6,0.1,3,0,36,44,81.8,1,31,3,2,1,/en/matches/efd768f0/Wolverhampton-Wanderers-Liverpool-January-23-2020-Premier-League
21,2019-08-09,Wed,Matchweek 18,Away,W 2–0,Liverpool,West Ham,Y,FW,90,0,0,0,0,2,1,0,0,67,4,0,1,0.6,0.6,0.0,5,1,44,53,83.0,4,39,2,3,1,/en/matches/7b057bc1/West-Ham-United-Liverpool-January-29-2020-Premier-League
22,2019-08-09,Sat,Matchweek 25,Home,W 4–0,Liverpool,Southampton,Y,FW,90,0,3,0,0,3,2,0,0,43,0,0,0,0.8,0.8,1.0,6,3,25,34,73.5,1,29,4,4,1,/en/matches/ab9e9e23/Liverpool-Southampton-February-1-2020-Premier-League
23,2019-08-09,Sat,Matchweek 26,Away,W 1–0,Liverpool,Norwich City,Y,FW,90,0,0,0,0,2,0,0,0,47,0,1,3,0.6,0.6,0.0,1,0,29,38,76.3,3,35,4,2,1,/en/matches/9c238122/Norwich-City-Liverpool-February-15-2020-Premier-League
